id,front,back,example
63,gouverner,Contrôler ou diriger un pays ou une organisation.,Les nations démocratiques doivent être gouvernées de manière à refléter la volonté du peuple.
64,croissance,Le processus d'augmentation de la taille ou de la valeur.,Une croissance économique soutenue est nécessaire pour réduire le chômage et améliorer le niveau de vie.
65,nuire,Dommages physiques ou psychologiques causés à quelque chose.,L’utilisation excessive des réseaux sociaux peut causer des dommages psychologiques aux jeunes vulnérables.
66,santé,L'état d'être exempt de maladie ou de blessure.,Les gouvernements doivent investir dans les infrastructures de santé publique pour prévenir la propagation des maladies.
67,impact,Un effet ou une influence importante sur quelque chose.,L'urbanisation a un impact significatif sur les écosystèmes locaux et les ressources en eau.
68,mettre en œuvre,Mettre en œuvre un plan ou une décision.,Le gouvernement prévoit de mettre en œuvre de nouvelles réglementations pour réduire les émissions de carbone industrielles.
69,améliorer,Améliorer ou devenir de meilleure qualité.,L'investissement dans l'éducation est le moyen le plus efficace d'améliorer les résultats économiques à long terme.
70,augmenter,Devenir ou augmenter la quantité de quelque chose.,Le nombre de véhicules électriques vendus dans le monde a connu une augmentation spectaculaire.
71,indiquer,Montrer ou désigner quelque chose comme probable.,Des études récentes indiquent qu'une activité physique régulière réduit le risque de maladies chroniques.
72,individuel,"Une personne seule, distincte d'un groupe.",La protection des droits individuels est une pierre angulaire de toute société démocratique.
73,influence,Le pouvoir d'avoir un effet sur les personnes ou les choses.,Les réseaux sociaux exercent une profonde influence sur les opinions politiques des jeunes.
74,infrastructure,Systèmes physiques de base soutenant une communauté.,Investir dans les infrastructures de transport est essentiel pour stimuler le développement économique régional.
75,initiative,Un nouveau plan ou une nouvelle action visant à résoudre un problème.,"Le gouvernement a lancé une nouvelle initiative pour encourager les jeunes à s'orienter vers des carrières dans les domaines des sciences, de la technologie, de l'ingénierie et des mathématiques (STEM)."
76,institution,Une organisation établie ayant une vocation sociale.,Les institutions démocratiques doivent rester indépendantes pour garantir une société juste et équitable.
77,impliquer,Inclure ou exiger quelque chose comme partie intégrante.,Une planification urbaine efficace doit impliquer activement les résidents dans le processus décisionnel.
78,problème,Un sujet ou un problème important à discuter.,Le changement climatique est l'un des problèmes les plus urgents auxquels la communauté internationale est confrontée aujourd'hui.
79,justifier,Démontrer ou prouver que quelque chose est juste ou raisonnable.,Les gouvernements doivent pouvoir justifier l'augmentation des dépenses de défense auprès de leurs citoyens.
80,manque,Une absence ou une pénurie de quelque chose de nécessaire.,Le manque d'accès à l'eau potable demeure un défi majeur dans les pays en développement.
81,limite,Un point au-delà duquel quelque chose ne peut aller.,Les nations doivent s'entendre sur des limites juridiquement contraignantes en matière d'émissions de dioxyde de carbone.
82,maintenir,Maintenir quelque chose dans son état ou sa condition actuelle.,Il est de plus en plus difficile de préserver la biodiversité dans les zones fortement urbanisées.
83,majeur,D'une grande importance ou d'une gravité considérable.,La pollution atmosphérique constitue un problème majeur de santé publique dans de nombreuses grandes villes du monde.
84,gérer,Être responsable de quelque chose ou le contrôler.,Le développement durable exige des gouvernements qu'ils gèrent soigneusement les ressources naturelles.
85,mesure,Une action entreprise pour atteindre un objectif ; quantifier.,Les gouvernements doivent prendre des mesures décisives pour s'attaquer au problème croissant du chômage des jeunes.
86,méthode,Une manière particulière de faire quelque chose de façon systématique.,Les scientifiques doivent adopter des méthodes de recherche rigoureuses pour garantir la validité de leurs résultats.
87,émigrer,Se déplacer d'une région ou d'un pays à un autre.,De nombreux travailleurs ruraux migrent vers les villes à la recherche de meilleures opportunités d'emploi.
88,moderne,Relatif à l'époque actuelle ; contemporain.,Les technologies modernes ont fondamentalement changé la façon dont les gens communiquent et accèdent à l'information.
89,moniteur,Observer et vérifier quelque chose au fil du temps.,Les autorités sanitaires doivent surveiller en permanence la qualité de l'air dans les zones urbaines densément peuplées.
90,national,Relatif à ou typique d'une nation entière.,Le gouvernement a mis en place un programme national afin d'uniformiser l'éducation dans tout le pays.
91,naturel,Existant dans la nature ou produit par elle.,La surexploitation des ressources naturelles constitue une grave menace pour la durabilité écologique.
92,nécessaire,Obligatoire ou absolument nécessaire.,Il est nécessaire que les gouvernements investissent dans les infrastructures pour soutenir la croissance économique.
93,négatif,Nuisible ou défavorable par nature ou par effet.,L'exposition prolongée au harcèlement en ligne peut avoir de graves conséquences négatives sur la santé mentale.
94,obtenir,Obtenir ou acquérir quelque chose par l'effort.,Les étudiants doivent obtenir une note minimale pour être admissibles aux programmes de bourses universitaires.
95,se produire,Se produire ou avoir lieu.,On prévoit que les catastrophes naturelles seront plus fréquentes en raison du changement climatique.
96,opportunité,Une situation favorable qui permet le progrès.,L'accès à une éducation de qualité offre aux jeunes de meilleures perspectives économiques.
97,résultat,Le résultat ou la conséquence d'une action.,Les programmes d'intervention précoce tendent à produire de meilleurs résultats scolaires pour les enfants.
98,participer,Participer à une activité ou à un événement.,Il convient d'encourager les citoyens à participer activement à la prise de décision au niveau local.
99,politique,Un plan ou une ligne de conduite adoptés par une autorité.,Une politique énergétique efficace est essentielle pour réduire l'empreinte carbone d'un pays.
100,polluer,Contaminer l'environnement avec des substances nocives.,Les activités industrielles continuent de polluer les rivières et de nuire aux écosystèmes aquatiques à l'échelle mondiale.
101,population,Tous les habitants d'un lieu donné.,Le vieillissement de la population pose des défis importants aux systèmes de retraite et de santé.
102,positif,Qui a un effet bénéfique ou positif.,Une attitude positive envers l'apprentissage tout au long de la vie peut améliorer considérablement les perspectives de carrière.
103,potentiel,Avoir la capacité de développer ou de réaliser quelque chose.,L'intelligence artificielle a le potentiel de transformer le diagnostic et le traitement des soins de santé.
104,prévenir,Pour empêcher quelque chose de se produire.,Les programmes de vaccination constituent l'un des moyens les plus efficaces de prévenir la propagation des maladies.
105,primaire,Le plus important ou premier par ordre de priorité.,L'objectif premier de tout système de santé devrait être de protéger et de promouvoir le bien-être.
106,processus,Une série d'étapes pour atteindre un résultat.,Le processus démocratique repose sur l'accès des citoyens à une information impartiale et exacte.
107,produire,Fabriquer ou créer quelque chose.,Les usines qui produisent des niveaux élevés d'émissions doivent être soumises à des réglementations plus strictes.
108,promouvoir,Soutenir ou encourager le développement de quelque chose.,Les campagnes de promotion de saines habitudes alimentaires peuvent contribuer à réduire les taux d'obésité infantile.
109,proposer,Proposer un plan ou une suggestion.,Plusieurs économistes ont proposé une taxe carbone comme solution pour réduire les émissions.
110,protéger,Pour se protéger de tout danger ou dommage.,Les gouvernements ont le devoir de protéger les citoyens des conséquences de la pollution environnementale.
111,fournir,Mettre quelque chose à la disposition de quelqu'un.,L’État doit fournir des services de santé de base à tous les citoyens sans discrimination.
112,but,La raison d'être de quelque chose ou de ce qui est fait.,L'objectif principal de l'enseignement supérieur est de doter les étudiants de compétences en pensée critique.
113,augmenter,Accroître ou attirer l'attention sur un sujet.,Les organisations internationales continuent de sensibiliser l'opinion publique aux effets du changement climatique.
114,réduire,Réduire la quantité de quelque chose.,Le gouvernement vise à réduire les émissions de carbone de 50 % au cours des vingt prochaines années.
115,refléter,Montrer ou réfléchir profondément à quelque chose.,Les politiques gouvernementales doivent refléter fidèlement les besoins et les valeurs de l'ensemble de la population.
116,région,Une vaste zone aux caractéristiques distinctes.,Le développement économique varie considérablement entre les régions côtières et les régions intérieures du pays.
117,réglementer,Contrôler quelque chose au moyen de règles.,Les gouvernements doivent réglementer l'utilisation des plateformes de médias sociaux afin de protéger les jeunes utilisateurs.
118,se rapporter,Avoir un lien ou une connexion avec quelque chose.,Les fortes inégalités sont étroitement liées à l'augmentation des taux de criminalité et des troubles sociaux.
119,libérer,Permettre à quelque chose d'être libéré ou déchargé.,Les procédés industriels continuent de rejeter de grandes quantités de polluants dans l'atmosphère.
120,compter sur,Dépendre de quelqu'un ou de quelque chose.,De nombreux pays en développement dépendent encore fortement des combustibles fossiles pour leurs besoins énergétiques.
121,représenter,Défendre ou agir au nom de quelque chose.,Les élus ont le devoir de représenter équitablement les intérêts de leurs électeurs.
122,exiger,Avoir besoin de quelque chose d'essentiel ou d'obligatoire.,La lutte contre le changement climatique exige une coopération internationale urgente et un engagement politique fort.
123,recherche,Enquête systématique visant à établir de nouveaux faits.,Des investissements importants dans la recherche médicale sont nécessaires pour lutter contre les maladies infectieuses émergentes.
124,ressource,Une ressource pouvant être utilisée dans un but précis.,Les nations doivent gérer leurs ressources naturelles de manière responsable afin d'assurer une durabilité à long terme.
125,répondre,Réagir ou répondre à quelque chose.,Les gouvernements doivent réagir rapidement aux catastrophes naturelles afin de minimiser le nombre de victimes et les souffrances.
126,résultat,Ce qui découle d'une action.,Une mauvaise alimentation et un mode de vie sédentaire entraînent souvent de graves problèmes de santé à long terme.
127,retenir,Continuer à conserver ou à détenir quelque chose.,Les entreprises doivent élaborer de meilleures stratégies pour fidéliser leurs employés talentueux sur des marchés concurrentiels.
128,révéler,Révéler quelque chose qui était auparavant caché.,Des recherches récentes révèlent une forte corrélation entre les inégalités de revenus et les mauvais résultats en matière de santé.
129,rôle,La fonction ou la position qu'occupe une personne ou une chose.,L'éducation joue un rôle crucial dans la réduction des inégalités sociales et la promotion de la mobilité sociale.
130,rural,Relatif à la campagne plutôt qu'aux villes.,Les communautés rurales n'ont souvent pas accès aux mêmes ressources éducatives que les populations urbaines.
131,secteur,Une partie distincte de l'économie ou de la société.,Le secteur public joue un rôle essentiel dans la prestation de services indispensables aux citoyens.
132,significatif,Suffisamment important ou grand pour avoir un effet.,On a constaté une réduction statistiquement significative des taux de criminalité au cours des dernières décennies.
133,société,Une communauté de personnes vivant ensemble.,Une société juste et équitable doit garantir l'égalité des chances à tous ses citoyens.
134,solution,Une façon de résoudre un problème.,La coopération internationale est nécessaire pour trouver des solutions durables au changement climatique mondial.
135,source,L'origine ou la fourniture de quelque chose.,Les chercheurs doivent citer des sources fiables lorsqu'ils présentent des preuves dans des travaux universitaires.
136,standard,Un niveau de qualité ou de réussite attendu.,L'élévation du niveau d'éducation est considérée comme essentielle pour améliorer la compétitivité économique nationale.
137,stratégie,Un plan conçu pour atteindre un objectif à long terme.,Le gouvernement a dévoilé une nouvelle stratégie nationale pour lutter contre la hausse des taux d'obésité.
138,structure,L'agencement organisé des parties d'un objet.,Des structures sociales rigides peuvent entraver la mobilité sociale ascendante et perpétuer les inégalités.
139,suggérer,Proposer une idée ou une possibilité.,Des études suggèrent que l'éducation préscolaire a des effets bénéfiques durables sur le développement cognitif.
140,soutien,Apporter son aide ou plaider en faveur de quelque chose.,Le soutien financier des gouvernements aux petites entreprises est crucial en période de ralentissement économique.
141,soutenir,Maintenir ou faire perdurer quelque chose dans le temps.,Il est essentiel d'adopter des politiques qui soutiennent la croissance économique sans nuire à l'environnement.
142,système,Un ensemble organisé d'éléments interdépendants.,Un système de santé bien financé est essentiel pour maintenir une population saine et productive.
143,cible,Un objectif ou un groupe visant spécifiquement.,Les pays doivent se fixer des objectifs ambitieux de réduction des émissions de gaz à effet de serre d'ici à 2050.
144,technologie,Connaissances scientifiques appliquées à des fins pratiques.,Les progrès technologiques ont rendu possible l'accès à l'information partout dans le monde.
145,tendre,Avoir une inclination générale pour quelque chose.,Les pays les plus riches ont tendance à produire davantage d'émissions de carbone par habitant que les pays en développement.
146,théorie,Un système d'idées utilisé pour expliquer les phénomènes.,La théorie de l'évolution de Darwin a fondamentalement changé notre compréhension de la vie sur Terre.
147,traditionnel,Fondé sur des coutumes et des pratiques établies de longue date.,La mondialisation a remis en question les valeurs traditionnelles et les identités culturelles dans de nombreuses sociétés.
148,transformer,Changer complètement la forme ou la nature de quelque chose.,Les technologies numériques ont le pouvoir de transformer la façon dont les gens travaillent et communiquent.
149,s'orienter,Une direction générale dans laquelle quelque chose évolue.,La tendance mondiale à l'urbanisation ne montre aucun signe de ralentissement dans les décennies à venir.
150,urbain,Relatif à une ville ou caractéristique d'une ville.,Le développement urbain rapide a exercé une pression énorme sur les infrastructures de transport public.
151,valeur,L'importance ou la valeur attribuée à quelque chose.,Des valeurs fondamentales telles que l'égalité et la justice sous-tendent la plupart des constitutions démocratiques modernes.
152,varier,Être différent ou changer en fonction des conditions.,L'espérance de vie varie considérablement d'un pays à l'autre en fonction du revenu et de la qualité des soins de santé.
153,victime,Une personne lésée par un crime ou un malheur.,Des systèmes de soutien adéquats doivent être mis en place pour aider les victimes de violence domestique à se rétablir.
154,bien-être,"La santé, le bonheur et le bien-être d'une personne.",L’État-providence offre un filet de sécurité aux citoyens pendant les périodes de chômage ou de maladie.
155,accéder,La capacité ou le droit d'obtenir ou d'utiliser quelque chose.,Garantir l'égalité d'accès aux soins de santé est une obligation fondamentale de tout gouvernement juste.
156,adapter,S'adapter à de nouvelles conditions ou circonstances.,Les entreprises doivent s'adapter en permanence à l'évolution rapide des conditions du marché pour rester compétitives.
157,adresse,Aborder ou parler d'un problème.,Les décideurs politiques doivent s'attaquer d'urgence au problème croissant du sans-abrisme dans les grandes villes.
158,adéquat,Satisfaisant ou suffisant pour un usage particulier.,Chaque enfant a le droit de recevoir une éducation et une alimentation de qualité adéquate.
159,agence,Une organisation agissant pour le compte d'une autre ; autonomie.,Une agence gouvernementale a été créée spécifiquement pour superviser les questions de protection de l'environnement.
160,argumenter,Présenter des arguments à l'appui d'une position.,De nombreux économistes affirment que le libre-échange profite aussi bien aux pays en développement qu'aux pays développés.
161,conscient,Avoir connaissance ou conscience de quelque chose.,Les jeunes sont de plus en plus conscients des conséquences du changement climatique sur leur avenir.
162,équilibre,Une distribution égale ou un équilibre stable.,Il est nécessaire d'adopter une approche équilibrée qui favorise la croissance économique tout en protégeant l'environnement.
163,barrière,Un élément qui empêche l'accès ou la progression.,Les obstacles financiers continuent d'empêcher de nombreux étudiants talentueux d'accéder à l'enseignement supérieur.
164,comportement,La manière dont une personne ou un organisme agit.,Les programmes éducatifs peuvent modifier efficacement les comportements et promouvoir des choix de vie plus sains.
165,budget,Une estimation des recettes et des dépenses pour une période donnée.,Les gouvernements doivent consacrer une part suffisante du budget national à l'éducation publique.
166,capital,La richesse utilisée pour générer des revenus ; le siège du gouvernement d'un pays.,Investir dans le capital humain par le biais de l'éducation génère des retours économiques importants à long terme.
167,graphique,Une représentation visuelle des données ; enregistrer les données.,Le graphique illustre une augmentation constante des températures moyennes mondiales de 1980 à 2020.
168,choix,Une sélection effectuée parmi les alternatives disponibles.,Les gouvernements devraient respecter le choix individuel tout en veillant à ce que les citoyens soient bien informés.
169,collecter,Rassembler des éléments ou des informations.,Les chercheurs recueillent des données auprès de milliers de participants afin de garantir la fiabilité statistique.
170,commettre,S'engager ou se consacrer à une ligne de conduite.,Les nations doivent s'engager par des accords contraignants pour réduire significativement leurs émissions de gaz à effet de serre.
171,communiquer,Partager ou échanger des informations efficacement.,La capacité à communiquer clairement et de manière persuasive est essentielle dans la vie académique et professionnelle.
172,rivaliser,Lutter contre les autres pour atteindre le même objectif.,Les nations doivent investir dans l'éducation et l'innovation pour être compétitives dans l'économie mondiale.
173,conflit,Un désaccord grave ou une lutte prolongée.,Les conflits armés continuent de déplacer des millions de personnes dans différentes régions du monde.
174,contracter,Un accord légal formel entre les parties.,Les travailleurs doivent toujours lire attentivement un contrat de travail avant de signer tout document.
175,faire face,Pour gérer efficacement une situation difficile.,De nombreuses communautés peinent à faire face à la fréquence croissante des catastrophes naturelles.
176,corrompu,Malhonnête ou prêt à agir de manière contraire à l'éthique pour en tirer profit.,Les fonctionnaires corrompus qui détournent les fonds publics sapent la confiance que les citoyens placent dans le gouvernement.
177,coût,Le montant nécessaire pour acheter ou faire quelque chose.,La hausse du coût de la vie rend l'accès au logement de plus en plus difficile pour les familles à faibles revenus.
178,crime,Un acte illégal punissable par la loi.,S’attaquer aux causes profondes de la pauvreté est essentiel pour réduire les taux de criminalité violente.
179,crise,Une période de grande difficulté ou de danger.,La crise financière mondiale de 2008 a démontré à quel point les économies modernes sont devenues interconnectées.
180,critique,Nécessitant une analyse approfondie ; d'une grande importance.,La pensée critique est une compétence essentielle pour analyser les problèmes complexes dans la vie académique et professionnelle.
181,diminuer,Diminuer en taille ou en quantité.,On observe une diminution constante du nombre de personnes vivant dans l'extrême pauvreté à l'échelle mondiale.
182,démocratie,Un système de gouvernement par des représentants élus.,Une démocratie dynamique repose sur des citoyens bien informés et une presse libre.
183,détecter,Découvrir ou identifier la présence de quelque chose.,Les outils de dépistage avancés permettent de détecter certains cancers à un stade précoce et plus facile à traiter.
184,maladie,Une maladie causée par une infection ou un dysfonctionnement.,Prévenir la propagation des maladies infectieuses nécessite des investissements importants dans les infrastructures de santé publique.
185,domestique,Relatif à la maison ou à son propre pays.,Les décisions de politique intérieure peuvent avoir des conséquences importantes sur la réputation internationale d'une nation.
186,dominer,Avoir le plus de pouvoir ou d'influence sur les autres.,Un petit nombre de sociétés multinationales dominent le commerce mondial de la production alimentaire.
187,économie,Le système de production et de consommation d'un pays.,La diversification de l'économie nationale réduit la vulnérabilité d'un pays aux chocs des prix des matières premières.
188,émission,La production et le rejet de gaz dans l'atmosphère.,La réduction des émissions de carbone est un élément central des efforts internationaux déployés pour lutter contre le changement climatique.
189,imposer,Pour contraindre au respect d'une loi ou d'un règlement.,"Sans ressources adéquates, les gouvernements ne peuvent pas appliquer efficacement les lois de protection de l'environnement."
190,identifier,Reconnaître ou établir l'identité de quelque chose.,L'étude vise à identifier les principaux facteurs contribuant à la hausse du chômage des jeunes.
191,observer,Observer attentivement ou remarquer quelque chose.,Les scientifiques observent le comportement animal dans leurs habitats naturels afin de mieux comprendre les systèmes écologiques.
192,catégorie,Une classe ou un groupe de choses ayant des qualités communes.,"Le rapport divise les déchets en trois grandes catégories : recyclables, organiques et dangereux."
193,principe,Une vérité fondamentale ou une règle guidant le comportement.,Le principe d'égalité sous-tend le droit international des droits de l'homme et la gouvernance démocratique.
194,publier,Mettre des informations ou des travaux à la disposition du public.,Les chercheurs doivent publier leurs résultats dans des revues scientifiques crédibles pour contribuer à l'avancement des connaissances scientifiques.
195,innover,Introduire de nouvelles idées ou méthodes.,Les entreprises qui n'innovent pas risquent d'être devancées sur le marché par des concurrents plus agiles.
196,intégrer,Combiner ou incorporer des parties en un tout.,Des politiques efficaces sont nécessaires pour aider les réfugiés à s'intégrer dans leurs communautés d'accueil.
197,allouer,Répartir les ressources dans un but précis.,Les gouvernements doivent allouer des fonds suffisants pour maintenir et améliorer les services de santé publique.
198,coordonner,Organiser des personnes ou des groupes pour qu'ils travaillent ensemble.,Les agences internationales doivent coordonner leurs efforts de secours en cas de catastrophe afin d'en maximiser l'efficacité.
199,débat,Une discussion formelle des points de vue opposés.,Les effets à long terme de la mondialisation sur les inégalités font l'objet d'un débat permanent parmi les économistes.
200,exposer,Révéler ou laisser sans protection face à quelque chose.,Les enfants exposés à la violence dans les médias peuvent développer une insensibilité face à la violence.
201,accélérer,Augmenter la vitesse ou le rythme.,L'innovation technologique a accéléré la croissance économique dans de nombreux pays en développement.
202,accommoder,Prévoir de l'espace ou s'adapter aux besoins.,Les villes doivent développer leurs infrastructures pour accueillir la population urbaine croissante.
203,accumuler,Se rassembler ou s'accumuler progressivement au fil du temps.,"Dans les pays développés, les ménages ont tendance à accumuler davantage de richesses au fil des générations."
204,reconnaître,Reconnaître ou admettre l'existence de quelque chose.,Les gouvernements doivent reconnaître le rôle de la pauvreté dans la formation des inégalités sociales.
205,acquisition,L'action d'obtenir ou de gagner quelque chose.,L'acquisition précoce du langage est essentielle à la réussite scolaire à long terme d'un enfant.
206,négatif,Nocif ou ayant un effet défavorable.,Une exposition prolongée à la pollution peut avoir des effets néfastes sur la santé publique.
207,avocat,Soutenir publiquement une cause ou une politique.,De nombreux éducateurs préconisent des classes de taille réduite pour améliorer les résultats d'apprentissage.
208,soulager,Pour atténuer une souffrance ou un problème.,Les programmes d'aide étrangère visent à réduire la pauvreté dans les pays les moins développés du monde.
209,ambitieux,Avoir une forte volonté d'atteindre des objectifs ambitieux.,Le gouvernement s'est fixé un objectif ambitieux : réduire les émissions de carbone de 50 % d'ici 2030.
