id,front,back,example
53,расширять,"Увеличиваться в размерах, количестве или масштабе.",Многие корпорации стремятся расширить свою деятельность на развивающиеся рынки Азии.
54,ожидать,"Верить, что что-то произойдет в будущем.","Широко распространено мнение, что автоматизация в течение нескольких десятилетий кардинально изменит ситуацию на рынке труда."
55,опыт,"Знания или навыки, приобретенные в процессе практики.",Стажировки помогают студентам приобрести практические навыки для будущей работы.
56,объяснять,"Чтобы прояснить что-либо, описав это.",Способность профессора ясно и понятно объяснять сложные теории снискала ей огромное уважение.
57,фактор,"Элемент, который способствует достижению результата.","Питание и физические упражнения являются ключевыми факторами, определяющими долгосрочные показатели здоровья человека."
58,особенность,Отличительная характеристика или свойство чего-либо.,Ключевым элементом успешного городского планирования является обеспечение доступных зеленых зон.
59,фокус,Сосредоточить внимание или усилие на чём-либо.,Государственная политика должна быть сосредоточена на обеспечении доступным жильем семей с низким доходом.
60,функция,"Цель или роль, для выполнения которой что-либо предназначено.",Основная функция иммунной системы — защита организма от болезней.
61,генерировать,Произвести или создать что-либо.,Солнечные панели могут вырабатывать достаточно электроэнергии для обеспечения электроснабжения всего домохозяйства.
62,глобальный,Относящийся ко всему миру или охватывающий его.,Глобальное сотрудничество имеет решающее значение для эффективного решения проблем изменения климата.
63,управлять,Контролировать или направлять страну или организацию.,"Демократические страны должны управляться таким образом, чтобы это отражало волю народа."
64,рост,Процесс увеличения в размере или значении.,Для снижения безработицы и повышения уровня жизни необходим устойчивый экономический рост.
65,вред,Причиненный чему-либо физический или психологический ущерб.,Чрезмерное использование социальных сетей может нанести психологический вред уязвимым молодым людям.
66,здоровье,Состояние отсутствия болезней или травм.,Правительства должны инвестировать в инфраструктуру здравоохранения для предотвращения распространения болезней.
67,влияние,Сильное воздействие или влияние на что-либо.,Урбанизация оказывает значительное влияние на местные экосистемы и водные ресурсы.
68,осуществлять,Претворить план или решение в жизнь.,Правительство планирует ввести новые правила для сокращения промышленных выбросов углекислого газа.
69,улучшать,Улучшить или повысить качество.,Инвестиции в образование — наиболее эффективный способ улучшения долгосрочных экономических результатов.
70,увеличивать,Увеличить или увеличить что-либо в количестве.,В мире наблюдается резкий рост числа продаваемых электромобилей.
71,указывать,Показать или указать на что-либо как на вероятное.,"Недавние исследования показывают, что регулярная физическая активность снижает риск хронических заболеваний."
72,индивидуальный,"Отдельный человек, независимый от группы.",Защита прав личности является краеугольным камнем любого демократического общества.
73,влияние,Способность оказывать влияние на людей или вещи.,Социальные сети оказывают глубокое влияние на политические взгляды молодежи.
74,инфраструктура,"Основные физические системы, обеспечивающие функционирование сообщества.",Инвестиции в транспортную инфраструктуру имеют решающее значение для стимулирования регионального экономического развития.
75,инициатива,"Новый план или действие, направленное на решение проблемы.","Правительство запустило новую инициативу, направленную на поощрение молодежи к выбору карьеры в сфере STEM (наука, технология, инженерия и математика)."
76,учреждение,"Устоявшаяся организация, преследующая социальные цели.",Для обеспечения справедливого общества демократические институты должны оставаться независимыми.
77,вовлекать,Включать или требовать что-либо в качестве части.,Эффективное городское планирование должно активно вовлекать жителей в процесс принятия решений.
78,проблема,Важная тема или проблема для обсуждения.,"Изменение климата — одна из самых актуальных проблем, стоящих сегодня перед международным сообществом."
79,оправдывать,"Показать или доказать, что что-либо является правильным или разумным.",Правительства должны быть в состоянии обосновать перед своими гражданами увеличение расходов на оборону.
80,недостаток,Отсутствие или нехватка чего-либо необходимого.,Отсутствие доступа к чистой воде остается одной из главных проблем развивающихся стран.
81,лимит,"Точка, за пределы которой что-либо не может выйти.",Страны должны согласовать юридически обязательные ограничения на выбросы углекислого газа.
82,поддерживать,Сохранить что-либо в его текущем состоянии или виде.,Поддержание биоразнообразия в густонаселенных урбанизированных районах становится все более сложной задачей.
83,главный,Имеет большое значение или представляет серьезную важность.,Загрязнение воздуха является серьезной проблемой для общественного здравоохранения во многих крупнейших городах мира.
84,управлять,Отвечать за что-либо или контролировать что-либо.,Устойчивое развитие требует от правительств бережного управления природными ресурсами.
85,мера,"Действие, предпринимаемое для достижения цели; поддающееся количественной оценке.",Правительствам необходимо принять решительные меры для решения растущей проблемы безработицы среди молодежи.
86,метод,Особый способ систематического выполнения чего-либо.,Для обеспечения достоверности своих выводов ученые должны применять строгие методы исследования.
87,мигрировать,Переезд из одного региона или страны в другой.,Многие сельские жители мигрируют в города в поисках лучших возможностей трудоустройства.
88,современный,Относящийся к настоящему времени; современный.,Современные технологии коренным образом изменили способы общения людей и доступа к информации.
89,монитор,Наблюдать и проверять что-либо в течение определенного времени.,Органы здравоохранения должны постоянно контролировать качество воздуха в густонаселенных городских районах.
90,национальный,Относящийся к целой нации или типичный для неё.,Правительство ввело национальную учебную программу для стандартизации образования по всей стране.
91,естественный,Существующий в природе или созданный природой.,Чрезмерная эксплуатация природных ресурсов представляет серьезную угрозу экологической устойчивости.
92,необходимый,Обязательно или абсолютно необходимо.,Правительствам необходимо инвестировать в инфраструктуру для поддержки экономического роста.
93,отрицательный,Вредный или неблагоприятный по своей природе или последствиям.,Длительное воздействие травли в интернете может иметь серьезные негативные последствия для психического здоровья.
94,получать,Получить или приобрести что-либо посредством усилий.,Для участия в университетских стипендиальных программах студенты должны получить минимальную оценку.
95,происходить,Произойти или случиться.,"По прогнозам, из-за изменения климата стихийные бедствия будут происходить чаще."
96,возможность,"Благоприятная ситуация, позволяющая двигаться вперед.",Доступ к качественному образованию расширяет экономические возможности для молодежи.
97,исход,Результат или следствие действия.,"Программы раннего вмешательства, как правило, приводят к лучшим образовательным результатам для детей."
98,участвовать,Принять участие в каком-либо мероприятии или событии.,Следует поощрять активное участие граждан в принятии решений местными органами власти.
99,политика,"План или курс действий, принятый органом власти.",Эффективная энергетическая политика имеет решающее значение для сокращения выбросов углекислого газа в стране.
100,загрязнять,Загрязнение окружающей среды вредными веществами.,Промышленная деятельность продолжает загрязнять реки и наносить вред водным экосистемам во всем мире.
101,население,Все жители определенного места.,Старение населения создает серьезные проблемы для пенсионных и медицинских систем.
102,положительный,Оказывающий благотворное или положительное воздействие.,Позитивное отношение к непрерывному обучению может значительно улучшить карьерные перспективы.
103,потенциал,Обладающий способностью к развитию или достижению чего-либо.,Искусственный интеллект обладает потенциалом для преобразования диагностики и лечения в здравоохранении.
104,предотвращать,Предотвратить что-либо.,Программы вакцинации являются одним из наиболее эффективных способов предотвращения распространения заболеваний.
105,начальный,Наиболее важные или первые в порядке приоритета.,Главной целью любой системы здравоохранения должна быть защита и укрепление благополучия.
106,процесс,Последовательность шагов для достижения результата.,"Демократический процесс основан на том, что граждане имеют доступ к беспристрастной и достоверной информации."
107,производить,Изготовить или создать что-либо.,"Заводы, производящие большое количество выбросов, должны подлежать более строгим нормам регулирования."
108,продвигать,Поддерживать или поощрять развитие чего-либо.,"Кампании, пропагандирующие здоровые привычки питания, могут помочь снизить уровень детского ожирения."
109,предложить,Выдвинуть план или предложение.,Ряд экономистов предложили ввести налог на выбросы углерода в качестве решения проблемы сокращения выбросов.
110,защищать,Чтобы защитить от вреда или ущерба.,Правительства обязаны защищать граждан от последствий загрязнения окружающей среды.
111,предоставлять,Сделать что-либо доступным для кого-либо.,Государство обязано предоставлять основные медицинские услуги всем гражданам без дискриминации.
112,цель,"Причина, по которой что-либо существует или делается.",Главная цель высшего образования — дать студентам навыки критического мышления.
113,поднимать,Привлечь внимание к какому-либо вопросу или обратить на него внимание.,Международные организации продолжают повышать осведомленность о последствиях изменения климата.
114,уменьшать,Уменьшить что-либо в объеме или сделать его меньше.,Правительство ставит перед собой цель сократить выбросы углекислого газа на 50% в течение следующих двадцати лет.
115,отражать,Продемонстрировать что-либо или глубоко обдумать что-либо.,Государственная политика должна точно отражать потребности и ценности населения в целом.
116,область,Обширная территория с ярко выраженными характеристиками.,Уровень экономического развития значительно различается между прибрежными и внутренними регионами страны.
117,регулировать,Контролировать что-либо с помощью правил.,Правительства должны регулировать использование платформ социальных сетей для защиты молодых пользователей.
118,иметь отношение к,Иметь связь или отношение к чему-либо.,Высокий уровень неравенства тесно связан с ростом преступности и социальных волнений.
119,выпускать,Предоставить чему-либо свободу или освобождение.,Промышленные процессы продолжают выбрасывать в атмосферу большое количество загрязняющих веществ.
120,полагаться,Зависеть от кого-либо или чего-либо.,Многие развивающиеся страны по-прежнему в значительной степени зависят от ископаемого топлива для удовлетворения своих энергетических потребностей.
121,представлять,Выступать от имени чего-либо или действовать от чьего-либо имени.,Избранные должностные лица обязаны справедливо представлять интересы своих избирателей.
122,требовать,"Необходимость в чем-либо, что является существенным или обязательным.",Для решения проблемы изменения климата необходимы неотложное международное сотрудничество и политическая приверженность.
123,исследовать,Систематическое исследование с целью установления новых фактов.,Для борьбы с возникающими инфекционными заболеваниями необходимы значительные инвестиции в медицинские исследования.
124,ресурс,"Запас, который можно использовать по назначению.",Для обеспечения долгосрочной устойчивости государства должны ответственно распоряжаться своими природными ресурсами.
125,отвечать,Реагировать или отвечать на что-либо.,"Правительства должны оперативно реагировать на стихийные бедствия, чтобы минимизировать жертвы и страдания."
126,результат,"То, что является следствием действия.",Неправильное питание и малоподвижный образ жизни часто приводят к серьезным долгосрочным проблемам со здоровьем.
127,удерживать,Продолжать хранить или удерживать что-либо.,Компаниям необходимо разрабатывать более эффективные стратегии для удержания талантливых сотрудников на конкурентных рынках.
128,раскрывать,Сделать ранее скрытым известным.,Недавние исследования выявили сильную корреляцию между неравенством доходов и ухудшением состояния здоровья.
129,роль,"Функция или должность, которую занимает кто-либо или что-либо.",Образование играет решающую роль в сокращении социального неравенства и содействии социальной мобильности.
130,деревенский,"Относится скорее к сельской местности, чем к городам.","Сельские общины часто не имеют доступа к тем же образовательным ресурсам, что и городское население."
131,сектор,Отдельная часть экономики или общества.,Государственный сектор играет жизненно важную роль в предоставлении гражданам основных услуг.
132,значительный,"Важно или достаточно масштабно, чтобы оказать влияние.",В последние десятилетия наблюдается статистически значимое снижение уровня преступности.
133,общество,"Сообщество людей, живущих вместе.",Справедливое общество должно обеспечивать равные возможности для всех своих граждан.
134,решение,Способ решения проблемы.,Международное сотрудничество необходимо для поиска долгосрочных решений проблемы глобального изменения климата.
135,источник,Происхождение или поставка чего-либо.,При представлении доказательств в научных работах исследователи обязаны ссылаться на надежные источники.
136,стандарт,Ожидаемый уровень качества или достижений.,Повышение уровня образования считается необходимым условием для улучшения конкурентоспособности национальной экономики.
137,стратегия,"План, разработанный для достижения долгосрочной цели.",Правительство представило новую национальную стратегию по борьбе с растущим уровнем ожирения.
138,структура,Организованное расположение частей чего-либо.,Жесткие социальные структуры могут препятствовать социальной мобильности и увековечивать неравенство.
139,предлагать,Выдвинуть идею или возможность.,"Имеющиеся данные свидетельствуют о том, что раннее детское образование оказывает долгосрочное положительное влияние на когнитивное развитие."
140,поддерживать,Оказывать помощь или отстаивать что-либо.,Государственная финансовая поддержка малого бизнеса имеет решающее значение в периоды экономического спада.
141,поддерживать,Поддерживать или обеспечивать функционирование чего-либо в течение длительного времени.,"Крайне важно принимать политику, которая обеспечивает устойчивый экономический рост без ущерба для окружающей среды."
142,система,Организованный набор взаимосвязанных элементов.,Хорошо финансируемая система здравоохранения имеет важное значение для поддержания здоровья и продуктивности населения.
143,цель,"Цель или группа, на которую направлен конкретный объект.",Страны должны установить амбициозные цели по сокращению выбросов парниковых газов к 2050 году.
144,технологии,"Научные знания, применяемые на практике.",Достижения в области технологий сделали возможным доступ к информации в любой точке мира.
145,иметь тенденцию,Иметь общее влечение к чему-либо.,"Более богатые страны, как правило, производят больше выбросов углекислого газа на душу населения, чем развивающиеся страны."
146,теория,"Система идей, используемая для объяснения явлений.",Теория эволюции Дарвина коренным образом изменила наше понимание жизни на Земле.
147,традиционный,Основано на давно устоявшихся обычаях и традициях.,Глобализация бросила вызов традиционным ценностям и культурной идентичности во многих обществах.
148,трансформировать,Полностью изменить что-либо по форме или природе.,"Цифровые технологии способны изменить то, как люди работают и общаются."
149,тренд,Общее направление развития чего-либо.,Глобальная тенденция к урбанизации не демонстрирует признаков замедления в ближайшие десятилетия.
150,городской,Относящийся к городу или характеризующий его.,Стремительное урбанизация оказала огромное давление на инфраструктуру общественного транспорта.
151,ценить,"Важность или ценность, придаваемая чему-либо.","В основе большинства современных демократических конституций лежат такие основополагающие ценности, как равенство и справедливость."
152,отличаться,Изменяться или меняться в зависимости от условий.,Продолжительность жизни значительно различается в разных странах в зависимости от уровня дохода и качества здравоохранения.
153,жертва,"Человек, пострадавший от преступления или несчастья.","Необходимо создать адекватные системы поддержки, чтобы помочь жертвам домашнего насилия восстановиться."
154,благосостояние,"Здоровье, счастье и благополучие человека.",Социальное государство обеспечивает гражданам социальную защиту в периоды безработицы или болезни.
155,доступ,Способность или право получить или использовать что-либо.,Обеспечение равного доступа к здравоохранению является основополагающей обязанностью любого справедливого правительства.
156,адаптировать,Приспособиться к новым условиям или обстоятельствам.,"Чтобы оставаться конкурентоспособными, предприятиям необходимо постоянно адаптироваться к быстро меняющимся рыночным условиям."
157,адрес,Обсудить или решить проблему.,Разработчикам политики необходимо в срочном порядке решить проблему роста числа бездомных в крупных городах.
158,адекватный,Удовлетворительный или достаточный для конкретной цели.,Каждый ребенок имеет право на получение качественного образования и питания.
159,агентство,"Организация, действующая от имени другой организации; автономия.",Для надзора за вопросами охраны окружающей среды было создано специальное правительственное агентство.
160,спорить,Представить доводы в поддержку той или иной позиции.,"Многие экономисты утверждают, что свободная торговля выгодна как развивающимся, так и развитым странам."
161,осведомленный,Обладающий знанием или осознанием чего-либо.,Молодые люди все больше осознают последствия изменения климата для своего будущего.
162,баланс,Равномерное распределение или устойчивое равновесие.,"Необходим сбалансированный подход, который способствует экономическому росту и одновременно защищает окружающую среду."
163,барьер,"Что-то, что препятствует доступу или продвижению.",Финансовые барьеры по-прежнему препятствуют доступу многих талантливых студентов к высшему образованию.
164,поведение,Способ действия человека или организма.,Образовательные программы могут эффективно изменить поведение и способствовать выбору более здорового образа жизни.
165,бюджет,Оценка доходов и расходов за определенный период.,Правительства обязаны выделять достаточную часть национального бюджета на государственное образование.
166,капитал,"Богатство, используемое для получения дохода; местонахождение правительства страны.",Инвестиции в человеческий капитал посредством образования приносят значительную долгосрочную экономическую выгоду.
167,диаграмма,Визуальное представление данных; запись данных.,На диаграмме показан устойчивый рост среднемировой температуры с 1980 по 2020 год.
168,выбор,Выборка сделана из доступных альтернатив.,"Правительства должны уважать право граждан на выбор, одновременно обеспечивая их надлежащую информированность."
169,собирать,Собрать воедино предметы или информацию.,"Исследователи собирают данные от тысяч участников, чтобы обеспечить статистическую достоверность."
170,совершить,Пообещать или посвятить себя какому-либо действию.,"Страны должны взять на себя обязательства по заключению обязательных соглашений, направленных на существенное сокращение выбросов парниковых газов."
171,общаться,Для эффективного обмена информацией.,Умение четко и убедительно излагать свои мысли имеет важное значение в академической и профессиональной жизни.
172,соревноваться,"Стремиться к одной и той же цели, соревнуясь с другими.",Для эффективной конкуренции в глобальной экономике странам необходимо инвестировать в образование и инновации.
173,конфликт,Серьезное разногласие или затяжная борьба.,Вооруженные конфликты продолжают приводить к перемещению миллионов людей в различных регионах мира.
174,договор,Официальное юридическое соглашение между сторонами.,"Работники всегда должны внимательно читать трудовой договор, прежде чем подписывать какой-либо документ."
175,справляться,Эффективно справляться со сложной ситуацией.,Многие населенные пункты с трудом справляются с участившимися стихийными бедствиями.
176,коррумпированный,Нечестный или готовый действовать неэтично ради выгоды.,"Коррумпированные чиновники, злоупотребляющие государственными средствами, подрывают доверие граждан к правительству."
177,расходы,"Сумма, необходимая для покупки или совершения чего-либо.","Рост стоимости жизни приводит к тому, что малообеспеченным семьям становится все труднее позволить себе жилье."
178,преступление,"Незаконное деяние, наказуемое по закону.",Устранение коренных причин бедности имеет решающее значение для снижения уровня насильственных преступлений.
179,кризис,Время сильных трудностей или опасности.,"Глобальный финансовый кризис 2008 года продемонстрировал, насколько взаимосвязаны современные экономики."
180,критический,Требует тщательного анализа; имеет большое значение.,Критическое мышление — это важнейший навык для анализа сложных вопросов в академической и профессиональной жизни.
181,снижаться,Уменьшиться в размере или количестве.,"В мире наблюдается устойчивое снижение числа людей, живущих в условиях крайней нищеты."
182,демократия,"Система правления, осуществляемая избранными представителями.",Эффективная демократия зависит от хорошо информированного гражданского общества и свободной прессы.
183,обнаружить,Обнаружить или идентифицировать наличие чего-либо.,"Современные методы скрининга позволяют выявлять некоторые виды рака на ранней стадии, что облегчает их лечение."
184,болезнь,"Заболевание, вызванное инфекцией или нарушением функции организма.",Для предотвращения распространения инфекционных заболеваний необходимы значительные инвестиции в инфраструктуру здравоохранения.
185,одомашненный,Относящийся к родине или собственной стране.,Решения во внутренней политике могут иметь значительные последствия для международного авторитета страны.
186,доминировать,Обладать наибольшей властью или влиянием над другими.,Небольшое число транснациональных корпораций доминирует в мировой торговле продуктами питания.
187,экономика,Система производства и потребления в стране.,Диверсификация национальной экономики снижает уязвимость страны к колебаниям цен на сырьевые товары.
188,выброс,Производство и выброс газа в атмосферу.,Сокращение выбросов углекислого газа имеет первостепенное значение для международных усилий по борьбе с изменением климата.
189,обеспечить,Принудить к соблюдению закона или правила.,Без достаточных ресурсов правительства не могут эффективно обеспечивать соблюдение законов об охране окружающей среды.
190,идентифицировать,Распознать или установить идентичность чего-либо.,"Цель исследования — выявить ключевые факторы, способствующие росту уровня безработицы среди молодежи."
191,наблюдать,Внимательно наблюдать или замечать что-либо.,"Ученые изучают поведение животных в естественной среде обитания, чтобы лучше понять экологические системы."
192,категория,"Класс или группа вещей, обладающих общими качествами.","В отчете отходы разделены на три основные категории: пригодные для переработки, органические и опасные."
193,принцип,"Фундаментальная истина или правило, определяющее поведение.",Принцип равенства лежит в основе международного права в области прав человека и демократического управления.
194,публиковать,Сделать информацию или работу доступной для общественности.,"Для того чтобы внести вклад в научные знания, исследователи должны публиковать свои результаты в авторитетных научных журналах."
195,внедрять инновации,Внедрить новые идеи или методы.,"Компании, которые не внедряют инновации, рискуют быть вытесненными более гибкими конкурентами на рынке."
196,интегрировать,Соединять или включать части в единое целое.,"Необходимы эффективные стратегии, которые помогут беженцам интегрироваться в принимающие сообщества."
197,выделить,Распределять ресурсы для конкретной цели.,Правительства обязаны выделять достаточные средства для поддержания и улучшения государственных служб здравоохранения.
198,координата,Организовывать людей или группы для совместной работы.,Международные организации должны координировать свои усилия по оказанию помощи при стихийных бедствиях для достижения максимальной эффективности.
199,дебаты,Формальное обсуждение противоположных точек зрения.,Среди экономистов продолжаются дебаты о долгосрочных последствиях глобализации для неравенства.
200,разоблачать,Раскрыть или оставить незащищенным от чего-либо.,"Дети, подвергающиеся воздействию насилия в средствах массовой информации, могут развить невосприимчивость к причинению вреда."
201,ускорять,Увеличиваться в скорости или темпе.,Технологические инновации ускорили экономический рост во многих развивающихся странах.
202,разместить,Предоставить пространство или адаптироваться к потребностям.,"Городам необходимо расширять инфраструктуру, чтобы удовлетворить потребности растущего городского населения."
203,накапливать,Постепенно накапливаться или накапливаться с течением времени.,"В развитых странах домохозяйства, как правило, накапливают большее богатство на протяжении поколений."
204,сознавать,Признать или подтвердить существование чего-либо.,Правительствам необходимо признать роль бедности в усугублении социального неравенства.
205,приобретение,"Действие, заключающееся в получении чего-либо или приобретении чего-либо.",Раннее освоение языка имеет решающее значение для долгосрочных академических успехов ребенка.
206,неблагоприятный,Оказывает вредное или неблагоприятное воздействие.,Длительное воздействие загрязнения окружающей среды может оказывать негативное воздействие на здоровье населения.
207,защитник,Публично поддержать какое-либо дело или политику.,Многие педагоги выступают за уменьшение численности классов для улучшения результатов обучения.
208,облегчить,Смягчить страдания или проблему.,Программы иностранной помощи направлены на сокращение бедности в наименее развитых странах мира.
209,амбициозный,Сильное стремление к достижению сложных целей.,Правительство поставило перед собой амбициозную цель — сократить выбросы углекислого газа на 50% к 2030 году.
210,усилить,Усилить действие чего-либо.,"Социальные сети могут усиливать общественные дискуссии, но также и быстро распространять дезинформацию."
211,предвидеть,"Ожидать или предсказывать что-либо до того, как это произойдет.","При планировании государственных услуг лица, принимающие политические решения, должны учитывать будущие демографические изменения."
212,очевидный,Явно видимый или очевидный; кажущийся истинным.,"Совершенно очевидно, что доступ к качественному образованию остается неравным для всех социальных слоев."
213,атрибут,Рассматривать что-либо как результат действия какого-либо фактора.,Исследователи связывают рост ожирения в основном с неправильными пищевыми привычками и малоподвижным образом жизни.
214,автономный,"Действовать самостоятельно, без внешнего контроля.","Ожидается, что автономные транспортные средства преобразят мировую транспортную отрасль."
215,биоразнообразие,Разнообразие растительного и животного мира в данной среде обитания.,Вырубка лесов представляет собой серьезную угрозу биоразнообразию тропических лесов.
216,груз,Тяжелая ноша или ответственность; перегрузка.,"Рост расходов на здравоохранение ложится значительным бременем как на отдельных лиц, так и на правительства."
217,емкость,"Максимальное количество вещества, которое может вместить или сделать что-либо.",Развивающимся странам необходимо наращивать свой институциональный потенциал для эффективного решения проблемы изменения климата.
218,углеродный след,"Общий объем парниковых газов, произведенных организацией.",Переход на растительную диету может значительно сократить выбросы углекислого газа.
219,хронический,Длительный; постоянно повторяющийся.,Хроническая безработица в сельских районах способствует повсеместной бедности и социальной изоляции.
220,гражданский,Относительно граждан и их обязанностей.,Гражданская активность имеет важное значение для поддержания здоровой и функционирующей демократии.
221,сотрудничество,Совместная работа с другими для достижения цели.,"Международное сотрудничество необходимо для решения глобальных проблем, таких как изменение климата."
222,компетентность,Способность эффективно выполнять какое-либо действие.,Работодатели все чаще ценят цифровую компетентность наряду с традиционным академическим образованием.
223,согласие,"Соответствие правилам, стандартам или законам.",Строгое соблюдение экологических норм имеет важное значение для устойчивого промышленного развития.
