id,front,back,example
11,কারণ,এমন কিছু যা প্রভাব বা ফলাফল তৈরি করে।,দারিদ্র্যকে প্রায়শই সামাজিক বৈষম্যের মূল কারণ হিসেবে উল্লেখ করা হয়।
12,চ্যালেঞ্জ,একটি কঠিন সমস্যা বা কাজ যার জন্য প্রচেষ্টা প্রয়োজন।,জলবায়ু পরিবর্তন আধুনিক সমাজের মুখোমুখি সবচেয়ে বড় চ্যালেঞ্জগুলির মধ্যে একটি।
13,নাগরিক,একটি রাষ্ট্রের আইনত স্বীকৃত সদস্য।,গণতান্ত্রিক নির্বাচনে অংশগ্রহণ করা প্রতিটি নাগরিকের কর্তব্য।
14,দাবি,কোন কিছুকে সত্য হিসেবে বর্ণনা করা অথবা অধিকার হিসেবে দাবি করা।,কিছু গবেষক দাবি করেন যে সোশ্যাল মিডিয়া কিশোর-কিশোরীদের মানসিক স্বাস্থ্যের জন্য ক্ষতিকর।
15,শ্রেণীবদ্ধ করা,জিনিসগুলিকে বিভাগ বা গোষ্ঠীতে সাজানো।,বিজ্ঞানীরা জীবকে তাদের জিনগত এবং শারীরিক বৈশিষ্ট্য অনুসারে শ্রেণীবদ্ধ করেন।
16,সম্প্রদায়,একদল লোক একটি অবস্থান বা আগ্রহ ভাগ করে নিচ্ছে।,শক্তিশালী সম্প্রদায় সহায়তা নেটওয়ার্ক বয়স্কদের মধ্যে সামাজিক বিচ্ছিন্নতা কমাতে সাহায্য করে।
17,তুলনা করা,জিনিসের মধ্যে মিল এবং পার্থক্য পরীক্ষা করা।,এই প্রবন্ধটি সরকারি ও বেসরকারি স্বাস্থ্যসেবা ব্যবস্থার কার্যকারিতা তুলনা করবে।
18,জটিল,অনেকগুলি পরস্পর সংযুক্ত অংশ দিয়ে তৈরি; বোঝা কঠিন।,দারিদ্র্য এবং অপরাধের মধ্যে সম্পর্ক অত্যন্ত জটিল এবং বহুমুখী।
19,ধারণা,একটি বিমূর্ত ধারণা বা সাধারণ নীতি।,স্থায়িত্বের ধারণাটি আধুনিক পরিবেশ নীতির কেন্দ্রবিন্দুতে।
20,উদ্বেগ,এমন একটি উদ্বেগ বা সমস্যা যা উদ্বেগ বা আগ্রহের কারণ হয়।,প্লাস্টিক দূষণ নিয়ে ক্রমবর্ধমান উদ্বেগ অনেক সরকারকে পদক্ষেপ নিতে উৎসাহিত করেছে।
21,উপসংহার করা,যুক্তির পর সিদ্ধান্ত বা রায়ে পৌঁছানো।,গবেষণায় উপসংহারে বলা হয়েছে যে নিয়মিত ব্যায়াম বিষণ্নতার ঝুঁকি উল্লেখযোগ্যভাবে হ্রাস করে।
22,অবস্থা,কোন কিছুকে প্রভাবিত করে এমন অবস্থা বা পরিস্থিতি।,গ্রামীণ এলাকার জীবনযাত্রার মান উন্নত করা নীতিনির্ধারকদের কাছে একটি অগ্রাধিকার।
23,আচরণ,কোনও কার্যকলাপ সম্পাদন করা; আচরণ বা পদ্ধতি।,বিশ্ববিদ্যালয়টি পাঁচ বছর ধরে শিক্ষার্থীদের সুস্থতার উপর একটি দীর্ঘমেয়াদী গবেষণা পরিচালনা করবে।
24,পরিণতি,কোনও ক্রিয়া বা ঘটনার ফলাফল বা প্রভাব।,বন উজাড় জীববৈচিত্র্য এবং বৈশ্বিক জলবায়ু পরিবর্তনের উপর মারাত্মক প্রভাব ফেলছে।
25,বিবেচনা করা,কোন কিছু সিদ্ধান্ত নেওয়ার আগে ভালোভাবে চিন্তা করা।,নীতিনির্ধারকদের অবসরের বয়স বৃদ্ধির দীর্ঘমেয়াদী প্রভাব বিবেচনা করতে হবে।
26,গঠিত,অংশ দিয়ে তৈরি বা গঠিত।,"একটি সুষম খাদ্যতালিকায় প্রোটিন, কার্বোহাইড্রেট, চর্বি, ভিটামিন এবং খনিজ পদার্থ থাকা উচিত।"
27,গ্রাস করা,সম্পদ নষ্ট করা বা কিছু খাওয়া/পান করা।,উন্নত দেশগুলি উন্নয়নশীল দেশগুলির তুলনায় মাথাপিছু প্রাকৃতিক সম্পদের ব্যবহার অনেক বেশি করে।
28,অবদান রাখা,সম্মিলিত প্রচেষ্টা বা ফলাফল প্রদান করা বা যোগ করা।,স্বেচ্ছাসেবক ব্যক্তিগত উন্নয়ন এবং সম্প্রদায়ের কল্যাণ উভয় ক্ষেত্রেই ব্যাপক অবদান রাখতে পারে।
29,নিয়ন্ত্রণ,কোনও কিছুর উপর নিয়ন্ত্রণ বা ক্ষমতা রাখা।,বায়ু দূষণ মোকাবেলায় শিল্প নির্গমনের উপর কঠোর সরকারি নিয়ন্ত্রণ প্রয়োজন।
30,তৈরি করা,কিছু অস্তিত্বে আনার জন্য।,নবায়নযোগ্য জ্বালানিতে বিনিয়োগ অর্থনীতি জুড়ে হাজার হাজার নতুন কর্মসংস্থান তৈরি করতে পারে।
31,সংস্কৃতি,"একটি সমাজের বিশ্বাস, রীতিনীতি এবং শিল্প।",বিশ্বায়ন বিশ্বজুড়ে স্থানীয় সংস্কৃতিকে সমৃদ্ধ এবং হুমকির মুখে ফেলেছে।
32,তথ্য,বিশ্লেষণের জন্য সংগৃহীত তথ্য বা পরিসংখ্যান।,কার্যকর জনস্বাস্থ্য নীতিমালা প্রণয়নের জন্য নির্ভরযোগ্য তথ্য অপরিহার্য।
33,পতন,সময়ের সাথে সাথে হ্রাস বা ছোট হওয়া।,সাম্প্রতিক দশকগুলিতে মানুষের কার্যকলাপের কারণে জীববৈচিত্র্যের তীব্র অবনতি ঘটেছে।
34,সংজ্ঞায়িত করা,কোনও কিছুর অর্থ বা প্রকৃতি বর্ণনা করা।,নীতিগত সমাধান নিয়ে আলোচনা করার আগে 'স্থায়িত্ব' শব্দটি স্পষ্টভাবে সংজ্ঞায়িত করা গুরুত্বপূর্ণ।
35,চাহিদা,কোনও ভালো জিনিস বা পরিষেবার প্রয়োজন বা আকাঙ্ক্ষা।,বৈদ্যুতিক যানবাহনের ক্রমবর্ধমান চাহিদা ব্যাটারি প্রযুক্তিতে উদ্ভাবনকে চালিত করছে।
36,নির্ভর করা,সমর্থনের জন্য কারো বা কিছুর উপর নির্ভর করা।,অনেক উন্নয়নশীল দেশ মৌলিক অবকাঠামোগত উন্নয়নের জন্য বিদেশী সাহায্যের উপর ব্যাপকভাবে নির্ভর করে।
37,বর্ণনা করা,কথায় কথায় কিছুর হিসাব দেওয়া।,প্রতিবেদনে ১৯৫০ সাল থেকে বিশ্বব্যাপী গড় তাপমাত্রা উল্লেখযোগ্যভাবে বৃদ্ধি পেয়েছে বলে বর্ণনা করা হয়েছে।
38,বিকাশ করা,"বৃদ্ধি, অগ্রগতি, অথবা নতুন কিছু তৈরি করা।",ক্রমবর্ধমান জনসংখ্যার চাহিদা মেটাতে দেশগুলিকে অবশ্যই টেকসই কৃষি বিকাশ করতে হবে।
39,পার্থক্য,এমন একটি উপায় যেখানে জিনিসগুলি একে অপরের থেকে আলাদা।,শহর ও গ্রামীণ জনগোষ্ঠীর মধ্যে আয়ের স্তরে উল্লেখযোগ্য পার্থক্য রয়েছে।
40,বিতরণ করা,কোনও এলাকা জুড়ে কিছু ছড়িয়ে দেওয়া বা সরবরাহ করা।,নাগরিকদের মধ্যে সরকারি সম্পদের সুষম বণ্টন করা সরকারের দায়িত্ব।
41,বৈচিত্র্যময়,অনেক ধরণের বা জাত সহ।,একটি বৈচিত্র্যময় কর্মীবাহিনী একটি প্রতিষ্ঠানে বিস্তৃত দৃষ্টিভঙ্গি এবং ধারণা নিয়ে আসে।
42,অর্থনৈতিক,অর্থ উৎপাদন এবং ব্যবহারের সাথে সম্পর্কিত।,দ্রুত অর্থনৈতিক উন্নয়ন এশিয়ার লক্ষ লক্ষ মানুষকে দারিদ্র্য থেকে মুক্ত করেছে।
43,শিক্ষা,পদ্ধতিগত নির্দেশনা গ্রহণের প্রক্রিয়া।,মানসম্মত শিক্ষার সুযোগ ব্যাপকভাবে একটি মৌলিক মানবাধিকার হিসেবে বিবেচিত।
44,প্রভাব,একটি কারণ দ্বারা সৃষ্ট পরিবর্তন বা ফলাফল।,জ্ঞানীয় কার্যকলাপের উপর ঘুমের অভাবের দীর্ঘমেয়াদী প্রভাবগুলি সুপরিচিত।
45,আবির্ভূত হওয়া,অস্তিত্বে আসা বা পরিচিত হওয়া।,বিশ্বব্যাপী জ্বালানি সংকটের সমাধান হিসেবে নতুন প্রযুক্তির আবির্ভাব অব্যাহত রয়েছে।
46,নিযুক্ত করা,বেতনের বিনিময়ে কাউকে কাজ দেওয়ার জন্য।,উৎপাদন খাত জাতীয় কর্মীবাহিনীর একটি বৃহৎ অংশকে নিযুক্ত করে চলেছে।
47,শক্তি,প্রাকৃতিক বা রূপান্তরিত সম্পদ থেকে প্রাপ্ত শক্তি।,গ্রিনহাউস গ্যাস নির্গমন কমাতে নবায়নযোগ্য জ্বালানি উৎসে রূপান্তর অত্যন্ত গুরুত্বপূর্ণ।
48,পরিবেশ,কোনও জীবের প্রাকৃতিক জগৎ বা পারিপার্শ্বিকতা।,প্রাকৃতিক পরিবেশ রক্ষা করা সরকার এবং ব্যক্তি উভয়ের জন্যই অগ্রাধিকার হওয়া উচিত।
49,প্রতিষ্ঠা করা,দৃঢ় ভিত্তিতে কিছু স্থাপন বা তৈরি করা।,আর্থিক খাত তদারকির জন্য সরকার একটি নতুন নিয়ন্ত্রক সংস্থা প্রতিষ্ঠা করেছে।
50,মূল্যায়ন করা,কোন কিছুর মূল্য বা গুণমান মূল্যায়ন করা।,তথ্যের উৎস উদ্ধৃত করার আগে সেগুলোর সমালোচনামূলক মূল্যায়ন করা অপরিহার্য।
51,প্রমাণ,কোনও উপসংহারকে সমর্থন করে এমন তথ্য বা তথ্য।,ধূমপানের সাথে বিভিন্ন গুরুতর রোগের সম্পর্ক থাকার শক্তিশালী অভিজ্ঞতালব্ধ প্রমাণ রয়েছে।
52,পরীক্ষা করা,সাবধানে কিছু তদন্ত বা পরিদর্শন করা।,এই প্রবন্ধটি অর্থনৈতিক বৈষম্য এবং অপরাধের হারের মধ্যে সম্পর্ক পরীক্ষা করবে।
53,প্রসারিত করা,"আকার, সংখ্যা বা পরিধি বৃদ্ধি করা।",অনেক কর্পোরেশন এশিয়ার উদীয়মান বাজারগুলিতে তাদের কার্যক্রম সম্প্রসারণের চেষ্টা করে।
54,আশা করা,ভবিষ্যতে কিছু ঘটবে বলে বিশ্বাস করা।,এটা ব্যাপকভাবে আশা করা হচ্ছে যে কয়েক দশকের মধ্যে অটোমেশন কর্মসংস্থানের দৃশ্যপটকে বদলে দেবে।
55,অভিজ্ঞতা,অনুশীলনের মাধ্যমে অর্জিত জ্ঞান বা দক্ষতা।,কর্ম অভিজ্ঞতার স্থান শিক্ষার্থীদের ভবিষ্যতের কর্মসংস্থানের জন্য ব্যবহারিক দক্ষতা বিকাশে সহায়তা করে।
56,ব্যাখ্যা করা,বর্ণনা করে কিছু স্পষ্ট করে তোলা।,জটিল তত্ত্বগুলি স্পষ্টভাবে ব্যাখ্যা করার অধ্যাপকের দক্ষতা তাকে অত্যন্ত সম্মানিত করে তুলেছিল।
57,গুণনীয়ক,একটি উপাদান যা ফলাফলে অবদান রাখে।,একজন ব্যক্তির দীর্ঘমেয়াদী স্বাস্থ্যের ফলাফল নির্ধারণে খাদ্যাভ্যাস এবং ব্যায়াম গুরুত্বপূর্ণ বিষয়।
58,বৈশিষ্ট্য,কোনও কিছুর একটি স্বতন্ত্র বৈশিষ্ট্য বা গুণ।,সফল নগর পরিকল্পনার একটি মূল বৈশিষ্ট্য হল সহজলভ্য সবুজ স্থানের ব্যবস্থা করা।
59,ফোকাস,কোনও কিছুর উপর মনোযোগ বা প্রচেষ্টা কেন্দ্রীভূত করা।,সরকারি নীতিমালায় নিম্ন আয়ের পরিবারগুলির জন্য সাশ্রয়ী মূল্যের আবাসন প্রদানের উপর জোর দেওয়া উচিত।
60,ফাংশন,কোন কিছু যে উদ্দেশ্য বা ভূমিকা পূরণের জন্য তৈরি করা হয়েছে।,রোগ প্রতিরোধ ব্যবস্থার প্রাথমিক কাজ হল শরীরকে রোগ থেকে রক্ষা করা।
61,উৎপন্ন করা,কিছু তৈরি বা তৈরি করা।,সৌর প্যানেলগুলি একটি সম্পূর্ণ পরিবারকে বিদ্যুৎ সরবরাহ করার জন্য যথেষ্ট বিদ্যুৎ উৎপাদন করতে পারে।
62,বিশ্বব্যাপী,সমগ্র বিশ্বের সাথে সম্পর্কিত বা আচ্ছাদিত।,জলবায়ু পরিবর্তনের চ্যালেঞ্জগুলি কার্যকরভাবে মোকাবেলা করার জন্য বিশ্বব্যাপী সহযোগিতা অপরিহার্য।
63,শাসন ​​করা,একটি দেশ বা সংস্থাকে নিয়ন্ত্রণ বা নির্দেশ করা।,গণতান্ত্রিক দেশগুলিকে এমনভাবে পরিচালিত করতে হবে যা জনগণের ইচ্ছাকে প্রতিফলিত করে।
64,বৃদ্ধি,আকার বা মান বৃদ্ধির প্রক্রিয়া।,বেকারত্ব কমাতে এবং জীবনযাত্রার মান উন্নত করতে টেকসই অর্থনৈতিক প্রবৃদ্ধি প্রয়োজন।
65,ক্ষতি,কোনও কিছুর শারীরিক বা মানসিক ক্ষতি।,সোশ্যাল মিডিয়ার অতিরিক্ত ব্যবহার দুর্বল তরুণদের মানসিক ক্ষতি করতে পারে।
66,স্বাস্থ্য,অসুস্থতা বা আঘাত থেকে মুক্ত থাকার অবস্থা।,রোগের বিস্তার রোধে সরকারগুলিকে জনস্বাস্থ্য অবকাঠামোতে বিনিয়োগ করতে হবে।
67,প্রভাব,কোনও কিছুর উপর শক্তিশালী প্রভাব বা প্রভাব।,নগরায়ণের ফলে স্থানীয় বাস্তুতন্ত্র এবং জল সম্পদের উপর উল্লেখযোগ্য প্রভাব পড়ে।
68,বাস্তবায়ন করা,একটি পরিকল্পনা বা সিদ্ধান্ত কার্যকর করা।,শিল্প কার্বন নির্গমন কমাতে সরকার নতুন নিয়মকানুন বাস্তবায়নের পরিকল্পনা করছে।
69,উন্নত করা,গুণগতভাবে উন্নত করা বা হওয়া।,দীর্ঘমেয়াদী অর্থনৈতিক ফলাফল উন্নত করার জন্য শিক্ষায় বিনিয়োগ সবচেয়ে কার্যকর উপায়।
70,বৃদ্ধি,পরিমাণে বেশি কিছু হওয়া বা তৈরি করা।,বিশ্বব্যাপী বিক্রিত বৈদ্যুতিক গাড়ির সংখ্যা নাটকীয়ভাবে বৃদ্ধি পেয়েছে।
71,ইঙ্গিত করা,সম্ভাব্য কিছু দেখানো বা নির্দেশ করা।,সাম্প্রতিক গবেষণাগুলি ইঙ্গিত দেয় যে নিয়মিত শারীরিক কার্যকলাপ দীর্ঘস্থায়ী অসুস্থতার ঝুঁকি হ্রাস করে।
72,ব্যক্তি,"একক ব্যক্তি, একটি গোষ্ঠী থেকে আলাদা।",যেকোনো গণতান্ত্রিক সমাজের ভিত্তি হলো ব্যক্তি অধিকার রক্ষা করা।
73,প্রভাব,মানুষ বা জিনিসের উপর প্রভাব ফেলার ক্ষমতা।,তরুণদের রাজনৈতিক মতামতের উপর সোশ্যাল মিডিয়ার গভীর প্রভাব রয়েছে।
74,পরিকাঠামো,একটি সম্প্রদায়কে সমর্থনকারী মৌলিক ভৌত ব্যবস্থা।,আঞ্চলিক অর্থনৈতিক উন্নয়নকে উদ্দীপিত করার জন্য পরিবহন অবকাঠামোতে বিনিয়োগ অত্যন্ত গুরুত্বপূর্ণ।
75,উদ্যোগ,সমস্যা সমাধানের লক্ষ্যে একটি নতুন পরিকল্পনা বা পদক্ষেপ।,তরুণদের STEM-তে ক্যারিয়ার গড়তে উৎসাহিত করার জন্য সরকার একটি নতুন উদ্যোগ শুরু করেছে।
76,প্রতিষ্ঠান,সামাজিক উদ্দেশ্য সম্পন্ন একটি প্রতিষ্ঠিত সংগঠন।,একটি ন্যায্য ও ন্যায়সঙ্গত সমাজ নিশ্চিত করার জন্য গণতান্ত্রিক প্রতিষ্ঠানগুলিকে স্বাধীন থাকতে হবে।
77,জড়িত করা,অংশ হিসেবে কিছু অন্তর্ভুক্ত করা বা প্রয়োজন করা।,কার্যকর নগর পরিকল্পনায় বাসিন্দাদের সিদ্ধান্ত গ্রহণ প্রক্রিয়ায় সক্রিয়ভাবে জড়িত করা উচিত।
78,ইস্যু,আলোচনার জন্য একটি গুরুত্বপূর্ণ বিষয় বা সমস্যা।,জলবায়ু পরিবর্তন আজ আন্তর্জাতিক সম্প্রদায়ের মুখোমুখি সবচেয়ে গুরুত্বপূর্ণ সমস্যাগুলির মধ্যে একটি।
79,ন্যায্যতা প্রমাণ করা,কোন কিছু সঠিক বা যুক্তিসঙ্গত তা দেখানো বা প্রমাণ করা।,সরকারগুলিকে অবশ্যই তাদের নাগরিকদের কাছে বর্ধিত প্রতিরক্ষা ব্যয়কে ন্যায্যতা দিতে সক্ষম হতে হবে।
80,অভাব,প্রয়োজনীয় কিছুর অনুপস্থিতি বা ঘাটতি।,উন্নয়নশীল দেশগুলিতে বিশুদ্ধ পানির অভাব একটি বড় চ্যালেঞ্জ হিসেবে রয়ে গেছে।
81,সীমা,এমন একটি বিন্দু যার বাইরে কিছু যেতে পারে না।,কার্বন ডাই অক্সাইড নির্গমনের উপর আইনত বাধ্যতামূলক সীমা নির্ধারণে জাতিগুলিকে সম্মত হতে হবে।
82,বজায় রাখা,কোন কিছুকে তার বর্তমান অবস্থা বা অবস্থায় রাখা।,নগরায়ণকারী এলাকায় জীববৈচিত্র্য বজায় রাখা ক্রমশ কঠিন হয়ে উঠছে।
83,প্রধান,অত্যন্ত গুরুত্বপূর্ণ বা গুরুত্বের।,বিশ্বের অনেক বৃহৎ শহরে বায়ু দূষণ একটি প্রধান জনস্বাস্থ্য উদ্বেগের বিষয়।
84,পরিচালনা করা,কোনও কিছুর দায়িত্বে থাকা বা নিয়ন্ত্রণ করা।,টেকসই উন্নয়নের জন্য সরকারকে প্রাকৃতিক সম্পদের যত্ন সহকারে ব্যবস্থাপনা করতে হবে।
85,পরিমাপ,লক্ষ্য অর্জনের জন্য গৃহীত একটি পদক্ষেপ; পরিমাণ নির্ধারণ করা।,যুব বেকারত্বের ক্রমবর্ধমান সমস্যা মোকাবেলায় সরকারকে অবশ্যই সিদ্ধান্তমূলক পদক্ষেপ নিতে হবে।
86,পদ্ধতি,পদ্ধতিগতভাবে কিছু করার একটি বিশেষ উপায়।,বিজ্ঞানীদের তাদের গবেষণার বৈধতা নিশ্চিত করার জন্য কঠোর গবেষণা পদ্ধতি গ্রহণ করতে হবে।
87,স্থানান্তরিত হওয়া,এক অঞ্চল বা দেশ থেকে অন্য অঞ্চলে স্থানান্তরিত হওয়া।,অনেক গ্রামীণ শ্রমিক উন্নত কর্মসংস্থানের সন্ধানে শহরে পাড়ি জমান।
88,আধুনিক,বর্তমান সময়ের সাথে সম্পর্কিত; সমসাময়িক।,আধুনিক প্রযুক্তি মানুষের যোগাযোগ এবং তথ্য অ্যাক্সেসের পদ্ধতিতে মৌলিক পরিবর্তন এনেছে।
89,মনিটর,সময়ের সাথে সাথে কিছু পর্যবেক্ষণ এবং পরীক্ষা করা।,স্বাস্থ্য কর্তৃপক্ষকে ঘনবসতিপূর্ণ শহরাঞ্চলে বায়ুর মান ক্রমাগত পর্যবেক্ষণ করতে হবে।
90,জাতীয়,একটি সমগ্র জাতির সাথে সম্পর্কিত বা সাধারণ।,সরকার দেশব্যাপী শিক্ষার মানসম্মতকরণের জন্য একটি জাতীয় পাঠ্যক্রম চালু করেছে।
91,প্রাকৃতিক,প্রকৃতিতে বিদ্যমান বা উৎপাদিত।,প্রাকৃতিক সম্পদের অত্যধিক শোষণ পরিবেশগত স্থায়িত্বের জন্য মারাত্মক হুমকি।
92,প্রয়োজনীয়,প্রয়োজনীয় অথবা একেবারে প্রয়োজনীয়।,অর্থনৈতিক প্রবৃদ্ধিকে সমর্থন করার জন্য সরকারগুলির অবকাঠামোতে বিনিয়োগ করা প্রয়োজন।
93,নেতিবাচক,প্রকৃতি বা প্রভাবে ক্ষতিকারক বা প্রতিকূল।,অনলাইনে বুলিং-এর দীর্ঘক্ষণ সংস্পর্শে থাকার ফলে মানসিক স্বাস্থ্যের উপর মারাত্মক নেতিবাচক প্রভাব পড়তে পারে।
94,প্রাপ্ত করা,প্রচেষ্টার মাধ্যমে কিছু অর্জন করা বা অর্জন করা।,বিশ্ববিদ্যালয়ের বৃত্তি প্রোগ্রামে যোগ্যতা অর্জনের জন্য শিক্ষার্থীদের অবশ্যই ন্যূনতম একটি গ্রেড পেতে হবে।
95,ঘটে যাওয়া,ঘটতে বা সংঘটিত হতে।,জলবায়ু পরিবর্তনের কারণে প্রাকৃতিক দুর্যোগ আরও ঘন ঘন ঘটবে বলে পূর্বাভাস দেওয়া হচ্ছে।
96,সুযোগ,একটি অনুকূল পরিস্থিতি যা অগ্রগতির সুযোগ করে দেয়।,মানসম্মত শিক্ষার সুযোগ তরুণদের আরও বেশি অর্থনৈতিক সুযোগ প্রদান করে।
97,ফলাফল,কোনও কর্মের ফলাফল বা পরিণতি।,প্রাথমিক হস্তক্ষেপ কর্মসূচি শিশুদের জন্য আরও ভালো শিক্ষাগত ফলাফল তৈরি করে।
98,অংশগ্রহণ করা,কোনও কার্যকলাপ বা অনুষ্ঠানে অংশগ্রহণ করা।,স্থানীয় সরকারের সিদ্ধান্ত গ্রহণে সক্রিয়ভাবে অংশগ্রহণের জন্য নাগরিকদের উৎসাহিত করা উচিত।
99,নীতি,কর্তৃপক্ষ কর্তৃক গৃহীত একটি পরিকল্পনা বা কর্মপন্থা।,একটি দেশের কার্বন পদচিহ্ন কমাতে কার্যকর জ্বালানি নীতি অপরিহার্য।
100,দূষিত করা,ক্ষতিকারক পদার্থ দিয়ে পরিবেশ দূষিত করা।,শিল্প কর্মকাণ্ড বিশ্বব্যাপী নদীগুলিকে দূষিত করে চলেছে এবং জলজ বাস্তুতন্ত্রের ক্ষতি করছে।
101,জনসংখ্যা,একটি নির্দিষ্ট স্থানের সকল বাসিন্দা।,বয়স্ক জনসংখ্যা পেনশন এবং স্বাস্থ্যসেবা ব্যবস্থার জন্য উল্লেখযোগ্য চ্যালেঞ্জ তৈরি করে।
102,ইতিবাচক,উপকারী বা ভালো প্রভাব ফেলছে।,জীবনব্যাপী শিক্ষার প্রতি ইতিবাচক মনোভাব ক্যারিয়ারের সম্ভাবনাকে উল্লেখযোগ্যভাবে উন্নত করতে পারে।
103,সম্ভাবনা,কিছু বিকাশ বা অর্জন করার ক্ষমতা থাকা।,কৃত্রিম বুদ্ধিমত্তার স্বাস্থ্যসেবা রোগ নির্ণয় এবং চিকিৎসায় রূপান্তর ঘটানোর সম্ভাবনা রয়েছে।
104,প্রতিরোধ করা,কিছু ঘটতে না দেওয়ার জন্য।,রোগের বিস্তার রোধ করার জন্য টিকাদান কর্মসূচি সবচেয়ে কার্যকর উপায়গুলির মধ্যে একটি।
105,প্রাথমিক,অগ্রাধিকারের ক্রমানুসারে সবচেয়ে গুরুত্বপূর্ণ বা প্রথম।,যেকোনো স্বাস্থ্য ব্যবস্থার প্রাথমিক লক্ষ্য হওয়া উচিত সুস্থতা রক্ষা করা এবং প্রচার করা।
106,প্রক্রিয়া,একটি ফলাফল অর্জনের জন্য ধাপের একটি সিরিজ।,"গণতান্ত্রিক প্রক্রিয়া নাগরিকদের নিরপেক্ষ, সঠিক তথ্য পাওয়ার সুযোগের উপর নির্ভর করে।"
107,উৎপাদন করা,কিছু তৈরি করা বা তৈরি করা।,"যেসব কারখানা উচ্চ মাত্রার নির্গমন উৎপন্ন করে, তাদের কঠোর নিয়মকানুন মেনে চলতে হবে।"
108,প্রচার করা,কোনও কিছুর উন্নয়নে সহায়তা বা উৎসাহিত করা।,স্বাস্থ্যকর খাদ্যাভ্যাস প্রচারণা শৈশবকালে স্থূলতার হার কমাতে সাহায্য করতে পারে।
109,প্রস্তাব করা,একটি পরিকল্পনা বা পরামর্শ পেশ করা।,নির্গমন কমানোর সমাধান হিসেবে বেশ কয়েকজন অর্থনীতিবিদ কার্বন ট্যাক্সের প্রস্তাব করেছেন।
110,রক্ষা করা,ক্ষতি বা ক্ষতি থেকে নিরাপদ থাকার জন্য।,পরিবেশ দূষণের পরিণতি থেকে নাগরিকদের রক্ষা করা সরকারের কর্তব্য।
111,প্রদান করা,কারো কাছে কিছু সহজলভ্য করার জন্য।,রাষ্ট্রকে বৈষম্য ছাড়াই সকল নাগরিককে মৌলিক স্বাস্থ্যসেবা প্রদান করতে হবে।
112,উদ্দেশ্য,যে কারণে কিছু বিদ্যমান বা করা হয়।,উচ্চশিক্ষার মূল উদ্দেশ্য হল শিক্ষার্থীদের সমালোচনামূলক চিন্তাভাবনা দক্ষতায় সজ্জিত করা।
113,বাড়ান,কোনও বিষয় বাড়ানো বা মনোযোগ আকর্ষণ করা।,আন্তর্জাতিক সংস্থাগুলি জলবায়ু পরিবর্তনের প্রভাব সম্পর্কে সচেতনতা বৃদ্ধি অব্যাহত রেখেছে।
114,কমানো,কিছু ছোট বা কম পরিমাণে তৈরি করা।,সরকার আগামী বিশ বছরের মধ্যে কার্বন নির্গমন ৫০% কমানোর লক্ষ্য নিয়েছে।
115,প্রতিফলিত করা,কিছু দেখানো বা গভীরভাবে চিন্তা করা।,সরকারি নীতিমালায় বৃহত্তর জনগোষ্ঠীর চাহিদা এবং মূল্যবোধ সঠিকভাবে প্রতিফলিত হওয়া উচিত।
