id,front,back,example
21,membuat kesimpulan,Untuk mencapai keputusan atau penghakiman selepas membuat pertimbangan.,Kajian ini menyimpulkan bahawa senaman yang kerap dapat mengurangkan risiko kemurungan dengan ketara.
22,keadaan,Keadaan atau keadaan yang mempengaruhi sesuatu.,Memperbaiki keadaan hidup di kawasan luar bandar kekal menjadi keutamaan bagi pembuat dasar.
23,kelakuan,Untuk menjalankan sesuatu aktiviti; tingkah laku atau cara.,Universiti ini akan menjalankan kajian membujur mengenai kesejahteraan pelajar selama lima tahun.
24,akibatnya,Hasil atau kesan daripada sesuatu tindakan atau peristiwa.,Penebangan hutan mempunyai akibat yang serius terhadap biodiversiti dan corak iklim global.
25,pertimbangkan,Memikirkan sesuatu dengan teliti sebelum membuat keputusan.,Pembuat dasar mesti mempertimbangkan implikasi jangka panjang daripada menaikkan umur persaraan.
26,terdiri,Terdiri atau terdiri daripada bahagian-bahagian.,"Diet yang seimbang harus terdiri daripada protein, karbohidrat, lemak, vitamin dan mineral."
27,makan,Untuk menggunakan sumber atau makan/minum sesuatu.,Negara maju menggunakan sumber asli per kapita yang jauh lebih banyak berbanding negara membangun.
28,menyumbang,Untuk memberi atau menambah usaha atau hasil kolektif.,Kerja sukarela boleh menyumbang dengan besar kepada pembangunan peribadi dan kesejahteraan masyarakat.
29,kawalan,Mengawal selia atau mempunyai kuasa ke atas sesuatu.,Kawalan kerajaan yang lebih ketat terhadap pelepasan industri adalah perlu untuk memerangi pencemaran udara.
30,mencipta,Untuk mewujudkan sesuatu.,Pelaburan dalam tenaga boleh diperbaharui boleh mewujudkan beribu-ribu pekerjaan baharu di seluruh ekonomi.
31,budaya,"Kepercayaan, adat resam, dan kesenian sesebuah masyarakat.",Globalisasi telah memperkayakan dan mengancam budaya tempatan di seluruh dunia.
32,data,Fakta atau statistik yang dikumpul untuk dianalisis.,Data yang boleh dipercayai adalah penting untuk membangunkan dasar kesihatan awam yang berkesan.
33,penurunan,Untuk berkurangan atau menjadi lebih kecil dari semasa ke semasa.,Terdapat penurunan mendadak dalam biodiversiti disebabkan oleh aktiviti manusia sejak beberapa dekad kebelakangan ini.
34,takrifkan,Untuk menyatakan maksud atau sifat sesuatu.,Adalah penting untuk mentakrifkan istilah 'kemampanan' dengan jelas sebelum membincangkan penyelesaian dasar.
35,permintaan,Keperluan atau keinginan untuk sesuatu barang atau perkhidmatan.,Permintaan yang semakin meningkat untuk kenderaan elektrik memacu inovasi dalam teknologi bateri.
36,bergantung,Bergantung pada seseorang atau sesuatu untuk mendapatkan sokongan.,Banyak negara membangun sangat bergantung kepada bantuan asing untuk pembangunan infrastruktur asas.
37,huraikan,Memberikan penjelasan tentang sesuatu perkara dengan perkataan.,Laporan itu menggambarkan peningkatan ketara dalam suhu purata global sejak tahun 1950.
38,membangunkan,"Untuk berkembang, maju, atau mencipta sesuatu yang baharu.",Negara-negara mesti membangunkan pertanian lestari untuk memenuhi keperluan penduduk yang semakin meningkat.
39,perbezaan,Satu cara di mana sesuatu perkara tidak sama antara satu sama lain.,Terdapat perbezaan yang ketara dalam tahap pendapatan antara penduduk bandar dan luar bandar.
40,mengedarkan,Untuk menyebarkan atau menyampaikan sesuatu di sesuatu kawasan.,Kerajaan mempunyai tanggungjawab untuk mengagihkan sumber awam secara saksama antara rakyat.
41,pelbagai,Termasuk pelbagai jenis atau varieti.,Tenaga kerja yang pelbagai membawa pelbagai perspektif dan idea kepada sesebuah organisasi.
42,ekonomi,Berkaitan dengan pengeluaran dan penggunaan wang.,Pembangunan ekonomi yang pesat telah mengeluarkan berjuta-juta orang daripada kemiskinan di Asia.
43,pendidikan,Proses penerimaan arahan yang sistematik.,Akses kepada pendidikan berkualiti secara meluas dianggap sebagai hak asasi manusia.
44,kesan,Perubahan atau hasil yang dihasilkan oleh sesuatu sebab.,Kesan jangka panjang kekurangan tidur terhadap fungsi kognitif telah didokumentasikan dengan baik.
45,muncul,Untuk wujud atau dikenali.,Teknologi baharu terus muncul sebagai penyelesaian kepada krisis tenaga global.
46,menggaji,Mengupah seseorang untuk bekerja bagi mendapatkan bayaran.,Sektor perkilangan terus menggaji sebahagian besar tenaga kerja negara.
47,tenaga,Kuasa yang diperoleh daripada sumber semula jadi atau sumber yang telah diubah suai.,Peralihan kepada sumber tenaga boleh diperbaharui adalah penting untuk mengurangkan pelepasan gas rumah hijau.
48,persekitaran,Dunia semula jadi atau persekitaran sesuatu organisma.,Melindungi alam sekitar harus menjadi keutamaan bagi kedua-dua pihak kerajaan dan individu.
49,mewujudkan,Untuk menubuhkan atau mencipta sesuatu secara tetap.,Kerajaan telah menubuhkan badan kawal selia baharu untuk menyelia sektor kewangan.
50,menilai,Untuk menilai nilai atau kualiti sesuatu.,Adalah penting untuk menilai sumber maklumat secara kritis sebelum memetiknya.
51,bukti,Fakta atau maklumat yang menyokong sesuatu kesimpulan.,Terdapat bukti empirikal yang kukuh yang mengaitkan merokok dengan pelbagai penyakit serius.
52,memeriksa,Untuk menyiasat atau memeriksa sesuatu dengan teliti.,Esei ini akan mengkaji hubungan antara ketidaksamaan ekonomi dan kadar jenayah.
53,mengembangkan,"Untuk meningkatkan saiz, bilangan, atau skop.",Banyak syarikat berusaha mengembangkan operasi mereka ke pasaran baru muncul di Asia.
54,jangkakan,Percaya sesuatu akan berlaku pada masa hadapan.,Secara meluas dijangkakan bahawa automasi akan mengubah landskap pekerjaan dalam beberapa dekad.
55,pengalaman,Pengetahuan atau kemahiran yang diperoleh melalui latihan.,Penempatan pengalaman kerja membantu pelajar mengembangkan kemahiran praktikal untuk pekerjaan pada masa hadapan.
56,terangkan,Untuk menjelaskan sesuatu dengan menerangkannya.,Kebolehan profesor itu untuk menerangkan teori-teori yang rumit dengan jelas menjadikannya sangat dihormati.
57,faktor,Unsur yang menyumbang kepada sesuatu hasil.,Diet dan senaman merupakan faktor utama dalam menentukan hasil kesihatan jangka panjang seseorang individu.
58,ciri,Ciri atau sifat tersendiri bagi sesuatu.,Ciri utama perancangan bandar yang berjaya ialah penyediaan ruang hijau yang mudah diakses.
59,fokus,Menumpukan perhatian atau usaha kepada sesuatu.,Dasar kerajaan harus tertumpu kepada penyediaan perumahan mampu milik untuk keluarga berpendapatan rendah.
60,fungsi,Tujuan atau peranan sesuatu direka untuk dipenuhi.,Fungsi utama sistem imun adalah untuk melindungi tubuh daripada penyakit.
61,menjana,Untuk menghasilkan atau mencipta sesuatu.,Panel solar boleh menjana elektrik yang mencukupi untuk membekalkan kuasa kepada seluruh isi rumah.
62,global,Berkaitan atau meliputi seluruh dunia.,Kerjasama global adalah penting untuk menangani cabaran perubahan iklim dengan berkesan.
63,mentadbir,Untuk mengawal atau mengarah sesebuah negara atau organisasi.,Negara-negara demokrasi mesti ditadbir dengan cara yang mencerminkan kehendak rakyat.
64,pertumbuhan,Proses peningkatan saiz atau nilai.,Pertumbuhan ekonomi yang berterusan adalah perlu untuk mengurangkan pengangguran dan meningkatkan taraf hidup.
65,bahaya,Kerosakan fizikal atau psikologi yang disebabkan oleh sesuatu.,Penggunaan media sosial yang berlebihan boleh menyebabkan kemudaratan psikologi kepada golongan muda yang terdedah.
66,kesihatan,Keadaan bebas daripada penyakit atau kecederaan.,Kerajaan mesti melabur dalam infrastruktur kesihatan awam bagi mencegah penyebaran penyakit.
67,impak,Kesan atau pengaruh yang kuat terhadap sesuatu.,Pembandaran mempunyai kesan yang ketara terhadap ekosistem tempatan dan sumber air.
68,melaksanakan,Untuk melaksanakan sesuatu rancangan atau keputusan.,Kerajaan merancang untuk melaksanakan peraturan baharu bagi mengurangkan pelepasan karbon industri.
69,memperbaiki,Untuk menjadikan atau menjadi lebih baik dalam kualiti.,Pelaburan dalam pendidikan merupakan cara paling berkesan untuk meningkatkan hasil ekonomi jangka panjang.
70,peningkatan,Untuk menjadi atau menjadikan sesuatu yang lebih besar dalam kuantiti.,Terdapat peningkatan mendadak dalam bilangan kenderaan elektrik yang dijual di seluruh dunia.
71,menunjukkan,Untuk menunjukkan atau menunjukkan sesuatu yang mungkin.,Kajian terbaru menunjukkan bahawa aktiviti fizikal yang kerap dapat mengurangkan risiko penyakit kronik.
72,individu,"Seorang individu, berbeza daripada sesuatu kumpulan.",Melindungi hak individu merupakan asas kepada mana-mana masyarakat demokratik.
73,pengaruh,Kuasa untuk memberi kesan kepada orang atau benda.,Media sosial mempunyai pengaruh yang besar terhadap pandangan politik golongan muda.
74,infrastruktur,Sistem fizikal asas yang menyokong sesebuah komuniti.,Pelaburan dalam infrastruktur pengangkutan adalah penting untuk merangsang pembangunan ekonomi serantau.
75,inisiatif,Satu rancangan atau tindakan baharu yang bertujuan untuk menyelesaikan sesuatu masalah.,Kerajaan telah melancarkan inisiatif baharu untuk menggalakkan golongan muda menceburi kerjaya STEM.
76,institusi,Sebuah organisasi yang mantap dengan tujuan sosial.,Institusi demokrasi mesti kekal bebas bagi memastikan masyarakat yang adil dan saksama.
77,melibatkan,Untuk memasukkan atau memerlukan sesuatu sebagai sebahagian.,Perancangan bandar yang berkesan harus melibatkan penduduk secara aktif dalam proses membuat keputusan.
78,isu,Topik atau masalah penting untuk dibincangkan.,Perubahan iklim merupakan salah satu isu paling mendesak yang dihadapi oleh masyarakat antarabangsa pada masa kini.
79,mewajarkan,Untuk menunjukkan atau membuktikan sesuatu itu betul atau munasabah.,Kerajaan mesti dapat mewajarkan peningkatan perbelanjaan pertahanan kepada rakyat mereka.
80,kekurangan,Ketiadaan atau kekurangan sesuatu yang diperlukan.,Kekurangan akses kepada air bersih masih menjadi cabaran utama di negara-negara membangun.
81,had,Satu titik di mana sesuatu tidak boleh pergi.,Negara-negara mesti bersetuju dengan had yang mengikat secara sah ke atas pelepasan karbon dioksida.
82,mengekalkan,Untuk mengekalkan sesuatu dalam keadaan atau keadaan semasa.,Semakin sukar untuk mengekalkan biodiversiti di kawasan yang sangat padat dengan bandar.
83,utama,Amat penting atau serius.,Pencemaran udara merupakan masalah kesihatan awam yang utama di kebanyakan bandar terbesar di dunia.
84,mengurus,Untuk bertanggungjawab atau mengawal sesuatu.,Pembangunan lestari memerlukan kerajaan untuk menguruskan sumber asli dengan teliti.
85,mengukur,Tindakan yang diambil untuk mencapai matlamat; untuk mengukur.,Kerajaan mesti mengambil langkah tegas untuk menangani masalah pengangguran belia yang semakin meningkat.
86,kaedah,Satu cara tertentu untuk melakukan sesuatu secara sistematik.,Para saintis mesti menggunakan kaedah penyelidikan yang teliti untuk memastikan kesahihan penemuan mereka.
87,berhijrah,Untuk berpindah dari satu wilayah atau negara ke wilayah atau negara yang lain.,Ramai pekerja luar bandar berhijrah ke bandar untuk mencari peluang pekerjaan yang lebih baik.
88,moden,Berkaitan dengan masa kini; kontemporari.,Teknologi moden telah mengubah cara manusia berkomunikasi dan mengakses maklumat secara asasnya.
89,memantau,Untuk memerhati dan menyemak sesuatu dari semasa ke semasa.,Pihak berkuasa kesihatan mesti sentiasa memantau kualiti udara di kawasan bandar yang padat penduduknya.
90,kebangsaan,Berkaitan dengan atau tipikal bagi seluruh negara.,Kerajaan telah memperkenalkan kurikulum kebangsaan untuk menyeragamkan pendidikan di seluruh negara.
91,semula jadi,Wujud dalam atau dihasilkan oleh alam semula jadi.,Eksploitasi sumber asli yang berlebihan menimbulkan ancaman serius kepada kelestarian ekologi.
92,perlu,Diperlukan atau amat diperlukan.,Kerajaan perlu melabur dalam infrastruktur bagi menyokong pertumbuhan ekonomi.
93,negatif,Berbahaya atau tidak menguntungkan dari segi sifat atau kesan.,Pendedahan yang berpanjangan kepada buli dalam talian boleh memberi kesan negatif yang serius terhadap kesihatan mental.
94,mendapatkan,Untuk mendapatkan atau memperoleh sesuatu melalui usaha.,Pelajar mesti memperoleh gred minimum untuk layak mendapat program biasiswa universiti.
95,berlaku,Berlaku atau berlaku.,Bencana alam diramalkan akan berlaku lebih kerap disebabkan oleh perubahan iklim.
96,peluang,Keadaan yang menggalakkan yang membolehkan kemajuan.,Akses kepada pendidikan berkualiti menyediakan peluang ekonomi yang lebih besar kepada golongan muda.
97,hasil,Hasil atau akibat daripada sesuatu tindakan.,Program intervensi awal cenderung menghasilkan hasil pendidikan yang lebih baik untuk kanak-kanak.
98,menyertai,Untuk mengambil bahagian dalam sesuatu aktiviti atau acara.,Rakyat harus digalakkan untuk terlibat secara aktif dalam proses membuat keputusan kerajaan tempatan.
99,dasar,Pelan atau tindakan yang diambil oleh pihak berkuasa.,Dasar tenaga yang berkesan adalah penting untuk mengurangkan jejak karbon sesebuah negara.
100,mencemarkan,Mencemarkan alam sekitar dengan bahan-bahan berbahaya.,Aktiviti perindustrian terus mencemarkan sungai dan merosakkan ekosistem akuatik di seluruh dunia.
101,penduduk,Semua penduduk tempat tertentu.,Populasi yang semakin tua memberikan cabaran yang ketara kepada sistem pencen dan penjagaan kesihatan.
102,positif,Mempunyai kesan yang bermanfaat atau baik.,Sikap positif terhadap pembelajaran sepanjang hayat dapat meningkatkan prospek kerjaya dengan ketara.
103,potensi,Mempunyai keupayaan untuk membangunkan atau mencapai sesuatu.,Kecerdasan buatan mempunyai potensi untuk mengubah diagnosis dan rawatan penjagaan kesihatan.
104,mencegah,Untuk menghentikan sesuatu daripada berlaku.,Program vaksinasi merupakan salah satu cara yang paling berkesan untuk mencegah penyebaran penyakit.
105,utama,Paling penting atau paling utama mengikut keutamaan.,Matlamat utama mana-mana sistem kesihatan adalah untuk melindungi dan menggalakkan kesejahteraan.
106,proses,Satu siri langkah untuk mencapai sesuatu hasil.,Proses demokrasi bergantung pada rakyat yang mempunyai akses kepada maklumat yang tepat dan saksama.
107,menghasilkan,Untuk membuat atau mencipta sesuatu.,Kilang-kilang yang menghasilkan tahap pelepasan yang tinggi mesti tertakluk kepada peraturan yang lebih ketat.
108,promosikan,Untuk menyokong atau menggalakkan perkembangan sesuatu.,Kempen yang menggalakkan tabiat pemakanan sihat dapat membantu mengurangkan kadar obesiti kanak-kanak.
109,mencadangkan,Untuk mengemukakan rancangan atau cadangan.,Beberapa ahli ekonomi telah mencadangkan cukai karbon sebagai penyelesaian untuk mengurangkan pelepasan.
110,melindungi,Untuk menjaga keselamatan daripada bahaya atau kerosakan.,Kerajaan mempunyai tanggungjawab untuk melindungi rakyat daripada akibat pencemaran alam sekitar.
111,menyediakan,Untuk menyediakan sesuatu kepada seseorang.,Negara mesti menyediakan perkhidmatan penjagaan kesihatan asas kepada semua rakyat tanpa diskriminasi.
112,tujuan,Sebab sesuatu itu wujud atau dilakukan.,Tujuan utama pendidikan tinggi adalah untuk melengkapkan pelajar dengan kemahiran berfikir secara kritis.
113,menaikkan,Untuk meningkatkan atau membawa sesuatu perkara kepada perhatian.,Organisasi antarabangsa terus meningkatkan kesedaran tentang kesan perubahan iklim.
114,mengurangkan,Untuk membuat sesuatu yang lebih kecil atau kurang jumlahnya.,Kerajaan menyasarkan untuk mengurangkan pelepasan karbon sebanyak 50% dalam tempoh dua puluh tahun akan datang.
115,mencerminkan,Untuk menunjukkan atau berfikir secara mendalam tentang sesuatu.,Dasar-dasar kerajaan harus mencerminkan keperluan dan nilai-nilai penduduk yang lebih luas dengan tepat.
116,wilayah,Kawasan yang luas dengan ciri-ciri tersendiri.,Pembangunan ekonomi sangat berbeza antara kawasan pesisir dan pedalaman negara.
117,mengawal selia,Mengawal sesuatu melalui peraturan.,Kerajaan mesti mengawal selia penggunaan platform media sosial untuk melindungi pengguna muda.
118,mengaitkan,Mempunyai hubungan atau kaitan dengan sesuatu.,Tahap ketidaksamaan yang tinggi berkait rapat dengan peningkatan kadar jenayah dan pergolakan sosial.
119,pelepasan,Untuk membenarkan sesuatu dibebaskan atau dilepaskan.,Proses perindustrian terus melepaskan sejumlah besar bahan pencemar ke atmosfera.
120,bergantung,Bergantung kepada seseorang atau sesuatu.,Banyak negara membangun masih banyak bergantung kepada bahan api fosil untuk keperluan tenaga mereka.
121,mewakili,Untuk berdiri untuk atau bertindak bagi pihak sesuatu.,Pegawai yang dipilih mempunyai tanggungjawab untuk mewakili kepentingan pengundi mereka secara adil.
122,memerlukan,Memerlukan sesuatu yang penting atau wajib.,Menangani perubahan iklim memerlukan kerjasama antarabangsa yang segera dan komitmen politik.
123,penyelidikan,Siasatan sistematik untuk membuktikan fakta baharu.,Pelaburan yang besar dalam penyelidikan perubatan diperlukan untuk memerangi penyakit berjangkit yang baru muncul.
124,sumber,Bekalan yang boleh digunakan untuk sesuatu tujuan.,Negara-negara mesti menguruskan sumber asli mereka secara bertanggungjawab bagi memastikan kelestarian jangka panjang.
125,balas,Untuk bertindak balas atau membalas sesuatu.,Kerajaan mesti bertindak pantas terhadap bencana alam bagi meminimumkan korban dan penderitaan.
126,hasil,Sesuatu yang berlaku sebagai akibat daripada sesuatu tindakan.,Pemakanan yang tidak sihat dan gaya hidup yang tidak aktif sering mengakibatkan masalah kesihatan yang serius dalam jangka masa panjang.
127,mengekalkan,Untuk terus menyimpan atau memegang sesuatu.,Syarikat-syarikat mesti membangunkan strategi yang lebih baik untuk mengekalkan pekerja yang berbakat dalam pasaran yang kompetitif.
128,mendedahkan,Untuk mendedahkan sesuatu yang sebelum ini tersembunyi.,Kajian terbaru mendedahkan korelasi yang kuat antara ketidaksamaan pendapatan dan hasil kesihatan yang buruk.
129,peranan,Fungsi atau kedudukan yang dimiliki oleh seseorang atau sesuatu.,Pendidikan memainkan peranan penting dalam mengurangkan ketidaksamaan sosial dan menggalakkan mobiliti sosial.
130,luar bandar,Berkaitan dengan kawasan luar bandar dan bukannya bandar.,Masyarakat luar bandar sering kekurangan akses kepada sumber pendidikan yang sama seperti penduduk bandar.
131,sektor,Bahagian ekonomi atau masyarakat yang berbeza.,Sektor awam memainkan peranan penting dalam menyediakan perkhidmatan penting kepada rakyat.
132,ketara,Penting atau cukup besar untuk memberi kesan.,Terdapat penurunan kadar jenayah yang ketara secara statistik dalam beberapa dekad kebelakangan ini.
133,masyarakat,Sebuah komuniti manusia yang tinggal bersama.,Sebuah masyarakat yang adil dan saksama mesti memastikan peluang yang sama rata untuk semua warganya.
134,penyelesaian,Satu cara untuk menyelesaikan sesuatu masalah.,Kerjasama antarabangsa adalah perlu untuk mencari penyelesaian jangka panjang kepada perubahan iklim global.
135,sumber,Asal usul atau bekalan sesuatu.,Penyelidik mesti memetik sumber yang boleh dipercayai semasa mengemukakan bukti dalam kerja akademik.
136,piawai,Tahap kualiti atau pencapaian yang dijangkakan.,Peningkatan taraf pendidikan dianggap penting untuk meningkatkan daya saing ekonomi negara.
137,strategi,Satu pelan yang direka untuk mencapai matlamat jangka panjang.,Kerajaan telah memperkenalkan strategi kebangsaan yang baharu untuk menangani peningkatan tahap obesiti.
138,struktur,Susunan bahagian-bahagian yang teratur dalam sesuatu.,Struktur sosial yang tegar boleh menghalang mobiliti ke atas dan mengekalkan ketidaksamaan.
139,cadangkan,Untuk mengemukakan sesuatu idea atau kemungkinan.,Bukti menunjukkan bahawa pendidikan awal kanak-kanak mempunyai manfaat yang berkekalan untuk perkembangan kognitif.
140,sokongan,Memberi bantuan atau berhujah untuk menyokong sesuatu.,Sokongan kewangan kerajaan untuk perniagaan kecil adalah penting semasa kemelesetan ekonomi.
141,mengekalkan,Untuk mengekalkan atau memastikan sesuatu berjalan dari semasa ke semasa.,Adalah penting untuk melaksanakan dasar-dasar yang mengekalkan pertumbuhan ekonomi tanpa merosakkan alam sekitar.
142,sistem,Satu set elemen yang saling berkaitan dan tersusun secara teratur.,Sistem penjagaan kesihatan yang dibiayai dengan baik adalah penting untuk mengekalkan populasi yang sihat dan produktif.
143,sasaran,Objektif atau kumpulan yang disasarkan secara khusus.,Negara-negara mesti menetapkan sasaran yang bercita-cita tinggi untuk mengurangkan pelepasan gas rumah hijau menjelang 2050.
144,teknologi,Pengetahuan saintifik yang diaplikasikan untuk tujuan praktikal.,Kemajuan teknologi telah membolehkan maklumat diakses di mana-mana sahaja di dunia.
145,cenderung,Mempunyai kecenderungan umum terhadap sesuatu.,Negara-negara kaya cenderung menghasilkan lebih banyak pelepasan karbon per kapita berbanding negara-negara membangun.
146,teori,Satu sistem idea yang digunakan untuk menjelaskan fenomena.,Teori evolusi Darwin telah mengubah pemahaman kita tentang kehidupan di Bumi secara asasnya.
147,tradisional,Berdasarkan adat dan amalan yang telah lama diamalkan.,Globalisasi telah mencabar nilai-nilai tradisional dan identiti budaya dalam banyak masyarakat.
148,mengubah,Untuk mengubah sesuatu sepenuhnya dari segi bentuk atau sifat.,Teknologi digital mempunyai kuasa untuk mengubah cara orang ramai bekerja dan berkomunikasi.
149,trend,Arah umum di mana sesuatu sedang berkembang.,Trend global ke arah pembandaran tidak menunjukkan tanda-tanda perlambatan dalam beberapa dekad akan datang.
150,bandar,Berkaitan dengan atau ciri-ciri sesebuah bandar.,Pembangunan bandar yang pesat telah memberi tekanan yang besar kepada infrastruktur pengangkutan awam.
151,nilai,Kepentingan atau nilai yang diberikan kepada sesuatu.,Nilai-nilai teras seperti kesaksamaan dan keadilan menjadi asas kepada kebanyakan perlembagaan demokratik moden.
152,berubah-ubah,Untuk menjadi berbeza atau berubah bergantung pada keadaan.,Jangka hayat berbeza dengan ketara antara negara bergantung kepada pendapatan dan kualiti penjagaan kesihatan.
153,mangsa,Seseorang yang dicederakan oleh jenayah atau kemalangan.,Sistem sokongan yang mencukupi mesti disediakan untuk membantu mangsa keganasan rumah tangga pulih.
154,kebajikan,"Kesihatan, kebahagiaan, dan kesejahteraan seseorang.",Negara kebajikan menyediakan jaringan keselamatan untuk rakyat semasa tempoh pengangguran atau penyakit.
155,akses,Keupayaan atau hak untuk mendapatkan atau menggunakan sesuatu.,Memastikan akses yang sama rata kepada penjagaan kesihatan merupakan kewajipan asas mana-mana kerajaan yang adil.
156,menyesuaikan diri,Untuk menyesuaikan diri dengan keadaan atau situasi baharu.,Perniagaan mesti sentiasa menyesuaikan diri dengan keadaan pasaran yang pantas berubah untuk kekal berdaya saing.
157,alamat,Untuk menangani atau bercakap tentang sesuatu masalah.,Pembuat dasar mesti segera menangani isu peningkatan kehilangan tempat tinggal di bandar-bandar utama.
158,mencukupi,Memuaskan atau mencukupi untuk tujuan tertentu.,Setiap kanak-kanak berhak menerima pendidikan dan pemakanan yang mencukupi.
159,agensi,Sebuah organisasi yang bertindak bagi pihak orang lain; autonomi.,Sebuah agensi kerajaan telah ditubuhkan khusus untuk menyelia hal ehwal perlindungan alam sekitar.
160,berhujah,Untuk mengemukakan alasan-alasan yang menyokong sesuatu pendirian.,Ramai ahli ekonomi berpendapat bahawa perdagangan bebas memberi manfaat kepada negara membangun dan negara maju.
161,sedar,Mempunyai pengetahuan atau kesedaran tentang sesuatu.,Golongan muda semakin sedar tentang kesan perubahan iklim terhadap masa depan mereka.
162,keseimbangan,Taburan yang sama atau keseimbangan yang stabil.,Pendekatan yang seimbang diperlukan untuk menggalakkan pertumbuhan ekonomi di samping melindungi alam sekitar.
163,penghalang,Sesuatu yang menghalang akses atau kemajuan.,Halangan kewangan terus menghalang ramai pelajar berbakat daripada mengakses pendidikan tinggi.
164,tingkah laku,Cara seseorang atau organisma bertindak.,Program pendidikan boleh mengubah tingkah laku secara berkesan dan menggalakkan pilihan gaya hidup yang lebih sihat.
165,bajet,Anggaran pendapatan dan perbelanjaan untuk sesuatu tempoh.,Kerajaan mesti memperuntukkan sebahagian daripada bajet negara yang mencukupi untuk pendidikan awam.
166,modal,Kekayaan yang digunakan untuk menjana pendapatan; pusat pemerintahan sesebuah negara.,Melabur dalam modal insan melalui pendidikan menghasilkan pulangan ekonomi jangka panjang yang ketara.
167,carta,Perwakilan visual data; untuk merekodkan data.,Carta tersebut menggambarkan peningkatan suhu purata global yang stabil dari tahun 1980 hingga 2020.
168,pilihan,Pilihan yang dibuat daripada alternatif yang ada.,Kerajaan harus menghormati pilihan individu sambil memastikan rakyat mendapat maklumat yang mencukupi.
169,kumpulkan,Untuk mengumpulkan item atau maklumat bersama-sama.,Penyelidik mengumpul data daripada beribu-ribu peserta untuk memastikan kebolehpercayaan statistik.
170,komit,Berikrar atau mendedikasikan diri kepada sesuatu tindakan.,Negara-negara mesti komited terhadap perjanjian yang mengikat untuk mengurangkan pelepasan gas rumah hijau mereka dengan ketara.
171,berkomunikasi,Untuk berkongsi atau bertukar maklumat dengan berkesan.,Kebolehan berkomunikasi dengan jelas dan meyakinkan adalah penting dalam kehidupan akademik dan profesional.
172,bersaing,Berjuang menentang orang lain untuk mencapai matlamat yang sama.,Negara-negara mesti melabur dalam pendidikan dan inovasi untuk bersaing secara berkesan dalam ekonomi global.
173,konflik,Perselisihan faham yang serius atau pergelutan yang berpanjangan.,Konflik bersenjata terus menyebabkan berjuta-juta orang kehilangan tempat tinggal di pelbagai wilayah di dunia.
