id,front,back,example
20,نگرانی,یک دلواپسی یا موضوعی که اضطراب یا علاقه ایجاد می‌کند.,نگرانی فزاینده از آلودگی پلاستیک بسیاری از دولت‌ها را به اقدام واداشته است.
21,نتیجه‌گیری کردن,رسیدن به یک تصمیم یا قضاوت پس از استدلال.,مطالعه نتیجه می‌گیرد که ورزش منظم به طور قابل توجهی خطر افسردگی را کاهش می‌دهد.
22,شرایط,حالت یا اوضاعی که بر چیزی تأثیر می‌گذارد.,بهبود شرایط زندگی در مناطق روستایی برای سیاستگذاران اولویت دارد.
23,انجام دادن,اجرای یک فعالیت؛ رفتار یا شیوه.,دانشگاه یک مطالعه طولی درباره رفاه دانش‌آموزان در طول پنج سال انجام خواهد داد.
24,پیامد,نتیجه یا اثر یک عمل یا رویداد.,جنگل‌زدایی پیامدهای جدی برای تنوع زیستی و الگوهای آب و هوایی جهانی دارد.
25,در نظر گرفتن,فکر کردن دقیق درباره چیزی پیش از تصمیم‌گیری.,سیاستگذاران باید پیامدهای بلندمدت افزایش سن بازنشستگی را در نظر بگیرند.
26,تشکیل شدن از,ساخته یا تشکیل شدن از بخش‌ها.,یک رژیم غذایی متعادل باید از پروتئین‌ها، کربوهیدرات‌ها، چربی‌ها، ویتامین‌ها و مواد معدنی تشکیل شود.
27,مصرف کردن,استفاده از یک منبع یا خوردن/نوشیدن چیزی.,کشورهای توسعه‌یافته به ازای هر نفر بسیار بیشتر از کشورهای در حال توسعه منابع طبیعی مصرف می‌کنند.
28,مشارکت کردن,دادن یا افزودن به یک تلاش یا نتیجه جمعی.,داوطلبانه کار کردن می‌تواند به شکوفایی شخصی و رفاه جامعه کمک فراوانی کند.
29,کنترل کردن,تنظیم یا داشتن قدرت بر چیزی.,کنترل دولتی سخت‌تر بر انتشارات صنعتی برای مبارزه با آلودگی هوا ضروری است.
30,ایجاد کردن,پدید آوردن چیزی.,سرمایه‌گذاری در انرژی تجدیدپذیر می‌تواند هزاران شغل جدید در سراسر اقتصاد ایجاد کند.
31,فرهنگ,باورها، آداب و هنرهای یک جامعه.,جهانی‌شدن هم فرهنگ‌های محلی را غنی کرده و هم آن‌ها را تهدید کرده است.
32,داده,حقایق یا آمار جمع‌آوری شده برای تحلیل.,داده‌های قابل اطمینان برای تدوین سیاست‌های بهداشت عمومی مؤثر ضروری است.
33,کاهش یافتن,کم شدن یا کوچکتر شدن در طول زمان.,در دهه‌های اخیر به دلیل فعالیت‌های انسانی کاهش شدیدی در تنوع زیستی رخ داده است.
34,تعریف کردن,بیان معنا یا ماهیت چیزی.,مهم است که اصطلاح «پایداری» را پیش از بحث درباره راه‌حل‌های سیاستی به روشنی تعریف کنیم.
35,تقاضا,نیاز یا خواسته برای یک کالا یا خدمت.,تقاضای فزاینده برای خودروهای الکتریکی نوآوری در فناوری باتری را تحریک می‌کند.
36,وابسته بودن,اتکا به کسی یا چیزی برای حمایت.,بسیاری از کشورهای در حال توسعه برای زیرساخت‌های اساسی به شدت به کمک‌های خارجی وابسته‌اند.
37,توصیف کردن,ارائه توضیحاتی درباره چیزی با کلمات.,گزارش افزایش قابل توجهی در دمای متوسط جهانی از سال ۱۹۵۰ را توصیف می‌کند.
38,توسعه دادن,رشد کردن، پیشرفت کردن یا ایجاد چیزی جدید.,کشورها باید کشاورزی پایدار را توسعه دهند تا نیازهای جمعیت رو به رشد را برآورده کنند.
39,تفاوت,شیوه‌ای که چیزها از هم متمایز هستند.,تفاوت قابل توجهی در سطح درآمد بین جمعیت‌های شهری و روستایی وجود دارد.
40,توزیع کردن,پخش یا تحویل چیزی در یک منطقه.,دولت‌ها مسئولیت دارند منابع عمومی را به طور عادلانه در میان شهروندان توزیع کنند.
41,متنوع,شامل بسیاری از انواع یا گونه‌های مختلف.,نیروی کار متنوع طیف گسترده‌تری از دیدگاه‌ها و ایده‌ها را به یک سازمان می‌آورد.
42,اقتصادی,مربوط به تولید و استفاده از پول.,توسعه اقتصادی سریع میلیون‌ها نفر را در آسیا از فقر خارج کرده است.
43,آموزش,فرآیند دریافت آموزش منظم.,دسترسی به آموزش باکیفیت به طور گسترده‌ای به عنوان یک حق اساسی بشری تلقی می‌شود.
44,اثر,تغییر یا نتیجه‌ای که توسط یک علت ایجاد می‌شود.,اثرات بلندمدت محرومیت از خواب بر عملکرد شناختی به خوبی مستند شده است.
45,ظهور کردن,به وجود آمدن یا شناخته شدن.,فناوری‌های جدید به عنوان راه‌حل‌هایی برای بحران انرژی جهانی به ظهور ادامه می‌دهند.
46,استخدام کردن,گرفتن کسی برای کار در ازای دستمزد.,بخش تولید همچنان بخش بزرگی از نیروی کار ملی را استخدام می‌کند.
47,انرژی,قدرت مشتق شده از منابع طبیعی یا تبدیل‌شده.,انتقال به منابع انرژی تجدیدپذیر برای کاهش انتشار گازهای گلخانه‌ای حیاتی است.
48,محیط زیست,جهان طبیعی یا محیط اطراف یک موجود.,حفاظت از محیط زیست طبیعی باید اولویت هم دولت‌ها و هم افراد باشد.
49,تأسیس کردن,راه‌اندازی یا ایجاد چیزی بر پایه‌ای محکم.,دولت یک نهاد نظارتی جدید برای نظارت بر بخش مالی تأسیس کرد.
50,ارزیابی کردن,سنجش ارزش یا کیفیت چیزی.,ارزیابی انتقادی منابع اطلاعاتی پیش از استناد به آن‌ها ضروری است.
51,شواهد,حقایق یا اطلاعاتی که از یک نتیجه‌گیری حمایت می‌کنند.,شواهد تجربی قوی وجود دارد که سیگار را به انواع بیماری‌های جدی مرتبط می‌داند.
52,بررسی کردن,تحقیق یا بازرسی دقیق چیزی.,این مقاله رابطه بین نابرابری اقتصادی و نرخ جرم را بررسی خواهد کرد.
53,گسترش دادن,افزایش در اندازه، تعداد یا دامنه.,بسیاری از شرکت‌های بزرگ به دنبال گسترش فعالیت‌های خود به بازارهای نوظهور در آسیا هستند.
54,انتظار داشتن,باور به اینکه چیزی در آینده اتفاق خواهد افتاد.,به طور گسترده انتظار می‌رود که اتوماسیون در طول چند دهه آینده بازار کار را متحول کند.
55,تجربه,دانش یا مهارتی که از طریق تمرین به دست می‌آید.,دوره‌های کارآموزی به دانش‌آموزان کمک می‌کند تا مهارت‌های عملی برای اشتغال آینده توسعه دهند.
56,توضیح دادن,روشن کردن چیزی با توصیف آن.,توانایی استاد در توضیح روشن نظریه‌های پیچیده او را بسیار محترم ساخته بود.
57,عامل,عنصری که به یک نتیجه کمک می‌کند.,رژیم غذایی و ورزش عوامل کلیدی در تعیین نتایج سلامتی بلندمدت یک فرد هستند.
58,ویژگی,خصوصیت یا صفت مشخص چیزی.,یکی از ویژگی‌های کلیدی برنامه‌ریزی شهری موفق فراهم کردن فضاهای سبز قابل دسترس است.
59,تمرکز کردن,متمرکز کردن توجه یا تلاش بر چیزی.,سیاست دولت باید بر تأمین مسکن مقرون‌به‌صرفه برای خانواده‌های کم‌درآمد تمرکز کند.
60,کارکرد,هدف یا نقشی که چیزی برای انجام آن طراحی شده است.,کارکرد اصلی سیستم ایمنی محافظت از بدن در برابر بیماری است.
61,تولید کردن,ایجاد یا خلق چیزی.,پنل‌های خورشیدی می‌توانند برق کافی برای تأمین انرژی یک خانواده کامل تولید کنند.
62,جهانی,مربوط به یا پوشش‌دهنده کل جهان.,همکاری جهانی برای مقابله مؤثر با چالش‌های تغییرات آب و هوایی ضروری است.
63,اداره کردن,کنترل یا هدایت یک کشور یا سازمان.,کشورهای دموکراتیک باید به گونه‌ای اداره شوند که منعکس‌کننده اراده مردم باشد.
64,رشد,فرآیند افزایش در اندازه یا ارزش.,رشد اقتصادی پایدار برای کاهش بیکاری و بهبود سطح زندگی ضروری است.
65,آسیب,خسارت فیزیکی یا روانی وارد شده به چیزی.,استفاده بیش از حد از رسانه‌های اجتماعی می‌تواند آسیب روانی به جوانان آسیب‌پذیر وارد کند.
66,سلامت,حالت آزاد از بیماری یا آسیب.,دولت‌ها باید در زیرساخت بهداشت عمومی سرمایه‌گذاری کنند تا از گسترش بیماری جلوگیری شود.
67,تأثیر,یک اثر یا نفوذ قوی بر چیزی.,شهرنشینی تأثیر قابل توجهی بر اکوسیستم‌های محلی و منابع آب دارد.
68,اجرا کردن,عملی کردن یک برنامه یا تصمیم.,دولت قصد دارد مقررات جدیدی برای کاهش انتشار کربن صنعتی اجرا کند.
69,بهبود دادن,بهتر کردن یا بهتر شدن از نظر کیفیت.,سرمایه‌گذاری در آموزش مؤثرترین راه برای بهبود نتایج اقتصادی بلندمدت است.
70,افزایش یافتن,بیشتر یا بزرگتر شدن از نظر کمیت.,افزایش چشمگیری در تعداد خودروهای الکتریکی فروخته شده در سطح جهانی رخ داده است.
71,نشان دادن,نمایش یا اشاره به چیزی به عنوان احتمال.,مطالعات اخیر نشان می‌دهند که فعالیت بدنی منظم خطر بیماری مزمن را کاهش می‌دهد.
72,فرد,یک شخص واحد، متمایز از یک گروه.,حفاظت از حقوق فردی سنگ بنای هر جامعه دموکراتیک است.
73,نفوذ,قدرت داشتن اثر بر مردم یا چیزها.,رسانه‌های اجتماعی نفوذ عمیقی بر عقاید سیاسی جوانان اعمال می‌کنند.
74,زیرساخت,سیستم‌های فیزیکی اساسی که از یک جامعه پشتیبانی می‌کنند.,سرمایه‌گذاری در زیرساخت حمل و نقل برای تحریک توسعه اقتصادی منطقه‌ای حیاتی است.
75,ابتکار,یک برنامه یا اقدام جدید با هدف حل یک مشکل.,دولت یک ابتکار جدید برای تشویق جوانان به دنبال کردن مشاغل در حوزه STEM راه‌اندازی کرد.
76,نهاد,یک سازمان مستقر با هدف اجتماعی.,نهادهای دموکراتیک باید مستقل باقی بمانند تا جامعه‌ای عادل و منصفانه تضمین شود.
77,درگیر کردن,شامل کردن یا نیاز داشتن به چیزی به عنوان بخشی.,برنامه‌ریزی شهری مؤثر باید به طور فعال ساکنان را در فرآیند تصمیم‌گیری درگیر کند.
78,موضوع,یک موضوع مهم یا مشکل برای بحث.,تغییرات آب و هوایی یکی از فوری‌ترین موضوعاتی است که جامعه بین‌الملل امروز با آن روبرو است.
79,توجیه کردن,نشان دادن یا اثبات درستی یا معقول بودن چیزی.,دولت‌ها باید بتوانند افزایش هزینه‌های دفاعی را برای شهروندان خود توجیه کنند.
80,فقدان,غیاب یا کمبود چیز مورد نیاز.,فقدان دسترسی به آب پاک همچنان یک چالش بزرگ در کشورهای در حال توسعه است.
81,محدودیت,نقطه‌ای که چیزی نمی‌تواند از آن فراتر برود.,کشورها باید با محدودیت‌های الزام‌آور قانونی در مورد انتشار دی‌اکسید کربن موافقت کنند.
82,حفظ کردن,نگه داشتن چیزی در حالت فعلی یا وضعیت آن.,حفظ تنوع زیستی در مناطق شهری با جمعیت زیاد به طور فزاینده‌ای دشوار است.
83,عمده,از اهمیت یا جدیت بزرگ.,آلودگی هوا یک نگرانی عمده بهداشت عمومی در بسیاری از بزرگترین شهرهای جهان است.
84,مدیریت کردن,مسئول یا کنترل کننده چیزی بودن.,توسعه پایدار نیاز دارد که دولت‌ها منابع طبیعی را با دقت مدیریت کنند.
85,اقدام,عملی که برای دستیابی به یک هدف انجام می‌شود؛ اندازه‌گیری کردن.,دولت‌ها باید اقدامات قاطعی برای رفع مشکل فزاینده بیکاری جوانان انجام دهند.
86,روش,شیوه خاصی برای انجام کاری به صورت منظم.,دانشمندان باید از روش‌های تحقیقاتی دقیق برای اطمینان از اعتبار یافته‌های خود استفاده کنند.
87,مهاجرت کردن,جابجایی از یک منطقه یا کشور به منطقه‌ای دیگر.,بسیاری از کارگران روستایی به شهرها مهاجرت می‌کنند تا فرصت‌های شغلی بهتری پیدا کنند.
88,مدرن,مربوط به زمان حال؛ معاصر.,فناوری مدرن روش ارتباط و دسترسی مردم به اطلاعات را به طور اساسی تغییر داده است.
89,نظارت کردن,مشاهده و بررسی چیزی در طول زمان.,مقامات بهداشتی باید به طور مستمر کیفیت هوا را در مناطق شهری متراکم نظارت کنند.
90,ملی,مربوط به یا معمول در یک ملت.,دولت یک برنامه درسی ملی را برای استانداردسازی آموزش در سراسر کشور معرفی کرد.
91,طبیعی,موجود در طبیعت یا تولید شده توسط آن.,بهره‌برداری بیش از حد از منابع طبیعی تهدید جدی برای پایداری اکولوژیکی است.
92,ضروری,لازم یا کاملاً مورد نیاز.,برای دولت‌ها ضروری است که در زیرساخت سرمایه‌گذاری کنند تا از رشد اقتصادی حمایت شود.
93,منفی,آسیب‌رسان یا نامطلوب از نظر ماهیت یا اثر.,قرار گرفتن طولانی مدت در معرض قلدری آنلاین می‌تواند اثرات منفی جدی بر سلامت روان داشته باشد.
94,به دست آوردن,گرفتن یا کسب چیزی از طریق تلاش.,دانش‌آموزان باید حداقل نمره لازم را به دست آورند تا واجد شرایط برنامه‌های بورسیه دانشگاهی شوند.
95,رخ دادن,اتفاق افتادن یا وقوع یافتن.,پیش‌بینی می‌شود که بلایای طبیعی به دلیل تغییرات آب و هوایی با دفعات بیشتری رخ دهند.
96,فرصت,یک موقعیت مطلوب که امکان پیشرفت را فراهم می‌کند.,دسترسی به آموزش باکیفیت به جوانان فرصت‌های اقتصادی بیشتری می‌دهد.
97,نتیجه,نتیجه یا پیامد یک عمل.,برنامه‌های مداخله زودهنگام معمولاً نتایج آموزشی بهتری برای کودکان به دنبال دارند.
98,مشارکت کردن,شرکت در یک فعالیت یا رویداد.,شهروندان باید تشویق شوند که به طور فعال در تصمیم‌گیری دولت محلی مشارکت کنند.
99,سیاست,یک برنامه یا دوره اقدام اتخاذ شده توسط یک مقام.,سیاست انرژی مؤثر برای کاهش ردپای کربن یک کشور ضروری است.
100,آلوده کردن,آلودگی محیط زیست با مواد مضر.,فعالیت‌های صنعتی همچنان رودخانه‌ها را آلوده می‌کنند و به اکوسیستم‌های آبی در سراسر جهان آسیب می‌زنند.
101,جمعیت,تمام ساکنان یک مکان خاص.,جمعیت سالمند چالش‌های قابل توجهی برای سیستم‌های بازنشستگی و بهداشتی ایجاد می‌کند.
102,مثبت,دارای اثر مفید یا خوب.,نگرش مثبت نسبت به یادگیری مادام‌العمر می‌تواند چشم‌اندازهای شغلی را به طور قابل توجهی بهبود بخشد.
103,پتانسیل,داشتن ظرفیت توسعه یا دستیابی به چیزی.,هوش مصنوعی پتانسیل تحول در تشخیص و درمان پزشکی را دارد.
104,جلوگیری کردن,متوقف کردن وقوع چیزی.,برنامه‌های واکسیناسیون یکی از مؤثرترین راه‌ها برای جلوگیری از گسترش بیماری است.
105,اصلی,مهم‌ترین یا اول از نظر اولویت.,هدف اصلی هر سیستم بهداشتی باید حفاظت و ارتقای رفاه باشد.
106,فرآیند,مجموعه‌ای از مراحل برای دستیابی به یک نتیجه.,فرآیند دموکراتیک به دسترسی شهروندان به اطلاعات بی‌طرفانه و دقیق متکی است.
107,تولید کردن,ساختن یا ایجاد چیزی.,کارخانه‌هایی که سطح بالایی از آلاینده‌ها تولید می‌کنند باید مشمول مقررات سخت‌گیرانه‌تری شوند.
108,ترویج دادن,حمایت یا تشویق توسعه چیزی.,کمپین‌هایی که عادات غذایی سالم را ترویج می‌دهند می‌توانند به کاهش نرخ چاقی کودکان کمک کنند.
109,پیشنهاد دادن,مطرح کردن یک برنامه یا پیشنهاد.,برخی اقتصاددانان مالیات کربن را به عنوان راه‌حلی برای کاهش انتشار پیشنهاد داده‌اند.
110,محافظت کردن,در امان نگه داشتن از آسیب یا خسارت.,دولت‌ها وظیفه دارند از شهروندان در برابر پیامدهای آلودگی زیست‌محیطی محافظت کنند.
111,فراهم کردن,در دسترس قرار دادن چیزی برای کسی.,دولت باید خدمات بهداشتی اساسی را برای همه شهروندان بدون تبعیض فراهم کند.
112,هدف,دلیل وجود یا انجام چیزی.,هدف اصلی آموزش عالی تجهیز دانشجویان به مهارت‌های تفکر انتقادی است.
113,افزایش دادن,بیشتر کردن یا جلب توجه به موضوعی.,سازمان‌های بین‌المللی همچنان آگاهی درباره اثرات تغییرات آب و هوایی را افزایش می‌دهند.
114,کاهش دادن,کوچکتر یا کمتر کردن چیزی.,دولت هدف دارد انتشار کربن را در طول بیست سال آینده ۵۰ درصد کاهش دهد.
115,منعکس کردن,نشان دادن یا تفکر عمیق درباره چیزی.,سیاست‌های دولت باید به دقت نیازها و ارزش‌های جمعیت گسترده‌تر را منعکس کند.
116,منطقه,یک ناحیه بزرگ با ویژگی‌های متمایز.,توسعه اقتصادی بین مناطق ساحلی و داخلی کشور به طور گسترده‌ای متفاوت است.
117,تنظیم کردن,کنترل چیزی از طریق قوانین.,دولت‌ها باید استفاده از پلتفرم‌های رسانه اجتماعی را برای محافظت از کاربران جوان تنظیم کنند.
118,مرتبط بودن,داشتن ارتباط یا پیوند با چیزی.,سطوح بالای نابرابری به طور نزدیکی با افزایش نرخ جرم و ناآرامی‌های اجتماعی مرتبط است.
119,رها کردن,آزاد کردن یا تخلیه چیزی.,فرآیندهای صنعتی همچنان مقادیر زیادی آلاینده به جو رها می‌کنند.
120,متکی بودن,وابسته بودن به کسی یا چیزی.,بسیاری از کشورهای در حال توسعه همچنان برای نیازهای انرژی خود به شدت به سوخت‌های فسیلی متکی هستند.
121,نمایندگی کردن,نمایش یا عمل از طرف چیزی.,مقامات منتخب وظیفه دارند منافع حوزه انتخابیه خود را به طور منصفانه نمایندگی کنند.
122,نیاز داشتن,چیزی را به عنوان ضروری یا اجباری خواستن.,مقابله با تغییرات آب و هوایی به همکاری فوری بین‌المللی و تعهد سیاسی نیاز دارد.
123,پژوهش,تحقیق سیستماتیک برای کشف حقایق جدید.,سرمایه‌گذاری قابل توجه در تحقیقات پزشکی برای مبارزه با بیماری‌های عفونی نوظهور لازم است.
124,منبع,ذخیره‌ای که می‌توان برای یک هدف استفاده کرد.,کشورها باید منابع طبیعی خود را برای تضمین پایداری بلندمدت با مسئولیت مدیریت کنند.
125,پاسخ دادن,واکنش نشان دادن یا پاسخگویی به چیزی.,دولت‌ها باید به سرعت به بلایای طبیعی پاسخ دهند تا تلفات و رنج را به حداقل برسانند.
126,نتیجه,چیزی که به عنوان پیامد یک عمل حاصل می‌شود.,رژیم غذایی ضعیف و سبک زندگی کم‌تحرک اغلب به مشکلات جدی بهداشتی بلندمدت منجر می‌شود.
127,حفظ کردن,ادامه دادن به نگه داشتن یا نگه داشتن چیزی.,شرکت‌ها باید استراتژی‌های بهتری برای حفظ کارکنان با استعداد در بازارهای رقابتی توسعه دهند.
128,آشکار کردن,شناخته کردن چیزی که قبلاً پنهان بود.,تحقیقات اخیر همبستگی قوی بین نابرابری درآمدی و نتایج بد بهداشتی را آشکار می‌کند.
129,نقش,کارکرد یا موقعیت کسی یا چیزی.,آموزش نقش حیاتی در کاهش نابرابری اجتماعی و ارتقای تحرک اجتماعی دارد.
130,روستایی,مربوط به حومه به جای شهرها.,جوامع روستایی اغلب به منابع آموزشی یکسانی که جمعیت شهری دارد دسترسی ندارند.
131,بخش,بخش متمایزی از اقتصاد یا جامعه.,بخش عمومی نقش حیاتی در ارائه خدمات ضروری به شهروندان دارد.
132,قابل توجه,مهم یا به اندازه کافی بزرگ که اثر داشته باشد.,کاهش آماری قابل توجهی در نرخ جرم در دهه‌های اخیر رخ داده است.
133,جامعه,یک اجتماع از مردم که با هم زندگی می‌کنند.,یک جامعه عادل و منصفانه باید فرصت‌های برابر را برای همه شهروندان تضمین کند.
134,راه‌حل,روشی برای حل یک مشکل.,همکاری بین‌المللی برای یافتن راه‌حل‌های بلندمدت برای تغییرات آب و هوایی جهانی ضروری است.
135,منبع,خاستگاه یا ذخیره چیزی.,محققان باید هنگام ارائه شواهد در آثار علمی به منابع معتبر استناد کنند.
136,استاندارد,سطح کیفیت یا دستاوردی که انتظار می‌رود.,بالا بردن استانداردهای آموزشی برای بهبود رقابت‌پذیری اقتصادی ملی ضروری تلقی می‌شود.
137,استراتژی,برنامه‌ای طراحی شده برای دستیابی به یک هدف بلندمدت.,دولت یک استراتژی ملی جدید برای مقابله با سطوح رو به افزایش چاقی رونمایی کرد.
138,ساختار,آرایش سازمان‌یافته اجزا در چیزی.,ساختارهای اجتماعی سخت می‌توانند مانع از تحرک صعودی شده و نابرابری را تداوم بخشند.
139,پیشنهاد کردن,مطرح کردن یک ایده یا احتمال.,شواهد نشان می‌دهد که آموزش دوران کودکی مزایای ماندگاری برای رشد شناختی دارد.
140,حمایت,کمک ارائه دادن یا استدلال به نفع چیزی.,حمایت مالی دولت از کسب‌وکارهای کوچک در دوران رکود اقتصادی حیاتی است.
141,حفظ کردن,نگه داشتن یا ادامه دادن به چیزی در طول زمان.,اتخاذ سیاست‌هایی که رشد اقتصادی را بدون آسیب به محیط زیست حفظ کنند حیاتی است.
142,سیستم,مجموعه‌ای سازمان‌یافته از عناصر به هم مرتبط.,یک سیستم بهداشتی با بودجه کافی برای حفظ جمعیت سالم و مولد ضروری است.
143,هدف,یک هدف یا گروهی که به طور خاص به آن توجه می‌شود.,کشورها باید اهداف بلندپروازانه‌ای برای کاهش انتشار گازهای گلخانه‌ای تا ۲۰۵۰ تعیین کنند.
144,فناوری,دانش علمی اعمال شده برای اهداف عملی.,پیشرفت‌های فناوری دسترسی به اطلاعات را از هر نقطه‌ای در جهان ممکن کرده است.
145,تمایل داشتن,داشتن گرایش کلی به سمت چیزی.,کشورهای ثروتمندتر تمایل دارند انتشار کربن بیشتری به ازای هر نفر نسبت به کشورهای در حال توسعه داشته باشند.
146,نظریه,سیستمی از ایده‌ها برای توضیح پدیده‌ها.,نظریه تکامل داروین درک ما از حیات روی زمین را به طور اساسی تغییر داد.
147,سنتی,بر اساس آداب و رسوم دیرپا.,جهانی‌شدن ارزش‌های سنتی و هویت‌های فرهنگی را در بسیاری از جوامع به چالش کشیده است.
148,تغییر شکل دادن,تغییر کامل چیزی از نظر شکل یا ماهیت.,فناوری دیجیتال قدرت تغییر شکل روش کار و ارتباط مردم را دارد.
149,روند,جهت کلی که چیزی در آن در حال توسعه است.,روند جهانی به سمت شهرنشینی در دهه‌های آینده نشانه‌ای از کند شدن ندارد.
150,شهری,مربوط به یا ویژگی یک شهر.,توسعه سریع شهری فشار زیادی بر زیرساخت حمل و نقل عمومی وارد کرده است.
151,ارزش,اهمیت یا ارزش تعیین شده برای چیزی.,ارزش‌های محوری مانند برابری و عدالت زیربنای اکثر قانون اساسی‌های دموکراتیک مدرن هستند.
152,متفاوت بودن,متفاوت بودن یا تغییر بسته به شرایط.,امید به زندگی بسته به درآمد و کیفیت مراقبت‌های بهداشتی به طور قابل توجهی بین کشورها متفاوت است.
153,قربانی,شخصی که توسط یک جرم یا بدبختی آسیب دیده است.,سیستم‌های حمایتی کافی باید در دسترس باشند تا به قربانیان خشونت خانگی در بهبودی کمک کنند.
154,رفاه,سلامت، شادی و آسایش یک شخص.,دولت رفاه یک شبکه ایمنی برای شهروندان در دوران بیکاری یا بیماری فراهم می‌کند.
155,دسترسی,توانایی یا حق دستیابی یا استفاده از چیزی.,تضمین دسترسی برابر به مراقبت‌های بهداشتی یک تعهد اساسی هر دولت عادلانه است.
156,تطبیق دادن,تنظیم برای شرایط یا اوضاع جدید.,کسب‌وکارها باید به طور مستمر خود را با شرایط متغیر سریع بازار تطبیق دهند تا رقابتی باقی بمانند.
157,پرداختن به,رسیدگی یا صحبت کردن درباره یک مشکل.,سیاستگذاران باید فوری به موضوع افزایش بی‌خانمانی در شهرهای بزرگ بپردازند.
158,کافی,رضایت‌بخش یا کافی برای یک هدف خاص.,هر کودکی حق دارد از سطح کافی آموزش و تغذیه برخوردار شود.
159,سازمان,سازمانی که از طرف دیگری عمل می‌کند؛ استقلال.,یک سازمان دولتی به طور خاص برای نظارت بر امور حفاظت از محیط زیست تأسیس شد.
160,استدلال کردن,ارائه دلایل به نفع یک موضع.,بسیاری از اقتصاددانان استدلال می‌کنند که تجارت آزاد هم به کشورهای در حال توسعه و هم به کشورهای توسعه‌یافته سود می‌رساند.
161,آگاه,داشتن دانش یا آگاهی از چیزی.,جوانان به طور فزاینده‌ای از پیامدهای تغییرات آب و هوایی بر آینده خود آگاه هستند.
162,تعادل,توزیع برابر یا تعادل پایدار.,رویکردی متعادل لازم است که رشد اقتصادی را ترویج دهد و در عین حال از محیط زیست محافظت کند.
163,مانع,چیزی که از دسترسی یا پیشرفت جلوگیری می‌کند.,موانع مالی همچنان از دسترسی بسیاری از دانشجویان با استعداد به آموزش عالی جلوگیری می‌کند.
164,رفتار,شیوه عمل کردن یک شخص یا موجود.,برنامه‌های آموزشی می‌توانند به طور مؤثر رفتار را تغییر داده و انتخاب‌های سبک زندگی سالم‌تر را ترویج دهند.
165,بودجه,تخمینی از درآمد و هزینه برای یک دوره.,دولت‌ها باید بخش کافی از بودجه ملی را به آموزش عمومی اختصاص دهند.
