id,front,back,example
41,متنوع,بما في ذلك العديد من الأنواع أو الأصناف المختلفة.,تساهم القوى العاملة المتنوعة في إثراء المنظمة بمجموعة أوسع من وجهات النظر والأفكار.
42,اقتصادي,يتعلق بإنتاج واستخدام النقود.,لقد ساهم التطور الاقتصادي السريع في انتشال ملايين الأشخاص من براثن الفقر في آسيا.
43,تعليم,عملية تلقي التعليم المنهجي.,يُعتبر الحصول على تعليم جيد حقاً أساسياً من حقوق الإنسان.
44,تأثير,تغيير أو نتيجة ناتجة عن سبب.,إن الآثار طويلة المدى للحرمان من النوم على الوظائف الإدراكية موثقة جيداً.
45,ظهور,أن ينشأ أو يصبح معروفاً.,تستمر التقنيات الجديدة في الظهور كحلول لأزمة الطاقة العالمية.
46,توظيف,توظيف شخص للعمل مقابل أجر.,لا يزال قطاع التصنيع يوظف نسبة كبيرة من القوى العاملة الوطنية.
47,طاقة,الطاقة المستمدة من الموارد الطبيعية أو المحولة.,يُعد التحول إلى مصادر الطاقة المتجددة أمراً بالغ الأهمية للحد من انبعاثات غازات الاحتباس الحراري.
48,بيئة,العالم الطبيعي أو البيئة المحيطة بالكائن الحي.,ينبغي أن تكون حماية البيئة الطبيعية أولوية لكل من الحكومات والأفراد.
49,يٌرسّخ,تأسيس أو إنشاء شيء ما على أساس متين.,أنشأت الحكومة هيئة تنظيمية جديدة للإشراف على القطاع المالي.
50,يقيم,لتقييم قيمة أو جودة شيء ما.,من الضروري تقييم مصادر المعلومات بشكل نقدي قبل الاستشهاد بها.
51,شهادة,حقائق أو معلومات تدعم استنتاجاً ما.,هناك أدلة تجريبية قوية تربط التدخين بمجموعة متنوعة من الأمراض الخطيرة.
52,يفحص,التحقق من شيء ما أو فحصه بدقة.,ستتناول هذه المقالة العلاقة بين عدم المساواة الاقتصادية ومعدلات الجريمة.
53,يوسع,زيادة في الحجم أو العدد أو النطاق.,تسعى العديد من الشركات إلى توسيع عملياتها في الأسواق الناشئة في آسيا.
54,يتوقع,أن تؤمن بأن شيئًا ما سيحدث في المستقبل.,من المتوقع على نطاق واسع أن تُحدث الأتمتة تحولاً جذرياً في سوق العمل خلال عقود.
55,خبرة,المعرفة أو المهارة المكتسبة من خلال الممارسة.,تساعد برامج التدريب العملي الطلاب على تطوير مهارات عملية تؤهلهم للعمل في المستقبل.
56,يشرح,توضيح شيء ما من خلال وصفه.,إن قدرة الأستاذة على شرح النظريات المعقدة بوضوح جعلتها تحظى باحترام كبير.
57,عامل,عنصر يساهم في تحقيق نتيجة.,يُعد النظام الغذائي والتمارين الرياضية من العوامل الرئيسية في تحديد النتائج الصحية طويلة المدى للفرد.
58,ميزة,سمة أو خاصية مميزة لشيء ما.,من السمات الرئيسية للتخطيط الحضري الناجح توفير مساحات خضراء يسهل الوصول إليها.
59,ركز,تركيز الانتباه أو الجهد على شيء ما.,ينبغي أن تركز السياسة الحكومية على توفير مساكن بأسعار معقولة للأسر ذات الدخل المنخفض.
60,وظيفة,الغرض أو الدور الذي صُمم شيء ما ليؤديه.,تتمثل الوظيفة الأساسية للجهاز المناعي في حماية الجسم من الأمراض.
61,يولد,إنتاج أو ابتكار شيء ما.,يمكن للألواح الشمسية توليد كمية كافية من الكهرباء لتزويد منزل كامل بالطاقة.
62,عالمي,متعلق بالعالم بأسره أو يغطيه.,يُعد التعاون العالمي أمراً ضرورياً لمواجهة تحديات تغير المناخ بفعالية.
63,الحكم,السيطرة على دولة أو منظمة أو توجيهها.,يجب أن تُحكم الدول الديمقراطية بطريقة تعكس إرادة الشعب.
64,نمو,عملية زيادة الحجم أو القيمة.,يُعد النمو الاقتصادي المستدام ضرورياً للحد من البطالة وتحسين مستويات المعيشة.
65,ضرر,الضرر الجسدي أو النفسي الذي يلحق بشيء ما.,قد يتسبب الاستخدام المفرط لوسائل التواصل الاجتماعي في أضرار نفسية للشباب المعرضين للخطر.
66,صحة,حالة الخلو من المرض أو الإصابة.,يجب على الحكومات الاستثمار في البنية التحتية للصحة العامة لمنع انتشار الأمراض.
67,تأثير,تأثير قوي أو نفوذ على شيء ما.,للتوسع الحضري تأثير كبير على النظم البيئية المحلية وموارد المياه.
68,ينفذ,وضع خطة أو قرار موضع التنفيذ.,تعتزم الحكومة تطبيق لوائح جديدة للحد من انبعاثات الكربون الصناعية.
69,يحسن,لتحسين الجودة أو جعلها أفضل.,يُعد الاستثمار في التعليم الطريقة الأكثر فعالية لتحسين النتائج الاقتصادية على المدى الطويل.
70,يزيد,أن يصبح أو يجعل شيئًا ما أكبر في الكمية.,شهدت مبيعات السيارات الكهربائية على مستوى العالم زيادة كبيرة.
71,يشير,لإظهار أو الإشارة إلى شيء ما على أنه محتمل.,تشير الدراسات الحديثة إلى أن النشاط البدني المنتظم يقلل من خطر الإصابة بالأمراض المزمنة.
72,فردي,فرد واحد، متميز عن المجموعة.,تُعد حماية الحقوق الفردية حجر الزاوية في أي مجتمع ديمقراطي.
73,تأثير,القدرة على التأثير على الناس أو الأشياء.,تمارس وسائل التواصل الاجتماعي تأثيراً عميقاً على الآراء السياسية للشباب.
74,بنية تحتية,الأنظمة الفيزيائية الأساسية التي تدعم المجتمع.,يُعد الاستثمار في البنية التحتية للنقل أمراً حيوياً لتحفيز التنمية الاقتصادية الإقليمية.
75,مبادرة,خطة أو إجراء جديد يهدف إلى حل مشكلة ما.,أطلقت الحكومة مبادرة جديدة لتشجيع الشباب على ممارسة مهن في مجالات العلوم والتكنولوجيا والهندسة والرياضيات.
76,مؤسسة,منظمة راسخة ذات هدف اجتماعي.,يجب أن تظل المؤسسات الديمقراطية مستقلة لضمان مجتمع عادل ومنصف.
77,يتضمن,تضمين شيء ما أو اشتراطه كجزء منه.,ينبغي أن يشمل التخطيط الحضري الفعال السكان بشكل فعال في عملية صنع القرار.
78,مشكلة,موضوع أو مشكلة مهمة للنقاش.,يُعد تغير المناخ أحد أكثر القضايا إلحاحاً التي تواجه المجتمع الدولي اليوم.
79,يبرر,لإظهار أو إثبات أن شيئًا ما صحيح أو معقول.,يجب أن تكون الحكومات قادرة على تبرير زيادة الإنفاق الدفاعي لمواطنيها.
80,نقص,غياب أو نقص شيء مطلوب.,لا يزال نقص المياه النظيفة يمثل تحدياً كبيراً في الدول النامية.
81,حد,نقطة لا يمكن لأي شيء أن يتجاوزها.,يجب على الدول أن تتفق على حدود ملزمة قانوناً لانبعاثات ثاني أكسيد الكربون.
82,يحافظ على,للحفاظ على شيء ما في حالته أو وضعه الحالي.,بات من الصعب بشكل متزايد الحفاظ على التنوع البيولوجي في المناطق الحضرية المكتظة.
83,رئيسي,ذو أهمية أو خطورة بالغة.,يُعد تلوث الهواء مصدر قلق كبير للصحة العامة في العديد من أكبر مدن العالم.
84,يدير,أن يكون مسؤولاً عن شيء ما أو مسيطراً عليه.,يتطلب التنمية المستدامة من الحكومات إدارة الموارد الطبيعية بعناية.
85,يقيس,إجراء يتم اتخاذه لتحقيق هدف؛ لتحديد الكمية.,يجب على الحكومات اتخاذ تدابير حاسمة لمعالجة مشكلة بطالة الشباب المتفاقمة.
86,طريقة,طريقة معينة للقيام بشيء ما بشكل منهجي.,يجب على العلماء تبني أساليب بحث صارمة لضمان صحة نتائجهم.
87,الهجرة,الانتقال من منطقة أو بلد إلى آخر.,يهاجر العديد من العمال الريفيين إلى المدن بحثاً عن فرص عمل أفضل.
88,حديث,متعلق بالوقت الحاضر؛ معاصر.,لقد غيرت التكنولوجيا الحديثة بشكل جذري طريقة تواصل الناس ووصولهم إلى المعلومات.
89,شاشة,مراقبة شيء ما والتحقق منه بمرور الوقت.,يجب على السلطات الصحية مراقبة جودة الهواء باستمرار في المناطق الحضرية ذات الكثافة السكانية العالية.
90,وطني,متعلق بأمة بأكملها أو نموذجي لها.,قامت الحكومة بتطبيق منهج وطني لتوحيد التعليم في جميع أنحاء البلاد.
91,طبيعي,موجود في الطبيعة أو ناتج عنها.,يشكل الاستغلال المفرط للموارد الطبيعية تهديداً خطيراً للاستدامة البيئية.
92,ضروري,مطلوب أو ضروري للغاية.,من الضروري أن تستثمر الحكومات في البنية التحتية لدعم النمو الاقتصادي.
93,سلبي,ضار أو غير مواتٍ بطبيعته أو تأثيره.,إن التعرض المطول للتنمر الإلكتروني قد يكون له آثار سلبية خطيرة على الصحة النفسية.
94,يحصل على,الحصول على شيء ما أو اكتسابه من خلال الجهد.,يجب على الطلاب الحصول على حد أدنى من الدرجات للتأهل لبرامج المنح الدراسية الجامعية.
95,يحدث,أن يحدث أو يقع.,من المتوقع أن تحدث الكوارث الطبيعية بوتيرة متزايدة بسبب تغير المناخ.
96,فرصة,وضع مواتٍ يسمح بالتقدم.,إن الحصول على تعليم جيد يمنح الشباب فرصاً اقتصادية أكبر.
97,حصيلة,نتيجة أو عاقبة فعل ما.,تميل برامج التدخل المبكر إلى تحقيق نتائج تعليمية أفضل للأطفال.
98,يشارك,للمشاركة في نشاط أو فعالية.,ينبغي تشجيع المواطنين على المشاركة الفعالة في عملية صنع القرار في الحكومة المحلية.
99,سياسة,خطة أو مسار عمل تتبناه جهة مختصة.,تُعد سياسة الطاقة الفعالة ضرورية لتقليل البصمة الكربونية للدولة.
100,تلوث,لتلويث البيئة بمواد ضارة.,تستمر الأنشطة الصناعية في تلويث الأنهار والإضرار بالنظم البيئية المائية على مستوى العالم.
101,سكان,جميع سكان مكان معين.,يشكل شيخوخة السكان تحديات كبيرة لأنظمة المعاشات التقاعدية والرعاية الصحية.
102,إيجابي,له تأثير مفيد أو جيد.,إن امتلاك موقف إيجابي تجاه التعلم مدى الحياة يمكن أن يحسن فرص العمل بشكل كبير.
103,محتمل,امتلاك القدرة على تطوير أو تحقيق شيء ما.,يتمتع الذكاء الاصطناعي بالقدرة على إحداث تحول جذري في تشخيص وعلاج الرعاية الصحية.
104,يمنع,لمنع حدوث شيء ما.,تُعد برامج التطعيم من أكثر الطرق فعالية للوقاية من انتشار الأمراض.
105,أساسي,الأهم أو الأول حسب الأولوية.,ينبغي أن يكون الهدف الأساسي لأي نظام صحي هو حماية وتعزيز الصحة.
106,عملية,سلسلة من الخطوات لتحقيق نتيجة معينة.,تعتمد العملية الديمقراطية على حصول المواطنين على معلومات نزيهة ودقيقة.
107,ينتج,صنع أو ابتكار شيء ما.,يجب إخضاع المصانع التي تنتج مستويات عالية من الانبعاثات لأنظمة أكثر صرامة.
108,يرقي,دعم أو تشجيع تطوير شيء ما.,يمكن للحملات التي تشجع على عادات الأكل الصحية أن تساعد في خفض معدلات السمنة لدى الأطفال.
109,اقتراح,طرح خطة أو اقتراح.,اقترح العديد من الاقتصاديين فرض ضريبة على الكربون كحل لخفض الانبعاثات.
110,يحمي,للحفاظ على السلامة من الأذى أو الضرر.,يقع على عاتق الحكومات واجب حماية المواطنين من عواقب التلوث البيئي.
111,يمد,إتاحة شيء ما لشخص ما.,يجب على الدولة توفير خدمات الرعاية الصحية الأساسية لجميع المواطنين دون تمييز.
112,غاية,السبب الذي من أجله يوجد شيء ما أو يتم القيام به.,الهدف الرئيسي من التعليم العالي هو تزويد الطلاب بمهارات التفكير النقدي.
113,يرفع,لزيادة أو لفت الانتباه إلى أمر ما.,تواصل المنظمات الدولية جهودها لزيادة الوعي بآثار تغير المناخ.
114,يقلل,لجعل شيء ما أصغر أو أقل كمية.,تهدف الحكومة إلى خفض انبعاثات الكربون بنسبة 50% خلال السنوات العشرين القادمة.
115,يعكس,أن تُظهر أو تفكر بعمق في شيء ما.,ينبغي أن تعكس السياسات الحكومية بدقة احتياجات وقيم عموم السكان.
116,منطقة,منطقة واسعة ذات خصائص مميزة.,يختلف التطور الاقتصادي اختلافاً كبيراً بين المناطق الساحلية والمناطق الداخلية في البلاد.
117,تنظيم,التحكم في شيء ما عن طريق القواعد.,يجب على الحكومات تنظيم استخدام منصات التواصل الاجتماعي لحماية المستخدمين الشباب.
118,يتصل,أن يكون لديك اتصال أو صلة بشيء ما.,ترتبط المستويات العالية من عدم المساواة ارتباطاً وثيقاً بزيادة معدلات الجريمة والاضطرابات الاجتماعية.
119,يطلق,السماح لشيء ما بأن يكون حراً أو مُفرَّغاً.,تستمر العمليات الصناعية في إطلاق كميات كبيرة من الملوثات في الغلاف الجوي.
120,يعتمد,الاعتماد على شخص أو شيء ما.,لا تزال العديد من الدول النامية تعتمد بشكل كبير على الوقود الأحفوري لتلبية احتياجاتها من الطاقة.
121,يمثل,أن يدافع عن شيء ما أو يتصرف نيابة عنه.,يقع على عاتق المسؤولين المنتخبين واجب تمثيل مصالح ناخبيهم بشكل عادل.
122,يتطلب,أن يحتاج المرء إلى شيء ما باعتباره ضرورياً أو إلزامياً.,يتطلب التصدي لتغير المناخ تعاوناً دولياً عاجلاً والتزاماً سياسياً.
123,بحث,تحقيق منهجي لإثبات حقائق جديدة.,هناك حاجة إلى استثمار كبير في البحوث الطبية لمكافحة الأمراض المعدية الناشئة.
124,مورد,مورد يمكن استخدامه لغرض معين.,يجب على الدول إدارة مواردها الطبيعية بمسؤولية لضمان استدامتها على المدى الطويل.
125,يرد,للتفاعل أو الرد على شيء ما.,يجب على الحكومات الاستجابة بسرعة للكوارث الطبيعية لتقليل الخسائر البشرية والمعاناة.
126,نتيجة,شيء ينتج كنتيجة لفعل ما.,غالباً ما يؤدي سوء التغذية وقلة الحركة إلى مشاكل صحية خطيرة على المدى الطويل.
127,يحتفظ,الاستمرار في الاحتفاظ بشيء ما أو امتلاكه.,يتعين على الشركات تطوير استراتيجيات أفضل للاحتفاظ بالموظفين الموهوبين في الأسواق التنافسية.
128,يكشف,لإعلان شيء كان مخفياً سابقاً.,تكشف الأبحاث الحديثة عن وجود علاقة قوية بين عدم المساواة في الدخل وسوء النتائج الصحية.
129,دور,الوظيفة أو المنصب الذي يشغله شخص أو شيء ما.,يلعب التعليم دوراً حاسماً في الحد من عدم المساواة الاجتماعية وتعزيز الحراك الاجتماعي.
130,ريفي,يتعلق الأمر بالريف وليس بالمدن.,غالباً ما تفتقر المجتمعات الريفية إلى نفس الموارد التعليمية التي يتمتع بها سكان المدن.
131,قطاع,جزء مميز من الاقتصاد أو المجتمع.,يلعب القطاع العام دوراً حيوياً في تقديم الخدمات الأساسية للمواطنين.
132,بارِز,مهم أو كبير بما يكفي لإحداث تأثير.,شهدت العقود الأخيرة انخفاضاً ذا دلالة إحصائية في معدلات الجريمة.
133,مجتمع,مجتمع من الناس يعيشون معاً.,يجب على المجتمع العادل والمنصف أن يضمن تكافؤ الفرص لجميع مواطنيه.
134,حل,طريقة لحل مشكلة.,يُعد التعاون الدولي ضرورياً لإيجاد حلول طويلة الأجل لتغير المناخ العالمي.
135,مصدر,مصدر أو مصدر شيء ما.,يجب على الباحثين الاستشهاد بمصادر موثوقة عند تقديم الأدلة في العمل الأكاديمي.
136,معيار,مستوى الجودة أو الإنجاز المتوقع.,يُعتبر رفع مستوى التعليم أمراً أساسياً لتحسين القدرة التنافسية الاقتصادية الوطنية.
137,استراتيجية,خطة مصممة لتحقيق هدف طويل الأجل.,كشفت الحكومة عن استراتيجية وطنية جديدة لمعالجة ارتفاع مستويات السمنة.
138,بناء,الترتيب المنظم للأجزاء في شيء ما.,يمكن للهياكل الاجتماعية الجامدة أن تمنع الحراك الاجتماعي التصاعدي وتديم عدم المساواة.
139,يقترح,طرح فكرة أو احتمال.,تشير الأدلة إلى أن التعليم في مرحلة الطفولة المبكرة له فوائد دائمة للتطور المعرفي.
140,يدعم,تقديم المساعدة أو الدفاع عن شيء ما.,يُعد الدعم المالي الحكومي للشركات الصغيرة أمراً بالغ الأهمية خلال فترات الركود الاقتصادي.
141,حَافَظ على,للحفاظ على شيء ما أو إبقائه مستمراً مع مرور الوقت.,من الضروري تبني سياسات تدعم النمو الاقتصادي دون الإضرار بالبيئة.
142,نظام,مجموعة منظمة من العناصر المترابطة.,يُعد نظام الرعاية الصحية الممول تمويلاً جيداً أمراً ضرورياً للحفاظ على صحة السكان وإنتاجيتهم.
143,هدف,هدف أو مجموعة موجهة تحديداً.,يجب على الدول وضع أهداف طموحة لخفض انبعاثات غازات الاحتباس الحراري بحلول عام 2050.
144,تكنولوجيا,المعرفة العلمية المطبقة على الأغراض العملية.,لقد أتاحت التطورات التكنولوجية إمكانية الوصول إلى المعلومات في أي مكان في العالم.
145,ينزع,أن يكون لديك ميل عام نحو شيء ما.,تميل الدول الأكثر ثراءً إلى إنتاج انبعاثات كربونية للفرد الواحد أكثر من الدول النامية.
146,نظرية,نظام من الأفكار يُستخدم لشرح الظواهر.,لقد غيرت نظرية داروين في التطور فهمنا للحياة على الأرض بشكل جذري.
147,تقليدي,استناداً إلى عادات وممارسات راسخة منذ زمن طويل.,لقد شكلت العولمة تحدياً للقيم التقليدية والهويات الثقافية في العديد من المجتمعات.
148,تحويل,تغيير شيء ما بشكل كامل في شكله أو طبيعته.,تتمتع التكنولوجيا الرقمية بالقدرة على تغيير طريقة عمل الناس وتواصلهم.
149,اتجاه,اتجاه عام يتطور فيه شيء ما.,لا تظهر أي علامات على تباطؤ الاتجاه العالمي نحو التحضر في العقود القادمة.
150,حضري,متعلق بالمدينة أو مميز لها.,لقد أدى التطور الحضري السريع إلى وضع ضغط هائل على البنية التحتية للنقل العام.
151,قيمة,الأهمية أو القيمة المنسوبة لشيء ما.,تُشكل القيم الأساسية مثل المساواة والعدالة أساس معظم الدساتير الديمقراطية الحديثة.
152,يتغير,أن يكون مختلفاً أو يتغير تبعاً للظروف.,يختلف متوسط ​​العمر المتوقع اختلافاً كبيراً بين الدول تبعاً للدخل وجودة الرعاية الصحية.
153,ضحية,الشخص الذي تضرر من جريمة أو مصيبة.,يجب توفير أنظمة دعم كافية لمساعدة ضحايا العنف المنزلي على التعافي.
154,رعاية,صحة الإنسان وسعادته ورفاهيته.,توفر دولة الرفاه شبكة أمان للمواطنين خلال فترات البطالة أو المرض.
155,وصول,القدرة أو الحق في الحصول على شيء ما أو استخدامه.,إن ضمان المساواة في الحصول على الرعاية الصحية هو التزام أساسي على أي حكومة عادلة.
156,يتكيف,للتكيف مع الظروف أو الأوضاع الجديدة.,يجب على الشركات التكيف باستمرار مع ظروف السوق المتغيرة بسرعة للحفاظ على قدرتها التنافسية.
157,عنوان,التعامل مع مشكلة أو التحدث عنها.,يجب على صانعي السياسات معالجة قضية تزايد التشرد في المدن الكبرى بشكل عاجل.
158,مناسب,مرضٍ أو كافٍ لغرض معين.,لكل طفل الحق في الحصول على مستوى مناسب من التعليم والتغذية.
159,وكالة,منظمة تعمل نيابة عن منظمة أخرى؛ الاستقلالية.,تم إنشاء وكالة حكومية خصيصاً للإشراف على مسائل حماية البيئة.
160,يجادل,تقديم الأسباب الداعمة لموقف معين.,يجادل العديد من الاقتصاديين بأن التجارة الحرة تفيد الدول النامية والمتقدمة على حد سواء.
161,واعي,امتلاك المعرفة أو الوعي بشيء ما.,يزداد وعي الشباب بعواقب تغير المناخ على مستقبلهم.
162,توازن,توزيع متساوٍ أو توازن مستقر.,هناك حاجة إلى نهج متوازن يعزز النمو الاقتصادي مع حماية البيئة.
163,حاجز,شيء يمنع الوصول أو التقدم.,لا تزال العوائق المالية تحول دون حصول العديد من الطلاب الموهوبين على التعليم العالي.
164,سلوك,الطريقة التي يتصرف بها الشخص أو الكائن الحي.,يمكن للبرامج التعليمية أن تغير السلوك بشكل فعال وتعزز خيارات نمط الحياة الصحية.
165,ميزانية,تقدير للدخل والنفقات لفترة زمنية محددة.,يجب على الحكومات تخصيص جزء كافٍ من الميزانية الوطنية للتعليم العام.
166,عاصمة,الثروة المستخدمة لتوليد الدخل؛ مقر حكومة الدولة.,إن الاستثمار في رأس المال البشري من خلال التعليم يحقق عوائد اقتصادية كبيرة على المدى الطويل.
167,جدول,تمثيل مرئي للبيانات؛ تسجيل البيانات.,يوضح الرسم البياني زيادة مطردة في متوسط ​​درجات الحرارة العالمية من عام 1980 إلى عام 2020.
168,خيار,مجموعة مختارة من البدائل المتاحة.,ينبغي على الحكومات احترام الخيارات الفردية مع ضمان حصول المواطنين على المعلومات الكافية.
169,يجمع,جمع العناصر أو المعلومات معًا.,يقوم الباحثون بجمع البيانات من آلاف المشاركين لضمان الموثوقية الإحصائية.
170,يقترف,أن يتعهد المرء أو يكرس نفسه لمسار عمل معين.,يجب على الدول الالتزام باتفاقيات ملزمة لخفض انبعاثاتها من غازات الاحتباس الحراري بشكل كبير.
171,يتواصل,لتبادل المعلومات أو مشاركتها بفعالية.,تُعد القدرة على التواصل بوضوح وإقناع أمراً أساسياً في الحياة الأكاديمية والمهنية.
172,تنافس,السعي ضد الآخرين لتحقيق نفس الهدف.,يجب على الدول الاستثمار في التعليم والابتكار لكي تتمكن من المنافسة بفعالية في الاقتصاد العالمي.
173,صراع,خلاف حاد أو صراع طويل الأمد.,لا تزال النزاعات المسلحة تتسبب في نزوح ملايين الأشخاص في مختلف مناطق العالم.
174,عقد,اتفاقية قانونية رسمية بين الأطراف.,ينبغي على العمال دائماً قراءة عقد العمل بعناية قبل توقيع أي وثيقة.
175,يَتَصدَّى,للتعامل بفعالية مع موقف صعب.,تواجه العديد من المجتمعات صعوبة في التأقلم مع تزايد وتيرة الكوارث الطبيعية.
176,فاسد,غير أمين أو مستعد للتصرف بطريقة غير أخلاقية لتحقيق مكاسب.,إن المسؤولين الفاسدين الذين يسيئون استخدام الأموال العامة يقوضون الثقة التي يضعها المواطنون في الحكومة.
177,يكلف,المبلغ المطلوب لشراء أو القيام بشيء ما.,أدى ارتفاع تكاليف المعيشة إلى صعوبة متزايدة في توفير السكن للأسر ذات الدخل المنخفض.
