id,front,back,example
22,حالت,ریاست یا حالات کسی چیز کو متاثر کرتے ہیں۔,دیہی علاقوں میں حالات زندگی کو بہتر بنانا پالیسی سازوں کے لیے ایک ترجیح ہے۔
23,طرز عمل,ایک سرگرمی کو انجام دینے کے لئے؛ رویہ یا طریقہ۔,یونیورسٹی پانچ سالوں کے دوران طلباء کی فلاح و بہبود پر ایک طولانی مطالعہ کرے گی۔
24,نتیجہ,کسی عمل یا واقعہ کا نتیجہ یا اثر۔,جنگلات کی کٹائی کے حیاتیاتی تنوع اور عالمی آب و ہوا کے نمونوں پر سنگین نتائج ہیں۔
25,غور کریں,فیصلہ کرنے سے پہلے کسی چیز کے بارے میں احتیاط سے سوچنا۔,پالیسی سازوں کو ریٹائرمنٹ کی عمر میں اضافے کے طویل مدتی مضمرات پر غور کرنا چاہیے۔
26,پر مشتمل,حصوں سے بنا یا بنا ہوا ہونا۔,متوازن غذا میں پروٹین، کاربوہائیڈریٹ، چکنائی، وٹامنز اور معدنیات شامل ہونی چاہئیں۔
27,استعمال,وسائل استعمال کرنے یا کچھ کھانے/پینے کے لیے۔,ترقی یافتہ قومیں فی کس ترقی پذیر ممالک کے مقابلے کہیں زیادہ قدرتی وسائل استعمال کرتی ہیں۔
28,شراکت,اجتماعی کوشش یا نتیجہ دینا یا شامل کرنا۔,رضاکارانہ خدمات ذاتی ترقی اور معاشرتی بہبود دونوں میں بہت زیادہ حصہ ڈال سکتی ہیں۔
29,کنٹرول,کسی چیز پر قابو پانا یا اختیار کرنا۔,فضائی آلودگی سے نمٹنے کے لیے صنعتی اخراج پر سخت حکومتی کنٹرول ضروری ہے۔
30,بنائیں,کسی چیز کو وجود میں لانا۔,قابل تجدید توانائی میں سرمایہ کاری پوری معیشت میں ہزاروں نئی ​​ملازمتیں پیدا کر سکتی ہے۔
31,ثقافت,معاشرے کے عقائد، رسم و رواج اور فنون۔,عالمگیریت نے پوری دنیا میں مقامی ثقافتوں کو تقویت بخشی ہے اور خطرہ بھی۔
32,ڈیٹا,تجزیے کے لیے جمع کیے گئے حقائق یا اعدادوشمار۔,صحت عامہ کی موثر پالیسیاں بنانے کے لیے قابل اعتماد ڈیٹا ضروری ہے۔
33,کمی,وقت کے ساتھ چھوٹا ہونا یا چھوٹا ہونا۔,حالیہ دہائیوں میں انسانی سرگرمیوں کی وجہ سے حیاتیاتی تنوع میں تیزی سے کمی واقع ہوئی ہے۔
34,وضاحت کریں,کسی چیز کے معنی یا نوعیت بیان کرنا۔,پالیسی کے حل پر بات کرنے سے پہلے 'پائیداری' کی اصطلاح کو واضح طور پر بیان کرنا ضروری ہے۔
35,مطالبہ,اچھی یا خدمت کی ضرورت یا خواہش۔,الیکٹرک گاڑیوں کی بڑھتی ہوئی مانگ بیٹری ٹیکنالوجی میں جدت پیدا کر رہی ہے۔
36,انحصار,حمایت کے لیے کسی پر یا کسی چیز پر بھروسہ کرنا۔,بہت سے ترقی پذیر ممالک بنیادی ڈھانچے کی ترقی کے لیے غیر ملکی امداد پر بہت زیادہ انحصار کرتے ہیں۔
37,بیان کریں,لفظوں میں کسی چیز کا حساب دینا۔,رپورٹ میں 1950 کے بعد سے عالمی اوسط درجہ حرارت میں نمایاں اضافہ بیان کیا گیا ہے۔
38,ترقی,بڑھنے، ترقی کرنے، یا کچھ نیا بنانے کے لیے۔,بڑھتی ہوئی آبادی کی ضروریات کو پورا کرنے کے لیے ممالک کو پائیدار زراعت کو فروغ دینا چاہیے۔
39,فرق,ایک ایسا طریقہ جس میں چیزیں ایک دوسرے کے برعکس ہیں۔,شہری اور دیہی آبادی کے درمیان آمدنی کی سطح میں نمایاں فرق ہے۔
40,تقسیم,کسی علاقے میں کسی چیز کو پھیلانا یا پہنچانا۔,حکومتوں کی ذمہ داری ہے کہ وہ عوامی وسائل کو شہریوں میں مساوی طور پر تقسیم کریں۔
41,متنوع,بہت سی مختلف اقسام یا اقسام سمیت۔,ایک متنوع افرادی قوت ایک تنظیم کے لیے وسیع تر تناظر اور نظریات لاتی ہے۔
42,اقتصادی,پیسے کی پیداوار اور استعمال سے متعلق۔,تیز رفتار اقتصادی ترقی نے ایشیا میں لاکھوں لوگوں کو غربت سے نکالا ہے۔
43,تعلیم,منظم ہدایات حاصل کرنے کا عمل۔,معیاری تعلیم تک رسائی کو وسیع پیمانے پر ایک بنیادی انسانی حق سمجھا جاتا ہے۔
44,اثر,کسی وجہ سے پیدا ہونے والی تبدیلی یا نتیجہ۔,علمی فعل پر نیند کی کمی کے طویل مدتی اثرات کو اچھی طرح سے دستاویز کیا گیا ہے۔
45,ابھرنا,وجود میں آنا یا مشہور ہونا۔,توانائی کے عالمی بحران کے حل کے طور پر نئی ٹیکنالوجیز ابھر رہی ہیں۔
46,ملازمت,ادائیگی کے لیے کسی کو ملازمت پر رکھنا۔,مینوفیکچرنگ سیکٹر قومی افرادی قوت کے ایک بڑے حصے کو ملازمت فراہم کرتا ہے۔
47,توانائی,قدرتی یا تبدیل شدہ وسائل سے حاصل کردہ طاقت۔,گرین ہاؤس گیسوں کے اخراج کو کم کرنے کے لیے قابل تجدید توانائی کے ذرائع کی طرف منتقلی بہت ضروری ہے۔
48,ماحول,قدرتی دنیا یا کسی جاندار کا ماحول۔,قدرتی ماحول کا تحفظ حکومتوں اور افراد دونوں کی ترجیح ہونی چاہیے۔
49,قائم کریں,کسی چیز کو مضبوط بنیادوں پر مرتب کرنا یا بنانا۔,حکومت نے مالیاتی شعبے کی نگرانی کے لیے ایک نیا ریگولیٹری ادارہ قائم کیا۔
50,تشخیص,کسی چیز کی قدر یا معیار کا اندازہ لگانا۔,معلومات کے ذرائع کا حوالہ دینے سے پہلے ان کا تنقیدی جائزہ لینا ضروری ہے۔
51,ثبوت,کسی نتیجے پر پہنچنے والے حقائق یا معلومات۔,تمباکو نوشی کو متعدد سنگین بیماریوں سے جوڑنے کے مضبوط تجرباتی ثبوت موجود ہیں۔
52,جانچ پڑتال,کسی چیز کی بغور تفتیش یا معائنہ کرنا۔,یہ مضمون معاشی عدم مساوات اور جرائم کی شرح کے درمیان تعلق کا جائزہ لے گا۔
53,پھیلاؤ,سائز، تعداد، یا دائرہ کار میں اضافہ کرنا۔,بہت سی کارپوریشنیں ایشیا میں ابھرتی ہوئی مارکیٹوں میں اپنے کام کو وسعت دینے کی کوشش کرتی ہیں۔
54,توقع,یقین کرنا کہ مستقبل میں کچھ ہو گا۔,یہ وسیع پیمانے پر توقع کی جاتی ہے کہ آٹومیشن دہائیوں کے اندر روزگار کے منظر نامے کو بدل دے گی۔
55,تجربہ,پریکٹس کے ذریعے حاصل کردہ علم یا ہنر۔,کام کے تجربے کی جگہیں طلباء کو مستقبل میں ملازمت کے لیے عملی مہارتوں کو فروغ دینے میں مدد کرتی ہیں۔
56,وضاحت کریں,اس کو بیان کرکے کچھ واضح کرنا۔,پیچیدہ نظریات کو واضح طور پر بیان کرنے کی پروفیسر کی قابلیت نے اسے انتہائی قابل احترام بنا دیا۔
57,عنصر,ایک عنصر جو نتیجہ میں حصہ ڈالتا ہے۔,خوراک اور ورزش کسی فرد کی طویل مدتی صحت کے نتائج کا تعین کرنے کے اہم عوامل ہیں۔
58,خصوصیت,کسی چیز کی ایک مخصوص خصوصیت یا وصف۔,کامیاب شہری منصوبہ بندی کی ایک اہم خصوصیت قابل رسائی سبز جگہوں کی فراہمی ہے۔
59,توجہ مرکوز,کسی چیز پر توجہ مرکوز کرنا یا کوشش کرنا۔,حکومتی پالیسی کو کم آمدنی والے خاندانوں کے لیے سستی رہائش فراہم کرنے پر توجہ دینی چاہیے۔
60,فنکشن,مقصد یا کردار کسی چیز کو پورا کرنے کے لئے ڈیزائن کیا گیا ہے۔,مدافعتی نظام کا بنیادی کام جسم کو بیماری سے بچانا ہے۔
61,پیدا کرنا,کسی چیز کو پیدا کرنا یا تخلیق کرنا۔,سولر پینل پورے گھر کو بجلی فراہم کرنے کے لیے کافی بجلی پیدا کر سکتے ہیں۔
62,عالمی,پوری دنیا سے متعلق یا اس کا احاطہ کرنا۔,موسمیاتی تبدیلی کے چیلنجوں سے موثر انداز میں نمٹنے کے لیے عالمی تعاون ضروری ہے۔
63,حکومت کرنا,کسی ملک یا تنظیم کو کنٹرول کرنے یا اسے ہدایت کرنے کے لیے۔,جمہوری ممالک کو اس طریقے سے حکومت کرنا چاہیے جو عوام کی مرضی کی عکاسی کرے۔
64,ترقی,سائز یا قدر میں اضافے کا عمل۔,بے روزگاری کو کم کرنے اور معیار زندگی کو بہتر بنانے کے لیے پائیدار اقتصادی ترقی ضروری ہے۔
65,نقصان,کسی چیز کی وجہ سے جسمانی یا نفسیاتی نقصان۔,سوشل میڈیا کا زیادہ استعمال کمزور نوجوانوں کو نفسیاتی نقصان پہنچا سکتا ہے۔
66,صحت,بیماری یا چوٹ سے آزاد ہونے کی حالت۔,بیماریوں کے پھیلاؤ کو روکنے کے لیے حکومتوں کو صحت عامہ کے بنیادی ڈھانچے میں سرمایہ کاری کرنی چاہیے۔
67,اثر,کسی چیز پر مضبوط اثر یا اثر۔,شہری کاری کا مقامی ماحولیاتی نظام اور آبی وسائل پر نمایاں اثر پڑتا ہے۔
68,نافذ کرنا,کسی منصوبے یا فیصلے کو عمل میں لانا۔,حکومت صنعتی کاربن کے اخراج کو کم کرنے کے لیے نئے ضوابط نافذ کرنے کا ارادہ رکھتی ہے۔
69,بہتر کریں,کوالٹی میں بہتر بنانا یا بننا۔,تعلیم میں سرمایہ کاری طویل مدتی معاشی نتائج کو بہتر بنانے کا سب سے مؤثر طریقہ ہے۔
70,اضافہ,مقدار میں کچھ زیادہ بننا یا بنانا۔,عالمی سطح پر فروخت ہونے والی الیکٹرک گاڑیوں کی تعداد میں ڈرامائی اضافہ ہوا ہے۔
71,اشارہ کریں,ممکنہ طور پر کسی چیز کو ظاہر کرنا یا اس کی طرف اشارہ کرنا۔,حالیہ مطالعات سے پتہ چلتا ہے کہ باقاعدہ جسمانی سرگرمی دائمی بیماری کے خطرے کو کم کرتی ہے۔
72,انفرادی,ایک فرد، ایک گروہ سے الگ۔,انفرادی حقوق کا تحفظ کسی بھی جمہوری معاشرے کی بنیاد ہے۔
73,اثر و رسوخ,لوگوں یا چیزوں پر اثر ڈالنے کی طاقت۔,سوشل میڈیا نوجوانوں کی سیاسی آراء پر گہرا اثر ڈالتا ہے۔
74,بنیادی ڈھانچہ,بنیادی جسمانی نظام جو کمیونٹی کو سپورٹ کرتے ہیں۔,ٹرانسپورٹ کے بنیادی ڈھانچے میں سرمایہ کاری علاقائی اقتصادی ترقی کی تحریک کے لیے بہت ضروری ہے۔
75,پہل,ایک نیا منصوبہ یا عمل جس کا مقصد کسی مسئلے کو حل کرنا ہے۔,حکومت نے نوجوانوں کو STEM کیرئیر بنانے کی ترغیب دینے کے لیے ایک نئی پہل شروع کی۔
76,ادارہ,ایک سماجی مقصد کے ساتھ قائم کردہ تنظیم۔,منصفانہ اور منصفانہ معاشرے کو یقینی بنانے کے لیے جمہوری اداروں کو خود مختار رہنا چاہیے۔
77,شامل,کسی چیز کو بطور حصہ شامل کرنا یا اس کی ضرورت کرنا۔,موثر شہری منصوبہ بندی کو فیصلہ سازی کے عمل میں مکینوں کو فعال طور پر شامل کرنا چاہیے۔
78,مسئلہ,بحث کے لیے ایک اہم موضوع یا مسئلہ۔,موسمیاتی تبدیلی آج عالمی برادری کو درپیش سب سے اہم مسائل میں سے ایک ہے۔
79,جواز پیش کرنا,کسی چیز کو دکھانا یا ثابت کرنا صحیح یا معقول ہے۔,حکومتوں کو اپنے شہریوں کے لیے دفاعی اخراجات میں اضافے کا جواز پیش کرنے کے قابل ہونا چاہیے۔
80,کمی,کسی چیز کی ضرورت کی کمی یا کمی۔,صاف پانی تک رسائی کی کمی ترقی پذیر ممالک میں ایک بڑا چیلنج بنی ہوئی ہے۔
81,حد,ایک نقطہ جس سے آگے کچھ نہیں جا سکتا۔,اقوام کو کاربن ڈائی آکسائیڈ کے اخراج پر قانونی طور پر پابند کرنے والی حدود سے اتفاق کرنا چاہیے۔
82,برقرار رکھنا,کسی چیز کو اس کی موجودہ حالت یا حالت میں رکھنا۔,بہت زیادہ شہری علاقوں میں حیاتیاتی تنوع کو برقرار رکھنا مشکل ہوتا جا رہا ہے۔
83,اہم,بڑی اہمیت یا سنجیدگی کا۔,فضائی آلودگی دنیا کے بہت سے بڑے شہروں میں صحت عامہ کا ایک بڑا مسئلہ ہے۔
84,انتظام,کسی چیز کا انچارج یا کنٹرول کرنا۔,پائیدار ترقی کے لیے حکومتوں کو قدرتی وسائل کا احتیاط سے انتظام کرنے کی ضرورت ہے۔
85,پیمائش,ایک مقصد حاصل کرنے کے لیے کی گئی کارروائی؛ مقدار درست کرنے کے لیے,نوجوانوں کی بے روزگاری کے بڑھتے ہوئے مسئلے سے نمٹنے کے لیے حکومتوں کو فیصلہ کن اقدامات کرنے چاہئیں۔
86,طریقہ,منظم طریقے سے کچھ کرنے کا ایک خاص طریقہ۔,سائنسدانوں کو اپنے نتائج کی درستگی کو یقینی بنانے کے لیے سخت تحقیقی طریقے اپنانے چاہئیں۔
87,ہجرت,ایک علاقے یا ملک سے دوسرے علاقے میں جانا۔,بہت سے دیہی کارکن روزگار کے بہتر مواقع کی تلاش میں شہروں کی طرف ہجرت کرتے ہیں۔
88,جدید,موجودہ وقت سے متعلق؛ ہم عصر,جدید ٹیکنالوجی نے بنیادی طور پر لوگوں کے رابطے اور معلومات تک رسائی کے طریقے کو تبدیل کر دیا ہے۔
89,مانیٹر,وقت کے ساتھ کسی چیز کا مشاہدہ اور جانچ کرنا۔,صحت کے حکام کو گنجان آباد شہری علاقوں میں ہوا کے معیار کی مسلسل نگرانی کرنی چاہیے۔
90,قومی,پوری قوم سے متعلق یا مخصوص۔,حکومت نے ملک بھر میں تعلیم کو معیاری بنانے کے لیے قومی نصاب متعارف کرایا۔
91,قدرتی,فطرت میں موجود یا تیار کردہ۔,قدرتی وسائل کا زیادہ استعمال ماحولیاتی استحکام کے لیے سنگین خطرہ ہے۔
92,ضروری,مطلوبہ یا بالکل ضروری۔,اقتصادی ترقی کو سہارا دینے کے لیے حکومتوں کے لیے بنیادی ڈھانچے میں سرمایہ کاری کرنا ضروری ہے۔
93,منفی,فطرت یا اثر میں نقصان دہ یا ناموافق۔,آن لائن غنڈہ گردی کی طویل نمائش دماغی صحت پر سنگین منفی اثرات مرتب کرسکتی ہے۔
94,حاصل کریں,کوشش کے ذریعے کچھ حاصل کرنا یا حاصل کرنا۔,طلباء کو یونیورسٹی کے اسکالرشپ پروگراموں کے لیے اہل ہونے کے لیے کم از کم گریڈ حاصل کرنا چاہیے۔
95,پائے جاتے ہیں,ہونا یا ہونا۔,موسمیاتی تبدیلیوں کی وجہ سے قدرتی آفات زیادہ کثرت سے آنے کی پیش گوئی کی جاتی ہے۔
96,موقع,ایک سازگار صورتحال جو ترقی کی اجازت دیتی ہے۔,معیاری تعلیم تک رسائی نوجوانوں کو زیادہ معاشی مواقع فراہم کرتی ہے۔
97,نتیجہ,کسی عمل کا نتیجہ یا نتیجہ۔,ابتدائی مداخلت کے پروگرام بچوں کے لیے بہتر تعلیمی نتائج پیدا کرتے ہیں۔
98,حصہ لینا,کسی سرگرمی یا تقریب میں حصہ لینا۔,شہریوں کی حوصلہ افزائی کی جانی چاہیے کہ وہ مقامی حکومت کے فیصلے سازی میں بڑھ چڑھ کر حصہ لیں۔
99,پالیسی,ایک اتھارٹی کے ذریعہ اپنایا گیا ایک منصوبہ یا عمل کا طریقہ۔,ملک کے کاربن فوٹ پرنٹ کو کم کرنے کے لیے موثر توانائی کی پالیسی ضروری ہے۔
100,آلودہ,ماحول کو نقصان دہ مادوں سے آلودہ کرنا۔,صنعتی سرگرمیاں دریاؤں کو آلودہ کر رہی ہیں اور عالمی سطح پر آبی ماحولیاتی نظام کو نقصان پہنچا رہی ہیں۔
101,آبادی,ایک خاص جگہ کے تمام باشندے۔,عمر رسیدہ آبادی پنشن اور صحت کی دیکھ بھال کے نظام کے لیے اہم چیلنجز پیش کرتی ہے۔
102,مثبت,فائدہ مند یا اچھا اثر ہونا۔,زندگی بھر سیکھنے کی طرف مثبت رویہ کیریئر کے امکانات کو نمایاں طور پر بہتر بنا سکتا ہے۔
103,ممکنہ,کسی چیز کو تیار کرنے یا حاصل کرنے کی صلاحیت کا ہونا۔,مصنوعی ذہانت صحت کی دیکھ بھال کی تشخیص اور علاج کو تبدیل کرنے کی صلاحیت رکھتی ہے۔
104,روکنا,کسی چیز کو ہونے سے روکنے کے لیے۔,ویکسینیشن پروگرام بیماری کے پھیلاؤ کو روکنے کے لیے سب سے مؤثر طریقوں میں سے ایک ہیں۔
105,بنیادی,ترجیح کے لحاظ سے سب سے اہم یا پہلا۔,صحت کے کسی بھی نظام کا بنیادی مقصد فلاح و بہبود کی حفاظت اور فروغ ہونا چاہیے۔
106,عمل,ایک نتیجہ حاصل کرنے کے لیے اقدامات کا ایک سلسلہ۔,جمہوری عمل شہریوں کو غیر جانبدارانہ، درست معلومات تک رسائی پر انحصار کرتا ہے۔
107,پیداوار,کسی چیز کو بنانا یا بنانا۔,وہ کارخانے جو اعلیٰ سطح کا اخراج پیدا کرتے ہیں ان کو سخت ضوابط کے تابع ہونا چاہیے۔
108,فروغ دینا,کسی چیز کی ترقی کی حمایت یا حوصلہ افزائی کرنا۔,صحت مند کھانے کی عادات کو فروغ دینے والی مہمات بچپن میں موٹاپے کی شرح کو کم کرنے میں مدد کر سکتی ہیں۔
109,تجویز,کوئی منصوبہ یا تجویز پیش کرنا۔,کئی ماہرین اقتصادیات نے اخراج کو کم کرنے کے حل کے طور پر کاربن ٹیکس کی تجویز پیش کی ہے۔
110,حفاظت,نقصان یا نقصان سے محفوظ رکھنے کے لیے۔,حکومتوں کا فرض ہے کہ وہ شہریوں کو ماحولیاتی آلودگی کے اثرات سے بچائیں۔
111,فراہم کریں,کسی کو کچھ مہیا کرنا۔,ریاست کو بغیر کسی امتیاز کے تمام شہریوں کو صحت کی بنیادی سہولیات فراہم کرنی چاہئیں۔
112,مقصد,وجہ جس کی وجہ سے کچھ موجود ہے یا کیا گیا ہے۔,اعلیٰ تعلیم کا بنیادی مقصد طلبہ کو تنقیدی سوچ کی صلاحیتوں سے آراستہ کرنا ہے۔
113,اٹھانا,کسی معاملے کو بڑھانا یا توجہ دلانا۔,بین الاقوامی تنظیمیں موسمیاتی تبدیلی کے اثرات کے بارے میں شعور اجاگر کرنے کا سلسلہ جاری رکھے ہوئے ہیں۔
114,کم,کسی چیز کو کم یا کم مقدار میں بنانا۔,حکومت کا مقصد اگلے بیس سالوں میں کاربن کے اخراج کو 50 فیصد تک کم کرنا ہے۔
115,عکاسی,کسی چیز کے بارے میں گہرائی سے سوچنا یا ظاہر کرنا۔,حکومتی پالیسیوں کو وسیع تر آبادی کی ضروریات اور اقدار کی درست عکاسی کرنی چاہیے۔
116,علاقہ,الگ الگ خصوصیات کے ساتھ ایک بڑا علاقہ۔,اقتصادی ترقی ملک کے ساحلی اور اندرونی علاقوں کے درمیان وسیع پیمانے پر مختلف ہوتی ہے۔
117,ریگولیٹ,قواعد کے ذریعہ کسی چیز کو کنٹرول کرنا۔,حکومتوں کو نوجوان صارفین کے تحفظ کے لیے سوشل میڈیا پلیٹ فارمز کے استعمال کو منظم کرنا چاہیے۔
118,تعلق,کسی چیز سے تعلق یا ربط رکھنا۔,عدم مساوات کی اعلیٰ سطح کا جرائم کی بڑھتی ہوئی شرحوں اور سماجی بدامنی سے گہرا تعلق ہے۔
119,رہائی,کسی چیز کو آزاد یا خارج ہونے کی اجازت دینا۔,صنعتی عمل فضا میں بڑی مقدار میں آلودگی پھیلاتے رہتے ہیں۔
120,بھروسہ,کسی پر یا کسی چیز پر انحصار کرنا۔,بہت سے ترقی پذیر ممالک اب بھی اپنی توانائی کی ضروریات کے لیے جیواشم ایندھن پر بہت زیادہ انحصار کرتے ہیں۔
121,نمائندگی,کسی چیز کی طرف سے کھڑے ہونا یا کام کرنا۔,منتخب عہدیداروں کا فرض ہے کہ وہ اپنے حلقوں کے مفادات کی منصفانہ نمائندگی کریں۔
122,ضرورت ہے,ضروری یا واجب کے طور پر کسی چیز کی ضرورت۔,موسمیاتی تبدیلیوں سے نمٹنے کے لیے فوری بین الاقوامی تعاون اور سیاسی عزم کی ضرورت ہے۔
123,تحقیق,نئے حقائق قائم کرنے کے لیے منظم تحقیقات۔,ابھرتی ہوئی متعدی بیماریوں سے نمٹنے کے لیے طبی تحقیق میں اہم سرمایہ کاری کی ضرورت ہے۔
124,وسائل,ایک سپلائی جسے کسی مقصد کے لیے استعمال کیا جا سکتا ہے۔,طویل مدتی پائیداری کو یقینی بنانے کے لیے قوموں کو اپنے قدرتی وسائل کا ذمہ داری کے ساتھ انتظام کرنا چاہیے۔
125,جواب دیں,کسی چیز پر ردعمل یا جواب دینا۔,حکومتوں کو قدرتی آفات کا فوری جواب دینا چاہیے تاکہ ہلاکتوں اور مصائب کو کم کیا جا سکے۔
126,نتیجہ,کوئی ایسی چیز جو کسی عمل کے نتیجے میں آتی ہے۔,ناقص غذا اور بیہودہ طرز زندگی کے نتیجے میں اکثر طویل مدتی صحت کے سنگین مسائل پیدا ہوتے ہیں۔
127,برقرار رکھنا,کسی چیز کو رکھنا یا تھامنا جاری رکھنا۔,کمپنیوں کو مسابقتی بازاروں میں باصلاحیت ملازمین کو برقرار رکھنے کے لیے بہتر حکمت عملی تیار کرنی چاہیے۔
128,ظاہر کرنا,پہلے سے چھپی ہوئی چیز کو ظاہر کرنا۔,حالیہ تحقیق آمدنی میں عدم مساوات اور صحت کے خراب نتائج کے درمیان مضبوط تعلق کو ظاہر کرتی ہے۔
129,کردار,فنکشن یا پوزیشن کسی کے پاس یا کچھ اور ہے۔,تعلیم سماجی عدم مساوات کو کم کرنے اور سماجی نقل و حرکت کو فروغ دینے میں اہم کردار ادا کرتی ہے۔
130,دیہی,شہروں کے بجائے دیہی علاقوں سے متعلق۔,دیہی برادریوں میں اکثر شہری آبادی کے برابر تعلیمی وسائل تک رسائی نہیں ہوتی۔
131,سیکٹر,معیشت یا معاشرے کا ایک الگ حصہ۔,پبلک سیکٹر شہریوں کو ضروری خدمات کی فراہمی میں اہم کردار ادا کرتا ہے۔
132,اہم,اثر کرنے کے لیے اہم یا کافی بڑا۔,حالیہ دہائیوں میں جرائم کی شرح میں شماریاتی طور پر نمایاں کمی آئی ہے۔
133,معاشرہ,ایک ساتھ رہنے والے لوگوں کی جماعت۔,منصفانہ اور انصاف پسند معاشرے کو اپنے تمام شہریوں کے لیے یکساں مواقع کو یقینی بنانا چاہیے۔
134,حل,کسی مسئلے کو حل کرنے کا طریقہ۔,عالمی ماحولیاتی تبدیلیوں کے طویل مدتی حل تلاش کرنے کے لیے بین الاقوامی تعاون ضروری ہے۔
135,ذریعہ,کسی چیز کی اصل یا فراہمی۔,محققین کو علمی کام میں ثبوت پیش کرتے وقت قابل اعتماد ذرائع کا حوالہ دینا چاہیے۔
136,معیاری,معیار یا کامیابی کی ایک سطح متوقع ہے۔,قومی معاشی مسابقت کو بہتر بنانے کے لیے تعلیمی معیار کو بلند کرنا ضروری سمجھا جاتا ہے۔
137,حکمت عملی,ایک طویل مدتی مقصد حاصل کرنے کے لیے ڈیزائن کیا گیا منصوبہ۔,حکومت نے موٹاپے کی بڑھتی ہوئی سطح سے نمٹنے کے لیے ایک نئی قومی حکمت عملی کی نقاب کشائی کی۔
