id,front,back,example
30,yaratmak,Bir şeyi varlığa getirmek.,"Yenilenebilir enerjiye yapılan yatırım, ekonominin genelinde binlerce yeni iş imkanı yaratabilir."
31,kültür,"Bir toplumun inançları, gelenekleri ve sanatları.","Küreselleşme, dünyanın dört bir yanındaki yerel kültürleri hem zenginleştirmiş hem de tehdit etmiştir."
32,veri,Analiz için toplanan gerçekler veya istatistikler.,Etkin halk sağlığı politikaları geliştirmek için güvenilir verilere ihtiyaç vardır.
33,reddetmek,Zamanla azalmak veya küçülmek.,Son on yıllarda insan faaliyetleri nedeniyle biyolojik çeşitlilikte ciddi bir düşüş yaşandı.
34,tanımlamak,Bir şeyin anlamını veya niteliğini belirtmek.,Politika çözümlerini tartışmadan önce 'sürdürülebilirlik' terimini net bir şekilde tanımlamak önemlidir.
35,talep etmek,Bir mal veya hizmete duyulan ihtiyaç veya arzu.,"Elektrikli araçlara olan artan talep, batarya teknolojisinde yenilikleri tetikliyor."
36,bağlı olmak,Birinden veya bir şeyden destek almak.,"Birçok gelişmekte olan ülke, temel altyapı geliştirme konusunda büyük ölçüde dış yardıma bağımlıdır."
37,betimlemek,Bir şeyi kelimelerle anlatmak.,"Raporda, 1950'den bu yana küresel ortalama sıcaklıklarda önemli bir artış olduğu belirtiliyor."
38,geliştirmek,"Büyümek, gelişmek veya yeni bir şey yaratmak.","Ülkeler, artan nüfusun ihtiyaçlarını karşılamak için sürdürülebilir tarım geliştirmelidir."
39,fark,Şeylerin birbirlerinden farklı olma biçimi.,Kent ve kırsal kesim nüfusları arasında gelir düzeylerinde önemli bir fark bulunmaktadır.
40,dağıtmak,Bir şeyi bir alana yaymak veya dağıtmak.,Hükümetlerin kamu kaynaklarını vatandaşlar arasında adil bir şekilde dağıtma sorumluluğu vardır.
41,türlü,Pek çok farklı tür veya çeşidi içerir.,"Çeşitli bir iş gücü, bir kuruluşa daha geniş bir bakış açısı ve fikir yelpazesi getirir."
42,ekonomik,Paranın üretimi ve kullanımıyla ilgili.,Asya'da hızlı ekonomik kalkınma milyonlarca insanı yoksulluktan kurtardı.
43,eğitim,Sistematik eğitim alma süreci.,"Kaliteli eğitime erişim, yaygın olarak temel bir insan hakkı olarak kabul edilmektedir."
44,etki,Bir nedenin sonucu olarak ortaya çıkan değişim veya sonuç.,Uyku yoksunluğunun bilişsel işlev üzerindeki uzun vadeli etkileri iyi bir şekilde belgelenmiştir.
45,meydana gelmek,Varoluşa gelmek veya bilinir hale gelmek.,Küresel enerji krizine çözüm olarak yeni teknolojiler ortaya çıkmaya devam ediyor.
46,işe almak,Birini ücret karşılığında çalıştırmak.,"İmalat sektörü, ulusal iş gücünün büyük bir bölümünü istihdam etmeye devam ediyor."
47,enerji,Doğal veya işlenmiş kaynaklardan elde edilen enerji.,Sera gazı emisyonlarını azaltmak için yenilenebilir enerji kaynaklarına geçiş çok önemlidir.
48,çevre,Bir organizmanın doğal dünyası veya çevresi.,Doğal çevrenin korunması hem hükümetler hem de bireyler için öncelik olmalıdır.
49,kurmak,Bir şeyi sağlam bir temele oturtmak veya oluşturmak.,"Hükümet, finans sektörünü denetlemek üzere yeni bir düzenleyici kurum kurdu."
50,değerlendirmek,Bir şeyin değerini veya kalitesini değerlendirmek.,Alıntı yapmadan önce bilgi kaynaklarını eleştirel bir şekilde değerlendirmek şarttır.
51,kanıt,Bir sonuca ulaşmayı destekleyen olgular veya bilgiler.,Sigara içmenin çeşitli ciddi hastalıklarla bağlantılı olduğuna dair güçlü ampirik kanıtlar mevcuttur.
52,incelemek,Bir şeyi dikkatlice incelemek veya araştırmak.,"Bu makale, ekonomik eşitsizlik ile suç oranları arasındaki ilişkiyi inceleyecektir."
53,genişletmek,"Boyut, sayı veya kapsam bakımından artmak.",Birçok şirket Asya'daki gelişmekte olan pazarlara faaliyetlerini genişletmeyi hedefliyor.
54,beklemek,Bir şeyin gelecekte gerçekleşeceğine inanmak.,Otomasyonun önümüzdeki on yıllar içinde istihdam alanını tamamen değiştireceği yaygın olarak bekleniyor.
55,deneyim,Pratik yoluyla kazanılan bilgi veya beceri.,"İş deneyimi stajları, öğrencilerin gelecekteki istihdam için pratik beceriler geliştirmelerine yardımcı olur."
56,açıklamak,Bir şeyi tarif ederek açıklığa kavuşturmak.,"Profesörün karmaşık teorileri açık ve anlaşılır bir şekilde açıklama yeteneği, onu son derece saygın kıldı."
57,faktör,Bir sonuca katkıda bulunan unsur.,"Beslenme ve egzersiz, bireyin uzun vadeli sağlık sonuçlarını belirlemede kilit faktörlerdir."
58,özellik,Bir şeyin ayırt edici özelliği veya niteliği.,"Başarılı şehir planlamasının temel özelliklerinden biri, erişilebilir yeşil alanların sağlanmasıdır."
59,odak,Dikkati veya çabayı bir şeye yoğunlaştırmak.,"Hükümet politikası, düşük gelirli aileler için uygun fiyatlı konut sağlamaya odaklanmalıdır."
60,işlev,Bir şeyin tasarlanma amacı veya yerine getirmesi gereken rol.,Bağışıklık sisteminin temel işlevi vücudu hastalıklardan korumaktır.
61,üretmek,Bir şey üretmek veya yaratmak.,"Güneş panelleri, bir evin tüm elektrik ihtiyacını karşılayacak kadar elektrik üretebilir."
62,küresel,Tüm dünyayı ilgilendiren veya tüm dünyayı kapsayan.,İklim değişikliğinin zorluklarıyla etkili bir şekilde başa çıkmak için küresel iş birliği şarttır.
63,yönet,Bir ülkeyi veya kuruluşu kontrol etmek veya yönetmek.,"Demokratik ülkeler, halkın iradesini yansıtacak şekilde yönetilmelidir."
64,büyüme,Boyut veya değer bakımından artma süreci.,"Sürdürülebilir ekonomik büyüme, işsizliği azaltmak ve yaşam standartlarını iyileştirmek için gereklidir."
65,zarar,Bir şeye verilen fiziksel veya psikolojik zarar.,"Sosyal medyanın aşırı kullanımı, savunmasız gençlerde psikolojik zarara yol açabilir."
66,sağlık,Hastalık veya yaralanmadan uzak olma hali.,"Hükümetler, hastalıkların yayılmasını önlemek için kamu sağlığı altyapısına yatırım yapmalıdır."
67,darbe,Bir şey üzerinde güçlü bir etki veya nüfuz.,"Kentleşme, yerel ekosistemler ve su kaynakları üzerinde önemli bir etkiye sahiptir."
68,uygulamak,Bir planı veya kararı uygulamaya koymak.,"Hükümet, sanayi kaynaklı karbon emisyonlarını azaltmak için yeni düzenlemeler uygulamayı planlıyor."
69,geliştirmek,Kaliteyi artırmak veya iyileştirmek.,"Eğitime yapılan yatırım, uzun vadeli ekonomik sonuçları iyileştirmenin en etkili yoludur."
70,arttırmak,Bir şeyin miktarını artırmak veya çoğaltmak.,Dünya genelinde satılan elektrikli araç sayısında çarpıcı bir artış yaşandı.
71,belirtmek,Bir şeyin muhtemel olduğunu göstermek veya işaret etmek.,Son araştırmalar düzenli fiziksel aktivitenin kronik hastalık riskini azalttığını göstermektedir.
72,bireysel,"Bir gruptan ayrı, tek bir kişi.","Bireysel hakların korunması, her demokratik toplumun temel taşlarından biridir."
73,etkilemek,İnsanları veya şeyleri etkileme gücü.,"Sosyal medya, gençlerin siyasi görüşleri üzerinde derin bir etkiye sahiptir."
74,altyapı,Bir topluluğu destekleyen temel fiziksel sistemler.,"Ulaşım altyapısına yatırım yapmak, bölgesel ekonomik kalkınmayı teşvik etmek için hayati önem taşımaktadır."
75,girişim,Bir sorunu çözmeyi amaçlayan yeni bir plan veya eylem.,"Hükümet, gençleri STEM alanlarında kariyer yapmaya teşvik etmek için yeni bir girişim başlattı."
76,kurum,Toplumsal amacı olan köklü bir kuruluş.,Adil ve hakkaniyetli bir toplumun sağlanması için demokratik kurumlar bağımsız kalmalıdır.
77,içermek,Bir şeyi parça olarak dahil etmek veya gerektirmek.,"Etkin bir şehir planlaması, sakinleri karar alma sürecine aktif olarak dahil etmelidir."
78,sorun,Tartışılması gereken önemli bir konu veya sorun.,"İklim değişikliği, günümüzde uluslararası toplumun karşı karşıya olduğu en acil sorunlardan biridir."
79,savunmak,Bir şeyin doğru veya mantıklı olduğunu göstermek veya kanıtlamak.,"Hükümetler, savunma harcamalarındaki artışı vatandaşlarına gerekçelendirebilmelidir."
80,eksiklik,İhtiyaç duyulan bir şeyin yokluğu veya eksikliği.,"Temiz suya erişim eksikliği, gelişmekte olan ülkelerde hâlâ büyük bir sorun olmaya devam ediyor."
81,limit,Bir şeyin artık daha ileri gidemeyeceği nokta.,"Ülkeler, karbondioksit emisyonlarına ilişkin yasal olarak bağlayıcı sınırlar konusunda anlaşmaya varmalıdır."
82,sürdürmek,Bir şeyi mevcut durumunda veya koşulunda tutmak.,Yoğun kentleşmenin yaşandığı bölgelerde biyolojik çeşitliliği korumak giderek zorlaşıyor.
83,ana,Büyük önem taşıyan veya ciddi nitelikte olan.,"Hava kirliliği, dünyanın en büyük şehirlerinin çoğunda önemli bir halk sağlığı sorunudur."
84,üstesinden gelmek,Bir şeyin sorumluluğunu üstlenmek veya onu kontrol etmek.,"Sürdürülebilir kalkınma, hükümetlerin doğal kaynakları dikkatli bir şekilde yönetmesini gerektirir."
85,ölçüm,Bir amaca ulaşmak için yapılan eylem; ölçmek.,"Hükümetler, giderek büyüyen genç işsizliği sorununa çözüm bulmak için kararlı önlemler almalıdır."
86,yöntem,Bir şeyi sistematik bir şekilde yapmanın belirli bir yolu.,"Bilim insanları, bulgularının geçerliliğini sağlamak için titiz araştırma yöntemleri benimsemelidir."
87,göç etmek,Bir bölgeden veya ülkeden diğerine taşınmak.,"Kırsal kesimde çalışan birçok işçi, daha iyi iş fırsatları arayışıyla şehirlere göç ediyor."
88,modern,Günümüzle ilgili; çağdaş.,"Modern teknoloji, insanların iletişim kurma ve bilgiye erişme biçimini temelden değiştirdi."
89,monitör,Bir şeyi zaman içinde gözlemlemek ve kontrol etmek.,"Sağlık yetkilileri, yoğun nüfuslu kentsel alanlarda hava kalitesini sürekli olarak izlemelidir."
90,ulusal,Bir ulusun tamamıyla ilgili veya o ulusun tipik özelliği olan.,"Hükümet, ülke genelinde eğitimi standartlaştırmak için ulusal bir müfredat uygulamaya koydu."
91,doğal,Doğada var olan veya doğa tarafından üretilen.,"Doğal kaynakların aşırı kullanımı, ekolojik sürdürülebilirlik için ciddi bir tehdit oluşturmaktadır."
92,gerekli,Gerekli veya kesinlikle ihtiyaç duyulan.,Ekonomik büyümeyi desteklemek için hükümetlerin altyapıya yatırım yapması gereklidir.
93,negatif,Doğası veya etkisi itibariyle zararlı veya olumsuz.,"Uzun süreli çevrimiçi zorbalığa maruz kalmak, ruh sağlığı üzerinde ciddi olumsuz etkilere yol açabilir."
94,elde etmek,Çaba sarf ederek bir şeyi elde etmek veya edinmek.,Öğrencilerin üniversite burs programlarına hak kazanabilmeleri için minimum bir not ortalaması elde etmeleri gerekmektedir.
95,meydana gelmek,Olmak ya da gerçekleşmek.,İklim değişikliği nedeniyle doğal afetlerin daha sık meydana gelmesi bekleniyor.
96,fırsat,İlerleme sağlayan elverişli bir durum.,"Kaliteli eğitime erişim, gençlere daha büyük ekonomik fırsatlar sunmaktadır."
97,sonuç,Bir eylemin sonucu veya neticesi.,"Erken müdahale programları, çocuklar için genellikle daha iyi eğitim sonuçları doğurur."
98,katılmak,Bir faaliyete veya etkinliğe katılmak.,Vatandaşların yerel yönetim karar alma süreçlerine aktif olarak katılmaları teşvik edilmelidir.
99,politika,Bir yetkili makam tarafından benimsenen plan veya eylem biçimi.,"Etkin enerji politikası, bir ülkenin karbon ayak izini azaltmak için şarttır."
100,kirletmek,Çevreyi zararlı maddelerle kirletmek.,Sanayi faaliyetleri dünya genelinde nehirleri kirletmeye ve su ekosistemlerine zarar vermeye devam ediyor.
101,nüfus,Belirli bir yerin tüm sakinleri.,"Yaşlanan nüfus, emeklilik ve sağlık sistemleri için önemli zorluklar yaratmaktadır."
102,pozitif,Faydalı veya iyi bir etkiye sahip olmak.,"Yaşam boyu öğrenmeye yönelik olumlu bir tutum, kariyer olanaklarını önemli ölçüde geliştirebilir."
103,potansiyel,Bir şeyi geliştirme veya başarma kapasitesine sahip olmak.,"Yapay zekâ, sağlık hizmetlerinde teşhis ve tedavi yöntemlerini dönüştürme potansiyeline sahip."
104,önlemek,Bir şeyin olmasını engellemek.,"Aşı programları, hastalıkların yayılmasını önlemenin en etkili yollarından biridir."
105,öncelik,En önemli veya öncelik sırasına göre ilk sırada yer alan.,"Herhangi bir sağlık sisteminin birincil amacı, refahı korumak ve geliştirmek olmalıdır."
106,işlem,Bir sonuca ulaşmak için izlenecek bir dizi adım.,"Demokratik süreç, vatandaşların tarafsız ve doğru bilgilere erişimine dayanır."
107,üretmek,Bir şey yapmak veya yaratmak.,Yüksek düzeyde emisyon üreten fabrikalar daha sıkı düzenlemelere tabi tutulmalıdır.
108,terfi,Bir şeyin gelişimini desteklemek veya teşvik etmek.,"Sağlıklı beslenme alışkanlıklarını teşvik eden kampanyalar, çocukluk çağı obezitesi oranlarının düşürülmesine yardımcı olabilir."
109,teklif etmek,Bir plan veya öneri sunmak.,"Birçok ekonomist, emisyonları azaltmak için karbon vergisini bir çözüm olarak önerdi."
110,korumak,Zarar veya hasardan korunmak için.,"Hükümetlerin, vatandaşları çevresel kirliliğin sonuçlarından koruma görevi vardır."
111,sağlamak,Bir şeyi birinin kullanımına sunmak.,"Devlet, ayrımcılık yapmaksızın tüm vatandaşlarına temel sağlık hizmetleri sunmak zorundadır."
112,amaç,Bir şeyin var olma veya yapılma nedeni.,Yükseköğretimin temel amacı öğrencilere eleştirel düşünme becerileri kazandırmaktır.
113,artırmak,Bir konuyu artırmak veya dikkat çekmek.,Uluslararası kuruluşlar iklim değişikliğinin etkileri konusunda farkındalığı artırmaya devam ediyor.
114,azaltmak,Bir şeyi küçültmek veya miktarını azaltmak.,"Hükümet, önümüzdeki yirmi yıl içinde karbon emisyonlarını %50 oranında azaltmayı hedefliyor."
115,yansıtmak,Bir şeyi göstermek veya bir şey hakkında derinlemesine düşünmek.,"Hükümet politikaları, geniş halk kitlelerinin ihtiyaçlarını ve değerlerini doğru bir şekilde yansıtmalıdır."
116,bölge,Kendine özgü özelliklere sahip geniş bir alan.,Ülkenin kıyı ve iç bölgeleri arasında ekonomik kalkınma büyük farklılıklar göstermektedir.
117,düzenlemek,Bir şeyi kurallar aracılığıyla kontrol etmek.,"Hükümetler, genç kullanıcıları korumak için sosyal medya platformlarının kullanımını düzenlemelidir."
118,ilgili olmak,Bir şeyle bağlantı kurmak veya ilişki içinde olmak.,"Yüksek düzeydeki eşitsizlik, artan suç oranları ve toplumsal huzursuzlukla yakından ilişkilidir."
119,serbest bırakmak,Bir şeyin serbest kalmasına veya boşalmasına izin vermek.,Sanayi süreçleri atmosfere büyük miktarlarda kirletici madde salmaya devam ediyor.
120,güvenmek,Birine veya bir şeye bağımlı olmak.,"Birçok gelişmekte olan ülke, enerji ihtiyaçları için hâlâ büyük ölçüde fosil yakıtlara bağımlıdır."
121,temsil etmek,Bir şeyi savunmak veya onun adına hareket etmek.,"Seçilmiş yetkililerin, seçmenlerinin çıkarlarını adil bir şekilde temsil etme görevi vardır."
122,gerekmek,"Bir şeye ihtiyaç duymak, onu olmazsa olmaz veya zorunlu kılmak.",İklim değişikliğiyle mücadele acil uluslararası iş birliği ve siyasi kararlılık gerektiriyor.
123,araştırma,Yeni gerçekleri ortaya çıkarmak için yapılan sistematik araştırma.,Yeni ortaya çıkan bulaşıcı hastalıklarla mücadele etmek için tıbbi araştırmalara önemli yatırımlar yapılması gerekmektedir.
124,kaynak,Bir amaç için kullanılabilen bir malzeme.,Ulusların uzun vadeli sürdürülebilirliği sağlamak için doğal kaynaklarını sorumlu bir şekilde yönetmeleri gerekir.
125,yanıtlamak,Bir şeye tepki vermek veya karşılık vermek.,"Hükümetler, can kayıplarını ve acıları en aza indirmek için doğal afetlere hızla müdahale etmelidir."
126,sonuç,Bir eylemin sonucu olarak ortaya çıkan şey.,Yetersiz beslenme ve hareketsiz yaşam tarzı genellikle uzun vadede ciddi sağlık sorunlarına yol açar.
127,sürdürmek,Bir şeyi tutmaya veya muhafaza etmeye devam etmek.,"Şirketler, rekabetçi piyasalarda yetenekli çalışanlarını elde tutmak için daha iyi stratejiler geliştirmelidir."
128,ortaya çıkarmak,Daha önce gizli kalmış bir şeyi açığa çıkarmak.,"Son araştırmalar, gelir eşitsizliği ile kötü sağlık sonuçları arasında güçlü bir ilişki olduğunu ortaya koymaktadır."
129,rol,Bir kişinin veya bir şeyin sahip olduğu işlev veya konum.,"Eğitim, sosyal eşitsizliği azaltmada ve sosyal hareketliliği artırmada çok önemli bir rol oynar."
130,kırsal,Şehirlerden ziyade kırsal kesimle ilgili.,Kırsal topluluklar genellikle kent nüfusunun sahip olduğu eğitim kaynaklarına erişimden yoksundur.
131,sektör,Ekonominin veya toplumun ayrı bir parçası.,"Kamu sektörü, vatandaşlara temel hizmetlerin sunulmasında hayati bir rol oynamaktadır."
132,önemli,Etki yaratacak kadar önemli veya büyük.,Son on yıllarda suç oranlarında istatistiksel olarak anlamlı bir azalma yaşanmıştır.
133,toplum,Birlikte yaşayan bir insan topluluğu.,"Adil ve hakkaniyetli bir toplum, tüm vatandaşlarına eşit fırsatlar sağlamalıdır."
134,çözüm,Bir sorunu çözme yöntemi.,Küresel iklim değişikliğine uzun vadeli çözümler bulmak için uluslararası işbirliği gereklidir.
135,kaynak,Bir şeyin kaynağı veya tedariği.,"Araştırmacılar, akademik çalışmalarında kanıt sunarken güvenilir kaynaklara atıfta bulunmalıdır."
136,standart,Beklenen kalite veya başarı düzeyi.,"Eğitim standartlarının yükseltilmesi, ulusal ekonomik rekabet gücünü artırmak için elzem olarak kabul edilmektedir."
137,strateji,Uzun vadeli bir hedefe ulaşmak için tasarlanmış bir plan.,"Hükümet, artan obezite oranlarıyla mücadele etmek için yeni bir ulusal strateji açıkladı."
138,yapı,Bir şeyin parçalarının düzenli bir şekilde sıralanması.,"Katı toplumsal yapılar, yukarı doğru hareketliliği engelleyebilir ve eşitsizliği sürdürebilir."
139,tavsiye etmek,Bir fikri veya olasılığı ortaya atmak.,"Araştırmalar, erken çocukluk eğitiminin bilişsel gelişim için kalıcı faydalar sağladığını göstermektedir."
140,Destek,Bir şeye yardım etmek veya bir şeyi savunmak.,Ekonomik durgunluk dönemlerinde küçük işletmelere yönelik devlet mali desteği hayati önem taşımaktadır.
141,güç vermek,Bir şeyi zaman içinde sürdürmek veya devam ettirmek.,Çevreyi tahrip etmeden ekonomik büyümeyi sürdürecek politikalar benimsemek hayati önem taşımaktadır.
142,sistem,Birbiriyle ilişkili unsurlardan oluşan düzenli bir küme.,Sağlıklı ve üretken bir nüfusun sürdürülmesi için iyi finanse edilmiş bir sağlık sistemi şarttır.
143,hedef,Belirli bir amaca yönelik hedef veya grup.,"Ülkeler, 2050 yılına kadar sera gazı emisyonlarını azaltmak için iddialı hedefler belirlemelidir."
144,teknoloji,Bilimsel bilginin pratik amaçlara uygulanması.,"Teknolojideki gelişmeler, dünyanın herhangi bir yerindeki bilgilere erişmeyi mümkün kılmıştır."
145,eğilimli olma,Bir şeye karşı genel bir eğilime sahip olmak.,"Daha zengin ülkeler, gelişmekte olan ülkelere göre kişi başına daha fazla karbon emisyonu üretme eğilimindedir."
146,teori,Olayları açıklamak için kullanılan bir fikirler sistemi.,"Darwin'in evrim teorisi, Dünya üzerindeki yaşam hakkındaki anlayışımızı temelden değiştirdi."
147,geleneksel,Köklü gelenek ve göreneklere dayanmaktadır.,"Küreselleşme, birçok toplumda geleneksel değerleri ve kültürel kimlikleri tehdit etmiştir."
148,dönüştürmek,Bir şeyin şeklini veya doğasını tamamen değiştirmek.,"Dijital teknoloji, insanların çalışma ve iletişim biçimlerini dönüştürme gücüne sahip."
149,trend,Bir şeyin genel olarak hangi yönde geliştiğini gösteren yön.,"Kentleşmeye yönelik küresel eğilim, önümüzdeki on yıllarda yavaşlama belirtisi göstermiyor."
150,kentsel,Bir şehirle ilgili veya bir şehrin özelliklerini taşıyan.,"Hızlı kentleşme, toplu taşıma altyapısı üzerinde muazzam bir baskı oluşturmuştur."
151,değer,Bir şeye atfedilen önem veya değer.,"Eşitlik ve adalet gibi temel değerler, modern demokratik anayasaların çoğunun temelini oluşturur."
152,çeşitli,Koşullara bağlı olarak farklı olmak veya değişmek.,"Yaşam beklentisi, gelir düzeyine ve sağlık hizmetlerinin kalitesine bağlı olarak ülkeler arasında önemli ölçüde farklılık göstermektedir."
153,kurban,Bir suç veya talihsizlik sonucu zarar gören kişi.,Aile içi şiddet mağdurlarının iyileşmesine yardımcı olmak için yeterli destek sistemleri kurulmalıdır.
154,refah,"Bir kişinin sağlığı, mutluluğu ve esenliği.","Refah devleti, işsizlik veya hastalık dönemlerinde vatandaşlar için bir güvenlik ağı sağlar."
155,erişim,Bir şeyi elde etme veya kullanma yeteneği veya hakkı.,"Sağlık hizmetlerine eşit erişimi sağlamak, adil her hükümetin temel yükümlülüğüdür."
156,uyarlamak,Yeni koşullara veya durumlara uyum sağlamak.,Rekabetçi kalabilmek için işletmelerin hızla değişen piyasa koşullarına sürekli olarak uyum sağlaması gerekir.
157,adres,Bir sorunla ilgilenmek veya bir sorun hakkında konuşmak.,"Politika yapıcılar, büyük şehirlerde artan evsizlik sorununu acilen ele almalıdır."
158,yeterli,Belirli bir amaç için tatmin edici veya yeterli.,Her çocuğun yeterli düzeyde eğitim ve beslenme alma hakkı vardır.
159,ajans,Başka bir kuruluş adına hareket eden bir örgüt; özerklik.,Çevre koruma konularını denetlemek üzere özel bir devlet kurumu kuruldu.
160,tartışmak,Bir görüşü desteklemek için gerekçeler sunmak.,"Birçok ekonomist, serbest ticaretin hem gelişmekte olan hem de gelişmiş ülkeler için faydalı olduğunu savunmaktadır."
161,farkında olmak,Bir şey hakkında bilgi sahibi olmak veya bunun bilincinde olmak.,"Gençler, iklim değişikliğinin gelecekleri üzerindeki sonuçlarının giderek daha fazla farkındalar."
162,denge,Eşit dağılım veya istikrarlı denge.,Ekonomik büyümeyi teşvik ederken çevreyi de koruyacak dengeli bir yaklaşıma ihtiyaç vardır.
163,bariyer,Erişimi veya ilerlemeyi engelleyen bir şey.,"Maddi engeller, birçok yetenekli öğrencinin yüksek öğrenime erişmesini engellemeye devam ediyor."
164,davranış,Bir kişinin veya organizmanın davranış biçimi.,Eğitim programları davranışları etkili bir şekilde değiştirebilir ve daha sağlıklı yaşam tarzı seçimlerini teşvik edebilir.
165,bütçe,Belirli bir döneme ait gelir ve giderlerin tahmini.,"Hükümetler, ulusal bütçenin yeterli bir bölümünü kamu eğitimine ayırmak zorundadır."
166,başkent,Gelir elde etmek için kullanılan servet; bir ülkenin hükümet merkezi.,"Eğitim yoluyla insan sermayesine yatırım yapmak, uzun vadede önemli ekonomik getiriler sağlar."
167,çizelge,Verilerin görsel temsili; verileri kaydetmek.,"Grafik, 1980'den 2020'ye kadar küresel ortalama sıcaklıklarda istikrarlı bir artışı göstermektedir."
168,seçenek,Mevcut alternatifler arasından yapılan bir seçim.,"Hükümetler, vatandaşların iyi bilgilendirilmesini sağlarken bireysel tercihlere de saygı göstermelidir."
